date,open,high,low,close,volume
1999-01-04,12.691454,13.140141,12.563257,13.140141,53200
1999-01-05,13.140141,13.140141,13.076043,13.140141,13000
1999-01-06,13.140144,13.140144,12.883751,12.947849,14600
1999-01-07,12.947849,12.947849,12.883751,12.947849,5800
1999-01-08,12.883754,12.883754,12.755557,12.819655,41600
1999-01-11,12.819651,12.883749,12.755552,12.755552,22800
1999-01-12,12.755554,12.755554,12.627358,12.691456,35600
1999-01-13,12.691459,12.947852,12.627361,12.819655,61600
1999-01-14,12.819655,12.883754,12.755557,12.819655,36200
1999-01-15,12.819655,12.883754,12.755557,12.819655,24000
1999-01-19,12.819646,12.883744,12.691450,12.883744,29000
1999-01-20,12.883754,12.883754,12.819655,12.819655,10400
1999-01-21,12.819655,12.883754,12.819655,12.819655,16800
1999-01-22,12.819646,12.883744,12.819646,12.883744,11200
1999-01-25,12.883744,13.140137,12.819646,12.883744,18200
1999-01-26,12.883754,12.883754,12.819655,12.819655,18600
1999-01-27,12.819655,12.883754,12.819655,12.819655,26000
1999-01-28,12.819646,12.883744,12.819646,12.883744,12000
1999-01-29,12.883754,12.883754,12.819655,12.819655,9800
1999-02-01,12.691457,12.691457,12.499163,12.499163,10400
1999-02-02,12.499161,12.627357,12.499161,12.563259,26800
1999-02-03,12.563261,12.563261,12.499163,12.499163,12600
1999-02-04,12.499163,12.499163,12.499163,12.499163,18600
1999-02-05,12.499163,12.563261,12.499163,12.499163,33200
1999-02-08,12.499163,12.499163,12.499163,12.499163,20800
1999-02-09,12.499161,12.563259,12.499161,12.563259,20600
1999-02-10,12.499163,12.499163,12.435064,12.499163,36800
1999-02-11,12.499163,12.499163,12.499163,12.499163,16800
1999-02-12,12.499163,12.499163,12.499163,12.499163,71000
1999-02-16,12.435059,12.435059,12.178666,12.178666,8400
1999-02-17,12.178670,12.306866,12.050473,12.050473,26400
1999-02-18,12.050478,12.114576,12.050478,12.114576,18600
1999-02-19,12.114571,12.114571,12.050473,12.050473,11000
1999-02-22,12.050471,12.114569,11.986373,11.986373,9400
1999-02-23,11.986373,11.986373,11.729980,11.794078,9000
1999-02-24,11.794078,11.986373,11.794078,11.986373,23800
1999-02-25,11.986375,12.050473,11.986375,12.050473,29800
1999-02-26,12.050470,12.178666,12.050470,12.178666,40200
1999-03-01,12.178670,12.306867,12.050473,12.242768,12800
1999-03-02,12.242773,12.306871,11.986380,12.114576,15600
1999-03-03,12.114570,12.178668,11.729980,11.729980,12600
1999-03-04,11.729981,11.729981,11.537686,11.537686,38000
1999-03-05,11.537687,11.665884,11.089000,11.601786,16200
1999-03-08,11.601782,11.601782,11.281291,11.281291,14600
1999-03-09,11.281291,11.345389,11.217193,11.281291,12200
1999-03-10,11.281291,11.345389,11.217193,11.281291,13400
1999-03-11,11.281295,11.409492,11.217197,11.409492,11400
1999-03-12,11.409489,11.473587,11.345390,11.345390,9000
1999-03-15,11.345390,11.473586,11.345390,11.473586,10400
1999-03-16,11.473587,11.473587,11.345390,11.345390,9800
1999-03-17,11.345393,11.473590,11.345393,11.409492,17400
1999-03-18,11.409488,11.473586,11.409488,11.473586,11000
1999-03-19,11.473590,11.665885,11.409492,11.665885,41200
1999-03-22,11.729983,11.922277,11.729983,11.922277,23000
1999-03-23,11.729980,11.729980,11.729980,11.729980,28000
1999-03-24,11.729980,11.729980,11.729980,11.729980,18000
1999-03-25,11.729980,11.729980,11.729980,11.729980,6600
1999-03-26,11.729980,11.729980,11.729980,11.729980,6400
1999-03-29,11.729982,11.729982,11.601786,11.601786,8400
1999-03-30,11.601785,11.601785,11.473588,11.537686,47800
1999-03-31,11.537688,11.537688,11.409492,11.409492,112400
1999-04-01,11.409491,11.473589,11.153098,11.153098,15400
1999-04-05,11.153097,11.153097,11.024901,11.088999,6400
1999-04-06,11.088996,11.088996,10.640309,10.832603,24000
1999-04-07,10.832603,10.960800,10.768505,10.832603,7400
1999-04-08,10.832603,10.960800,10.768505,10.832603,9200
1999-04-09,10.832608,11.024902,10.576214,11.024902,13400
1999-04-12,10.960800,10.960800,10.704407,10.832603,21400
1999-04-13,10.896703,10.960801,10.896703,10.896703,16000
1999-04-14,10.896703,11.409489,10.896703,11.345390,24400
1999-04-15,11.345394,11.345394,10.960804,11.024902,16400
1999-04-16,11.024901,11.088999,10.960802,11.088999,14400
1999-04-19,11.089001,11.601787,10.896706,10.960804,34600
1999-04-20,11.024901,11.088999,11.024901,11.088999,23400
1999-04-21,11.089001,11.153099,10.896706,10.960804,39400
1999-04-22,10.960804,10.960804,10.768509,10.960804,12200
1999-04-23,10.960804,11.024902,10.832608,11.024902,8400
1999-04-26,11.024898,11.088996,10.832603,10.832603,7200
1999-04-27,10.832603,10.960800,10.768505,10.832603,15400
1999-04-28,10.832603,10.832603,10.640308,10.640308,11400
1999-04-29,10.640313,10.960804,10.512116,10.960804,31600
1999-04-30,10.960804,11.217197,10.960804,11.024902,23600
1999-05-03,11.024903,11.217197,10.960804,11.217197,16800
1999-05-04,11.217197,11.281296,11.153099,11.217197,4600
1999-05-05,11.217197,11.217197,11.089001,11.217197,13400
1999-05-06,11.217193,11.409487,11.217193,11.281291,11800
1999-05-07,11.281291,11.281291,11.217193,11.281291,11800
1999-05-10,11.281291,11.281291,11.153095,11.281291,32800
1999-05-11,11.281295,11.281295,10.832607,10.960804,41200
1999-05-12,11.024901,11.217195,11.024901,11.088999,13400
1999-05-13,11.089000,11.537688,10.960803,11.153098,70200
1999-05-14,11.024899,11.024899,10.768506,10.896703,17600
1999-05-17,10.896706,11.024902,10.768509,10.960804,12000
1999-05-18,10.960804,11.024902,10.896706,10.960804,8000
1999-05-19,10.960801,10.960801,10.768506,10.896703,42800
1999-05-20,10.896704,10.960802,10.768507,10.768507,10200
1999-05-21,10.768507,10.896704,10.704409,10.768507,13400
1999-05-24,10.768505,10.896701,10.640308,10.640308,21600
1999-05-25,10.704413,10.832610,10.704413,10.704413,7000
1999-05-26,10.704408,10.768507,10.576212,10.576212,14000
1999-05-27,10.576212,10.704408,10.512114,10.576212,15000
1999-05-28,10.576212,10.768507,10.255721,10.576212,36200
1999-06-01,10.576210,10.896702,10.448014,10.832603,21000
1999-06-02,10.832603,11.281291,10.768505,11.281291,50000
1999-06-03,11.281295,11.281295,11.024902,11.153098,17800
1999-06-04,11.217193,11.281291,11.217193,11.281291,5000
1999-06-07,11.281295,11.409492,11.153098,11.409492,5000
1999-06-08,11.409489,11.537685,11.153096,11.345390,15800
1999-06-09,11.345393,11.601786,11.281294,11.601786,7000
1999-06-10,11.537686,11.537686,11.345392,11.537686,11600
1999-06-11,11.537685,11.537685,11.345390,11.345390,7000
1999-06-14,11.345390,11.473586,11.345390,11.473586,7200
1999-06-15,11.473588,11.537686,11.409490,11.537686,8200
1999-06-16,11.537686,11.601785,11.345392,11.537686,18000
1999-06-17,11.537687,11.601786,11.409491,11.601786,11800
1999-06-18,11.601786,11.729982,11.473589,11.601786,38800
1999-06-21,11.537684,11.537684,11.345390,11.473586,11400
1999-06-22,11.473586,11.473586,11.409488,11.473586,109800
1999-06-23,11.473588,11.537686,11.409490,11.537686,41800
1999-06-24,11.537684,11.537684,11.345390,11.473586,27000
1999-06-25,11.473586,11.537684,11.345390,11.473586,15200
