date,open,high,low,close,volume
1999-01-04,5.678583,5.776070,5.629840,5.715140,3307906
1999-01-05,5.727332,5.776075,5.666402,5.702960,1920936
1999-01-06,5.690770,5.690770,5.642027,5.690770,7619741
1999-01-07,5.642030,5.678587,5.593286,5.605472,1875102
1999-01-08,5.605472,5.642030,5.544543,5.605472,8533475
1999-01-11,5.507985,5.581100,5.459242,5.471428,1310362
1999-01-12,5.471426,5.581099,5.459240,5.483612,1491570
1999-01-13,5.483615,5.642030,5.483615,5.593287,2048944
1999-01-14,5.556730,5.568916,5.471429,5.556730,1752496
1999-01-15,5.568912,5.581098,5.483611,5.581098,1526273
1999-01-19,5.520171,5.556729,5.410499,5.471428,1706826
1999-01-20,5.471426,5.483612,5.373939,5.434868,1404976
1999-01-21,5.471427,5.532356,5.422683,5.532356,1752496
1999-01-22,5.556727,5.568913,5.495798,5.507984,1729907
1999-01-25,5.459242,5.507985,5.447056,5.495800,1845801
1999-01-26,5.483614,5.520172,5.434871,5.459243,1677034
1999-01-27,5.471426,5.483612,5.361754,5.386126,1372892
1999-01-28,5.378231,5.439908,5.353561,5.378231,2054019
1999-01-29,5.365896,5.378231,5.205535,5.316554,1443771
1999-02-01,5.304219,5.304219,5.168530,5.205536,1285480
1999-02-02,5.156195,5.267213,5.106853,5.254878,3322802
1999-02-03,5.254878,5.304219,5.156194,5.205536,1806188
1999-02-04,5.131524,5.168530,5.082182,5.082182,1786708
1999-02-05,5.045177,5.217872,5.032841,5.131525,2885415
1999-02-08,5.143860,5.242543,5.131525,5.217873,2575381
1999-02-09,5.180865,5.242542,5.168529,5.180865,1360779
1999-02-10,5.180866,5.193201,5.094518,5.119189,1281388
1999-02-11,5.069847,5.119188,5.008170,5.069847,1610083
1999-02-12,5.069847,5.069847,4.897152,4.909487,2027828
1999-02-16,4.958828,5.082182,4.946492,4.971163,1653626
1999-02-17,4.995835,5.131524,4.983500,5.045177,2368145
1999-02-18,5.094517,5.242542,5.082181,5.193200,2166312
1999-02-19,5.143859,5.180866,5.069847,5.106853,1926993
1999-02-22,5.057512,5.143859,5.045176,5.106853,1903094
1999-02-23,5.032841,5.082182,4.983499,5.057512,2618104
1999-02-24,5.032841,5.045177,4.897152,4.983500,3330169
1999-02-25,4.934156,4.971162,4.847808,4.921821,1651007
1999-02-26,4.958828,4.971163,4.835474,4.946493,2188411
1999-03-01,4.909488,4.934158,4.786133,4.872481,2021280
1999-03-02,4.884816,4.983500,4.860146,4.872481,2748568
1999-03-03,4.909486,4.958827,4.860144,4.884815,2398429
1999-03-04,4.884816,4.921822,4.847810,4.897151,1420527
1999-03-05,5.032841,5.032841,4.884816,4.909487,2966443
1999-03-08,4.983500,4.983500,4.835475,4.872481,2777214
1999-03-09,4.934157,4.958828,4.798467,4.810803,4106073
1999-03-10,4.810804,4.847810,4.749127,4.761463,2524308
1999-03-11,4.786133,4.823140,4.749127,4.786133,3015387
1999-03-12,4.823138,4.934156,4.810802,4.921821,3325749
1999-03-15,4.897151,4.946493,4.897151,4.946493,2767065
1999-03-16,4.934158,5.032841,4.934158,5.020506,3182354
1999-03-17,4.995835,5.020506,4.958829,5.008171,1743330
1999-03-18,4.995834,5.094517,4.971163,5.069847,2030938
1999-03-19,5.119189,5.119189,4.995835,5.020506,2796366
1999-03-22,4.995834,5.069847,4.983499,5.032841,1426911
1999-03-23,4.995834,5.045176,4.946493,4.995834,1310362
1999-03-24,4.995835,5.131525,4.983500,5.131525,1770011
1999-03-25,5.106853,5.119189,5.008170,5.057512,1614503
1999-03-26,5.020504,5.032839,4.884814,4.921821,1617122
1999-03-29,4.921825,4.921825,4.699787,4.724458,3299722
1999-03-30,4.687451,4.724457,4.588768,4.588768,2529547
1999-03-31,4.638109,4.650444,4.588767,4.601102,2146178
1999-04-01,4.601101,4.712120,4.564095,4.638107,2789818
1999-04-05,4.650443,4.699784,4.613437,4.638107,1907677
1999-04-06,4.625775,4.662781,4.490085,4.490085,2364380
1999-04-07,4.502419,4.613438,4.490084,4.601102,3249795
1999-04-08,4.650444,4.761463,4.613438,4.761463,2371910
1999-04-09,4.712120,4.724455,4.662778,4.662778,1930103
1999-04-12,4.638107,4.823138,4.638107,4.773797,1853659
1999-04-13,4.761461,4.773796,4.687448,4.749125,1893600
1999-04-14,4.736791,4.761461,4.638107,4.662778,1152725
1999-04-15,4.662781,4.860147,4.625775,4.823141,2357342
1999-04-16,4.823141,4.884818,4.810806,4.860147,1852676
1999-04-19,5.008170,5.094517,4.958828,5.082182,3424456
1999-04-20,5.304221,5.501587,5.279550,5.452246,6215747
