date,open,high,low,close,volume
1999-01-04,16.341704,16.782829,16.341704,16.612394,1379600
1999-01-05,16.682568,16.953258,16.482056,16.923182,1539200
1999-01-06,16.923188,17.284109,16.642472,17.183853,1180800
1999-01-07,17.274077,17.344256,17.063540,17.223949,1971200
1999-01-08,17.243999,17.314178,17.083590,17.314178,957600
1999-01-11,17.264057,17.304159,16.993366,17.103647,685200
1999-01-12,17.143744,17.284102,16.923181,17.003386,1525600
1999-01-13,16.923187,16.993366,16.482061,16.492086,1129600
1999-01-14,16.492086,16.522163,15.980781,16.361753,2320800
1999-01-15,16.482060,17.404414,16.462009,17.324209,2458800
1999-01-19,17.404412,18.176382,17.223951,18.046049,2494400
1999-01-20,18.246558,18.968400,18.236532,18.406967,2888400
1999-01-21,18.346823,18.406976,17.244008,17.564827,2362000
1999-01-22,17.564823,18.226512,17.564823,18.176384,1924400
1999-01-25,18.176380,18.226508,17.805434,18.106201,2056800
1999-01-26,18.106198,18.106198,17.374331,17.474586,1287200
1999-01-27,17.645017,17.765324,17.163789,17.243994,3370000
1999-01-28,17.344264,17.725236,17.344264,17.564827,1801600
1999-01-29,17.504663,17.554791,17.254023,17.344254,1395200
1999-02-01,17.344265,17.344265,16.983344,17.073574,1468000
1999-02-02,17.193874,17.705179,17.173823,17.645025,1684000
1999-02-03,17.624974,17.965844,17.604923,17.845537,1271200
1999-02-04,17.905691,18.236535,17.905691,18.046049,1201600
1999-02-05,18.046049,18.246561,17.795410,17.905691,1124400
1999-02-08,17.925738,18.126249,17.715201,17.815456,868400
1999-02-09,17.865597,17.885648,17.424471,17.484625,1160000
1999-02-10,17.424456,17.604916,17.003382,17.143740,1232000
1999-02-11,17.103640,17.474586,17.013410,17.063538,1319200
1999-02-12,17.103645,17.344259,17.013415,17.284105,1283600
1999-02-16,17.264050,17.564818,17.163794,17.254025,1436400
1999-02-17,17.264052,17.274077,17.163796,17.223949,686800
1999-02-18,17.244001,17.274077,16.963284,17.223949,1042800
1999-02-19,17.264054,17.444515,17.003389,17.043491,1145600
1999-02-22,16.995591,18.042093,16.905028,18.032030,1752000
1999-02-23,17.951530,18.032030,17.659717,17.710030,2186000
1999-02-24,17.629533,17.750283,17.227033,17.327658,1402800
1999-02-25,17.367907,17.488657,17.166657,17.408157,701600
1999-02-26,17.508775,17.740213,17.347775,17.619463,954800
1999-03-01,17.428283,17.488658,17.247158,17.327658,1179600
1999-03-02,17.408159,17.740222,17.367909,17.488659,1270000
1999-03-03,17.488649,17.488649,17.146524,17.307524,863600
1999-03-04,17.367908,17.518846,17.126408,17.126408,862000
1999-03-05,17.408155,17.669781,17.377968,17.609406,1527600
1999-03-08,17.649648,18.112523,17.609398,17.810648,1335200
1999-03-09,17.850910,17.931410,17.408159,17.488659,646400
1999-03-10,17.569158,18.193034,17.388033,18.152784,727200
1999-03-11,18.434531,18.655907,17.770405,18.011906,715600
1999-03-12,18.213155,18.796781,18.052155,18.374155,1302800
1999-03-15,18.233287,18.494912,17.911286,18.273537,1152400
1999-03-16,18.273531,18.313781,17.710030,17.710030,1041600
1999-03-17,17.951534,18.293660,17.911284,18.152784,803600
1999-03-18,18.172902,18.494902,17.931401,18.092402,863200
1999-03-19,18.354037,18.595537,17.971661,18.273537,1229600
1999-03-22,18.313783,18.434533,17.186781,17.186781,1176600
1999-03-23,17.186783,17.227034,15.737781,16.401907,3678600
1999-03-24,16.542780,17.508782,16.462280,17.186781,1961600
1999-03-25,17.428273,17.991774,17.428273,17.790524,1154400
1999-03-26,17.871033,17.871033,17.388032,17.408157,1463000
1999-03-29,17.589285,17.850910,17.287409,17.468534,702400
1999-03-30,17.408159,17.891160,17.388034,17.488659,669000
1999-03-31,17.448399,17.951525,17.448399,17.549025,758600
1999-04-01,17.468533,17.730159,17.408158,17.448408,1021200
1999-04-05,17.468526,18.112527,17.468526,18.092402,1048800
1999-04-06,18.032026,18.333901,17.730150,17.730150,847600
1999-04-07,17.810664,18.233289,17.770413,18.052164,712600
1999-04-08,18.132649,18.857150,18.092399,18.756525,860200
1999-04-09,19.199281,19.199281,18.796780,19.038280,794800
1999-04-12,19.038284,19.561535,18.837033,19.380409,1088400
1999-04-13,19.561538,19.561538,18.555286,18.816912,722000
1999-04-14,18.977913,18.977913,18.273537,18.273537,924600
1999-04-15,18.354026,18.515026,17.589275,17.871025,1065800
1999-04-16,17.830780,18.072280,17.609404,17.710030,654800
1999-04-19,17.710032,18.032032,17.408156,17.569157,849600
1999-04-20,17.528907,17.871032,16.905030,17.186781,1156800
1999-04-21,17.267275,17.770400,17.227025,17.730150,685400
1999-04-22,17.710023,17.931398,17.186772,17.428272,752200
1999-04-23,17.669788,18.092414,17.629538,18.052164,748000
1999-04-26,18.032039,18.394290,18.032039,18.052164,621400
1999-04-27,18.172905,18.354031,17.629529,17.971655,829800
1999-04-28,18.011913,18.011913,17.710037,17.770412,679200
1999-04-29,17.850898,18.072273,17.770398,17.810648,712800
1999-04-30,17.810649,17.951524,17.528898,17.790524,1038600
1999-05-03,17.790530,18.032030,17.629529,18.032030,487000
1999-05-04,18.032038,18.172913,17.227036,17.770412,920200
1999-05-05,17.850905,17.991780,17.629529,17.971655,766000
1999-05-06,17.770402,18.132652,17.549026,18.132652,988400
1999-05-07,18.253402,18.253402,17.589276,18.092402,739600
1999-05-10,17.911280,18.072280,17.629529,17.850904,537600
1999-05-11,17.951529,17.951529,17.549028,17.750278,755800
1999-05-12,17.830774,17.850899,17.468523,17.790524,1435400
1999-05-13,17.790530,17.790530,17.609405,17.629530,1118200
