date,open,high,low,close,volume
1999-01-04,10.580422,10.737169,10.554298,10.684920,322800
1999-01-05,10.815539,10.867788,10.737166,10.867788,441300
1999-01-06,10.841667,10.841667,10.632671,10.737169,441200
1999-01-07,10.684920,10.841667,10.658796,10.737169,357200
1999-01-08,10.711044,10.763293,10.475923,10.580421,462600
1999-01-11,10.528167,10.554292,10.214673,10.345296,457100
1999-01-12,10.345298,10.502045,10.345298,10.502045,568600
1999-01-13,10.397547,10.632667,10.397547,10.502045,398800
1999-01-14,10.475918,10.475918,10.293047,10.397545,497900
1999-01-15,10.449794,10.449794,10.319171,10.345296,853900
1999-01-19,10.371417,10.397541,10.266919,10.293043,610500
1999-01-20,10.266925,10.345299,10.084054,10.084054,625800
1999-01-21,10.188545,10.293043,10.162421,10.293043,359800
1999-01-22,10.293051,10.319176,10.162429,10.214678,218900
1999-01-25,10.057932,10.266928,10.057932,10.266928,280200
1999-01-26,10.266927,10.293052,10.110180,10.188554,251000
1999-01-27,10.188552,10.240801,10.084054,10.162428,329500
1999-01-28,10.031807,10.084056,9.770562,9.822811,531300
1999-01-29,9.796687,9.796687,9.509317,9.613815,392800
1999-02-01,9.561566,9.587691,9.404819,9.457068,317600
1999-02-02,9.404820,9.404820,9.221948,9.300322,488400
1999-02-03,9.274198,9.535443,9.274198,9.535443,395300
1999-02-04,9.587688,9.587688,9.352567,9.430941,274400
1999-02-05,9.378691,9.404816,9.143571,9.248069,341500
1999-02-08,9.221948,9.535442,9.143574,9.457068,301400
1999-02-09,9.483197,9.509322,9.300326,9.326450,170600
1999-02-10,9.248070,9.300319,9.091323,9.169697,286700
1999-02-11,9.065200,9.169698,9.039076,9.091325,252800
1999-02-12,9.039077,9.117450,8.986828,9.039077,390600
1999-02-16,9.091323,9.274195,9.065199,9.221946,533300
1999-02-17,9.221947,9.326445,9.091325,9.091325,646800
1999-02-18,9.117446,9.326442,9.065197,9.248069,407200
1999-02-19,9.195828,9.378699,9.169703,9.326450,602000
1999-02-22,9.326444,9.326444,8.908452,9.012950,912000
1999-02-23,9.012950,9.012950,8.856203,9.012950,627600
1999-02-24,9.039074,9.091323,8.882327,8.908451,508900
1999-02-25,8.908451,8.960700,8.594957,8.751704,452500
1999-02-26,8.908454,8.934578,8.699458,8.777831,589800
1999-03-01,8.777831,8.856205,8.725582,8.830080,598500
