date,open,high,low,close,volume
1999-01-04,21.333036,22.730397,21.286458,21.985138,371300
1999-01-05,21.891979,21.938558,21.426193,21.519350,223000
1999-01-06,21.472771,21.519349,20.774090,20.820669,313400
1999-01-07,19.563049,20.587780,19.563049,20.448044,615000
1999-01-08,20.401459,21.239876,20.401459,21.100140,314100
1999-01-11,21.146713,21.146713,19.982247,20.121983,342200
1999-01-12,20.121995,20.401467,19.982259,20.028837,241800
1999-01-13,19.842523,21.146727,19.097264,21.146727,405100
1999-01-14,21.239885,21.612515,20.960413,21.379622,278200
1999-01-15,21.519352,22.730398,21.519352,22.311190,322400
1999-01-19,22.311187,23.894862,22.311187,23.149603,740600
1999-01-20,23.149602,23.568810,22.916708,23.056444,540400
1999-01-21,23.009868,23.009868,22.264609,22.730396,729700
1999-01-22,22.730398,23.056449,22.544084,22.870134,251900
1999-01-25,22.963298,22.963298,22.218039,22.357775,307100
1999-01-26,22.264603,22.311182,21.519345,21.798817,456000
1999-01-27,21.985143,23.475661,21.752250,22.078300,1114400
1999-01-28,22.078308,22.357780,22.078308,22.171465,379300
1999-01-29,22.218029,22.730394,22.171450,22.450922,529300
1999-02-01,22.637240,22.916712,22.357768,22.404346,261300
1999-02-02,22.031716,22.730396,22.031716,22.730396,323500
1999-02-03,23.009869,23.289341,22.590661,23.289341,262400
1999-02-04,23.196190,23.242769,22.963297,22.963297,116700
1999-02-05,23.009865,23.149602,22.823551,23.056444,181700
1999-02-08,23.196179,24.220910,23.196179,24.034595,471800
1999-02-09,23.941440,24.127755,23.103024,23.149603,244800
1999-02-10,23.242769,23.522241,22.916718,23.196190,231900
1999-02-11,23.196180,23.289338,22.870129,23.056444,261200
1999-02-12,23.335920,23.382499,22.404346,22.404346,231200
1999-02-16,22.544084,23.429079,22.544084,22.637241,307700
1999-02-17,22.590668,22.963298,22.218039,22.357775,354000
1999-02-18,22.637246,23.475662,22.590667,23.335926,308900
1999-02-19,23.661977,24.174343,23.568820,24.174343,217500
1999-02-22,24.314078,24.779864,24.220920,24.593550,402600
1999-02-23,24.779864,25.338808,24.686707,24.826443,318800
1999-02-24,24.779857,25.152487,24.593543,24.640121,309200
1999-02-25,24.733283,24.733283,23.988024,24.686705,344000
1999-02-26,24.593545,25.059331,24.453809,24.500387,266900
1999-03-01,24.407224,24.779854,23.848280,24.127752,324300
1999-03-02,24.314075,25.292227,24.220918,25.199070,521100
1999-03-03,25.105911,25.431962,24.966175,24.966175,485100
1999-03-04,24.966169,25.618271,24.966169,25.478535,642100
1999-03-05,25.525114,25.664850,25.478535,25.618271,318000
1999-03-08,25.525118,26.130641,25.338804,25.944326,439700
1999-03-09,25.338818,26.084077,24.966188,25.758026,781600
1999-03-10,25.711440,25.758019,23.755135,24.174343,566700
1999-03-11,24.314079,24.686709,24.034607,24.174343,363200
1999-03-12,24.127759,24.220917,23.848287,23.941444,377500
1999-03-15,23.848288,24.081182,23.475659,23.755131,546700
1999-03-16,23.755129,23.848286,23.475657,23.615393,372000
1999-03-17,23.568822,23.615400,22.637248,22.683826,456000
1999-03-18,22.683822,22.683822,21.938563,22.264614,639600
1999-03-19,22.357766,22.497502,21.891979,21.891979,317600
1999-03-22,21.752249,21.752249,18.817791,20.028837,1440100
1999-03-23,20.121994,20.774096,19.656207,20.261730,1651600
1999-03-24,20.494615,20.494615,19.190412,20.075407,743100
1999-03-25,20.121995,20.215152,19.842522,20.028837,699700
1999-03-26,20.121995,21.426199,20.028838,21.146727,881900
1999-03-29,21.146721,21.286457,20.867249,20.913828,470700
1999-03-30,20.960411,21.146725,20.401466,20.401466,301100
1999-03-31,20.448045,20.448045,18.631476,19.842522,1000700
1999-04-01,20.587781,20.680938,19.749364,19.842522,414400
1999-04-05,19.842524,20.215153,19.283579,19.982260,262300
1999-04-06,20.121990,20.215147,19.516467,19.702782,390900
1999-04-07,19.795943,19.889100,19.563050,19.842522,184400
1999-04-08,19.935682,19.935682,19.190423,19.376738,308000
1999-04-09,19.469883,19.469883,17.513579,18.212259,802700
1999-04-12,18.212269,18.212269,16.861487,17.280695,591300
1999-04-13,17.420427,18.631472,17.373848,18.165686,806300
1999-04-14,18.351997,18.491733,17.793053,18.351997,390500
1999-04-15,18.352005,19.143843,17.886218,19.143843,442000
1999-04-16,19.283565,19.702773,19.097250,19.609615,380300
1999-04-19,19.982251,20.587774,18.678048,19.004099,263300
1999-04-20,19.004107,19.237000,18.352005,19.143843,180600
1999-04-21,19.143844,19.982260,19.097265,19.889103,199700
1999-04-22,20.494618,21.193299,20.261725,20.820669,309400
1999-04-23,20.820674,20.820674,19.423313,19.563049,311100
1999-04-26,19.749358,19.935672,18.351997,18.351997,403700
1999-04-27,18.491735,18.631471,17.513583,17.793055,787800
1999-04-28,11.737826,12.296770,11.272039,12.017298,11521000
1999-04-29,12.576244,13.321503,12.389929,13.321503,3273200
1999-04-30,13.414661,13.880447,13.228346,13.228346,1589700
1999-05-03,13.321501,13.414658,13.228343,13.368079,620100
1999-05-04,13.414658,13.461237,12.855714,12.995450,910900
1999-05-05,12.855720,13.135192,12.296775,12.669405,803200
1999-05-06,12.529665,13.414660,12.483087,13.414660,663200
1999-05-07,13.461237,13.694130,13.274922,13.368079,562700
1999-05-10,13.414657,13.507815,12.855713,12.948871,407000
1999-05-11,12.948871,13.321500,12.948871,12.948871,584500
1999-05-12,13.088613,13.135191,12.203617,12.296775,1256500
1999-05-13,12.389928,12.622822,11.784405,12.157035,1973600
1999-05-14,12.017299,12.483086,11.924142,11.924142,839500
1999-05-17,12.063876,12.296770,11.924140,12.017298,864300
1999-05-18,12.017296,12.483083,12.017296,12.110454,637600
1999-05-19,12.157030,12.576238,12.157030,12.436502,676800
1999-05-20,12.576244,12.995452,12.483086,12.855716,598000
1999-05-21,12.762558,13.042030,12.762558,12.855716,551200
1999-05-24,12.948877,13.042035,12.622826,12.669405,487100
1999-05-25,12.669402,12.855717,12.203615,12.483088,457600
1999-05-26,12.576242,12.669400,12.203613,12.576242,462000
1999-05-27,12.622821,12.669400,12.343349,12.576242,309900
1999-05-28,12.576246,12.669403,12.343352,12.343352,304300
1999-06-01,12.389930,12.576244,12.017300,12.250194,294000
1999-06-02,12.296768,12.436504,11.970718,12.110454,213500
1999-06-03,12.110459,12.389931,11.924144,12.343352,643500
1999-06-04,12.343350,12.483086,11.970720,12.157035,355000
1999-06-07,12.203614,12.855716,12.110457,12.855716,576400
1999-06-08,12.669408,12.762565,12.250199,12.389935,815600
1999-06-09,12.436509,12.855717,12.343351,12.483088,667100
1999-06-10,12.669396,12.669396,12.343345,12.436502,340200
1999-06-11,12.622823,12.669401,12.529665,12.622823,342300
1999-06-14,12.855716,13.973605,12.669402,13.554397,1157700
1999-06-15,13.647553,13.740710,13.042030,13.088609,435200
1999-06-16,13.088609,13.507817,13.088609,13.088609,416900
1999-06-17,12.855721,12.995457,12.529670,12.902300,751800
1999-06-18,12.948876,12.948876,12.436510,12.715982,650300
1999-06-21,12.669401,12.762559,12.483087,12.622823,496400
1999-06-22,12.529664,12.622821,11.924141,12.576242,786200
1999-06-23,12.622829,12.715986,12.203621,12.389935,421600
1999-06-24,12.436509,12.622824,12.250194,12.483088,412700
1999-06-25,12.576248,12.948877,12.483090,12.669405,436300
1999-06-28,12.995455,13.368085,12.995455,13.274927,435800
1999-06-29,13.321507,13.647558,13.228349,13.600979,684400
1999-06-30,13.787291,14.858601,13.694134,14.439393,1168100
1999-07-01,14.253075,14.439390,13.973603,14.159918,925000
1999-07-02,14.253080,14.998339,14.066765,14.672288,426300
1999-07-06,14.718865,14.718865,14.392814,14.439393,823300
1999-07-07,14.485972,14.532550,14.066764,14.439393,382800
1999-07-08,14.346232,14.346232,13.880445,13.973602,347600
1999-07-09,13.880445,14.299653,13.694130,14.299653,370900
1999-07-12,14.346235,14.858601,14.346235,14.485971,295900
1999-07-13,14.392816,14.625710,14.253080,14.625710,270100
1999-07-14,14.625702,14.625702,14.253073,14.253073,346300
1999-07-15,14.253074,14.485968,14.159917,14.299653,475600
1999-07-16,14.253080,14.299659,14.113344,14.113344,271100
1999-07-19,13.787288,14.159917,13.787288,13.973602,230000
1999-07-20,13.833866,14.066760,13.554394,13.647552,175800
1999-07-21,13.833867,13.927024,13.507816,13.740709,312400
1999-07-22,13.833866,13.973602,13.554394,13.694130,286900
1999-07-23,13.740709,13.973602,13.321501,13.368079,196600
1999-07-26,13.321501,13.507815,13.228343,13.368079,210800
1999-07-27,13.368083,13.414661,12.483088,12.483088,493300
1999-07-28,12.483088,12.715982,12.389931,12.529667,588200
1999-07-29,12.436506,12.436506,11.784404,12.017298,680600
1999-07-30,11.924145,11.924145,9.641789,10.014419,6142000
1999-08-02,10.014417,10.806255,9.734945,10.293889,1423300
1999-08-03,10.387045,10.387045,9.967837,10.247309,637600
1999-08-04,10.154156,10.200735,9.734948,9.734948,528300
1999-08-05,9.828103,9.828103,9.408895,9.548631,515900
1999-08-06,9.502050,9.595207,9.362314,9.455471,326700
1999-08-09,9.455471,9.548628,9.362313,9.502049,791900
1999-08-10,9.502050,9.502050,9.175999,9.222578,483900
1999-08-11,9.082843,9.222579,8.943107,9.082843,602700
1999-08-12,9.082842,9.455471,9.036263,9.129420,562000
1999-08-13,9.222578,9.688365,9.175999,9.408893,555900
1999-08-16,9.502050,9.595207,9.362314,9.408893,230300
1999-08-17,9.502053,9.688368,9.315738,9.362317,497700
1999-08-18,9.455471,9.548629,9.362314,9.408893,190900
1999-08-19,9.362317,9.408896,9.222581,9.362317,170000
1999-08-20,9.315737,9.548631,9.315737,9.548631,207500
1999-08-23,9.595211,9.828105,9.548633,9.688369,200800
1999-08-24,9.595210,10.200733,9.548632,10.014419,351400
1999-08-25,10.200732,10.526782,10.060995,10.480204,503500
1999-08-26,10.526783,10.526783,9.967839,10.154154,351100
1999-08-27,10.387042,10.387042,10.060991,10.060991,212700
1999-08-30,10.107579,10.107579,9.874685,9.874685,287700
1999-08-31,9.921261,9.921261,9.315738,9.362317,334300
1999-09-01,9.269157,9.595207,9.269157,9.408893,703800
1999-09-02,9.455471,9.595207,9.269157,9.408893,226300
1999-09-03,9.455471,9.502050,9.269157,9.408893,164100
1999-09-07,9.362315,9.455473,9.222579,9.315737,217500
1999-09-08,9.129422,9.362315,9.129422,9.315737,265400
1999-09-09,9.222578,10.387045,9.222578,10.107573,573500
1999-09-10,10.340466,10.713095,10.107573,10.433623,446300
1999-09-13,10.526782,10.806254,10.387046,10.387046,552000
1999-09-14,10.293890,10.433626,10.107575,10.154154,183600
1999-09-15,10.154156,10.247313,9.688369,9.688369,359100
1999-09-16,9.688368,9.967841,9.502054,9.595211,154400
1999-09-17,9.641790,9.781526,9.548632,9.595211,203400
1999-09-20,9.595207,9.641785,9.315735,9.502049,245400
1999-09-21,9.688367,9.734945,9.548631,9.548631,153900
1999-09-22,9.595211,9.641789,9.315738,9.362317,246900
1999-09-23,9.362316,9.502052,8.896529,9.036265,496000
1999-09-24,8.989685,9.315736,8.989685,9.082843,267300
1999-09-27,8.989684,9.036263,8.663633,8.663633,393400
1999-09-28,8.756791,8.849949,8.570477,8.710213,285800
1999-09-29,8.756791,9.595207,8.756791,9.408893,373400
1999-09-30,9.455471,10.340466,9.315735,10.247309,462400
1999-10-01,10.060994,10.060994,9.408892,9.502049,191500
1999-10-04,9.455471,9.502050,8.989684,9.129420,255800
1999-10-05,9.176003,9.874684,9.176003,9.688369,465900
1999-10-06,9.641786,9.688365,9.408893,9.408893,232300
1999-10-07,9.408895,9.734945,9.408895,9.548631,134900
1999-10-08,9.502054,9.734947,9.455475,9.595211,378800
1999-10-11,9.595211,9.874683,9.502054,9.595211,150500
1999-10-12,9.641789,9.641789,9.315738,9.362317,159400
1999-10-13,9.455472,9.502051,8.943106,8.989685,277800
1999-10-14,9.082842,9.408893,8.989685,8.989685,242200
1999-10-15,9.176000,9.222578,8.943106,8.989685,141700
1999-10-18,8.943110,9.036268,8.663638,8.943110,185100
1999-10-19,8.943108,9.129423,8.710215,9.036265,262700
1999-10-20,9.082845,9.828105,8.989688,9.595211,522800
1999-10-21,9.548629,10.293888,9.129421,9.222578,1182900
1999-10-22,9.269161,9.269161,8.803374,8.943110,501400
1999-10-25,8.943106,9.036264,8.617055,8.849949,239700
1999-10-26,8.849950,8.849950,8.197849,8.477321,339900
1999-10-27,8.570476,9.408893,8.570476,9.408893,523400
1999-10-28,9.502053,9.874682,9.269159,9.781525,452100
1999-10-29,9.828103,10.060997,9.828103,9.921261,349200
1999-11-01,9.828104,10.154155,9.595210,10.014419,250500
1999-11-02,9.967837,10.480203,9.781522,9.828101,475500
1999-11-03,9.921261,10.433627,9.781525,10.014419,570700
1999-11-04,10.060993,10.340465,9.874678,10.340465,526700
1999-11-05,10.433625,10.806254,10.247310,10.806254,455500
1999-11-08,10.713097,10.806254,10.433625,10.480204,143800
1999-11-09,10.433622,11.039144,10.060992,10.899408,349800
1999-11-10,10.852831,10.899410,10.293887,10.433623,196800
1999-11-11,10.340468,10.713097,10.340468,10.480204,137700
1999-11-12,10.480201,10.619937,10.293886,10.340465,170000
1999-11-15,10.340469,10.340469,10.154154,10.200733,279300
1999-11-16,10.200733,10.200733,9.874683,10.014419,538800
1999-11-17,9.967835,10.526779,9.921257,10.340465,421000
1999-11-18,10.247309,10.387045,10.060994,10.247309,370300
1999-11-19,10.154153,11.178884,10.107574,10.992569,530400
1999-11-22,10.899407,10.899407,10.060991,10.060991,237000
1999-11-23,10.060993,10.526779,10.060993,10.340465,331900
1999-11-24,10.107574,10.526782,10.107574,10.293889,325500
1999-11-26,10.293889,10.387046,10.154153,10.293889,129500
1999-11-29,10.107577,10.154156,9.641790,9.688369,435200
1999-11-30,9.688369,9.874684,9.455475,9.688369,757300
1999-12-01,9.688367,9.781525,9.548631,9.781525,346900
1999-12-02,9.734947,9.781525,9.315738,9.362317,373200
1999-12-03,9.408897,10.060998,9.362318,9.688369,437800
1999-12-06,9.734949,10.340472,9.734949,9.874685,418500
1999-12-07,9.688367,9.828103,9.315737,9.548631,296900
1999-12-08,9.455471,9.641786,9.129421,9.222578,339000
1999-12-09,9.036263,9.455471,8.943105,9.175999,363200
1999-12-10,9.129424,9.688369,9.129424,9.688369,272300
1999-12-13,9.502052,9.548630,9.036265,9.315737,375300
1999-12-14,9.269161,9.315740,9.082846,9.269161,303900
1999-12-15,9.082843,9.315736,8.849949,9.082843,306900
1999-12-16,8.943110,9.315740,8.943110,9.269161,349900
1999-12-17,9.455473,9.688366,9.222579,9.315737,455800
1999-12-20,9.315737,9.455473,7.452590,7.452590,1512200
1999-12-21,7.685483,8.058113,7.499169,7.638905,1288600
1999-12-22,7.592325,7.638904,7.499168,7.545746,1568700
1999-12-23,7.545747,7.545747,7.406011,7.406011,919200
1999-12-27,7.406010,7.499167,7.079959,7.173117,1233900
1999-12-28,7.126538,7.452589,7.033381,7.173117,940000
1999-12-29,7.126541,7.825222,7.079962,7.499171,766000
1999-12-30,7.499166,7.871795,7.499166,7.778638,724200
1999-12-31,7.778641,8.104691,7.638905,7.638905,489600
2000-01-03,7.638907,7.685486,7.452592,7.499171,383100
2000-01-04,7.499169,7.545748,7.219697,7.266276,321700
2000-01-05,7.266275,7.359433,7.079960,7.219697,327600
2000-01-06,7.126539,7.359433,6.800488,7.359433,663900
2000-01-07,7.266276,7.359433,6.986804,7.266276,313000
2000-01-10,7.312854,7.452590,7.173118,7.359433,401000
2000-01-11,7.359433,7.638905,7.219697,7.219697,448000
2000-01-12,7.219693,8.337581,7.219693,8.197845,751200
2000-01-13,8.477319,8.896527,8.384161,8.663633,851500
2000-01-14,8.710214,8.756793,8.291006,8.477321,422400
2000-01-18,8.617059,8.710216,8.197851,8.291008,216600
2000-01-19,8.197845,8.197845,7.918373,7.918373,232600
2000-01-20,7.918379,8.011536,7.685485,7.871800,233200
2000-01-21,7.871796,7.918375,7.638903,7.685482,272200
2000-01-24,7.592326,7.778640,7.452590,7.452590,268300
2000-01-25,7.452590,7.592326,7.312853,7.452590,274700
2000-01-26,7.545750,8.151273,7.406013,8.011537,648500
2000-01-27,7.825220,7.918377,7.638905,7.825220,274600
2000-01-28,7.871799,7.871799,7.592327,7.592327,321200
2000-01-31,7.499169,7.871798,7.452590,7.825220,309100
2000-02-01,7.871800,8.477323,7.871800,8.291008,347900
2000-02-02,8.384166,9.036268,8.384166,8.756796,908500
2000-02-03,8.803370,8.943106,8.291005,8.384162,553600
2000-02-04,8.570478,8.663635,8.197849,8.477321,348700
2000-02-07,8.384160,8.430739,8.151267,8.197845,292300
2000-02-08,8.291004,8.384161,8.151268,8.337583,196500
2000-02-09,8.337583,8.384161,8.244425,8.337583,326700
2000-02-10,8.337583,8.570476,8.151268,8.430740,943200
2000-02-11,8.477323,8.570480,8.291008,8.291008,1692500
2000-02-14,8.197847,8.244426,8.011532,8.104690,242400
2000-02-15,8.058108,8.197844,7.918372,8.058108,405200
2000-02-16,8.151273,8.151273,7.918379,8.011537,277300
2000-02-17,8.011534,8.058113,7.825220,7.825220,197600
2000-02-18,7.964956,8.011534,7.732062,7.825220,176000
2000-02-22,7.964954,8.058111,7.638903,7.732060,355000
2000-02-23,7.732060,7.732060,7.592324,7.685482,242400
2000-02-24,7.732063,7.732063,7.452591,7.592327,187700
2000-02-25,7.685486,7.732064,7.452592,7.499171,187100
2000-02-28,7.499169,7.499169,7.359433,7.359433,171700
2000-02-29,7.452590,7.499169,7.219697,7.219697,264700
2000-03-01,7.219697,7.312855,7.079961,7.266276,273400
2000-03-02,7.266275,7.685483,7.033382,7.219697,337300
2000-03-03,7.173117,7.592325,7.173117,7.545746,261300
2000-03-06,7.452591,7.545748,7.312855,7.312855,170000
2000-03-07,7.312855,7.545748,7.242987,7.266276,733100
2000-03-08,7.219695,7.359431,6.940223,7.079959,273800
2000-03-09,7.079959,7.173116,6.940223,7.079959,242300
2000-03-10,7.033379,7.778638,7.033379,7.778638,404800
2000-03-13,7.452590,7.638905,7.219696,7.638905,270700
2000-03-14,7.592326,7.638904,7.359432,7.452590,242000
2000-03-15,7.406011,7.685483,7.312853,7.452590,279600
2000-03-16,7.452592,7.545749,7.359435,7.499171,921200
2000-03-17,7.452589,7.452589,7.312853,7.406011,451100
2000-03-20,7.406011,7.545747,7.266275,7.406011,342200
2000-03-21,7.452588,7.452588,6.986802,7.079959,538000
2000-03-22,7.173115,7.778638,7.126537,7.778638,2229400
2000-03-23,7.732064,7.732064,7.359435,7.499171,1142000
2000-03-24,7.452590,7.499169,7.266275,7.359433,421500
2000-03-27,7.406011,7.499169,7.266275,7.359433,285800
2000-03-28,7.266275,7.499169,7.266275,7.359433,1063800
2000-03-29,7.406012,7.452591,7.266276,7.266276,340600
2000-03-30,7.359433,7.499169,7.173118,7.359433,622300
2000-03-31,7.312854,7.638905,6.893646,7.638905,692300
2000-04-03,7.545746,7.732060,7.266274,7.732060,441400
2000-04-04,7.685483,8.477321,7.638904,8.477321,842600
2000-04-05,8.337584,8.849949,8.291005,8.617056,624700
2000-04-06,8.617055,8.663634,8.197847,8.430740,277500
2000-04-07,8.617059,8.617059,8.151272,8.291008,346200
2000-04-10,8.756795,8.989688,8.663637,8.803373,493100
2000-04-11,8.803374,8.849953,8.291008,8.523902,235500
2000-04-12,8.617059,8.663638,8.197851,8.244430,179400
2000-04-13,8.244428,8.384165,7.871799,7.964956,213200
2000-04-14,8.011535,8.011535,7.545748,7.592327,418900
2000-04-17,7.499168,7.592325,7.312853,7.545746,335800
2000-04-18,7.359432,7.592325,7.359432,7.545746,240000
2000-04-19,7.499168,7.592325,7.359432,7.406011,191600
2000-04-20,7.499169,7.638905,7.406011,7.638905,214200
2000-04-24,7.545747,7.638904,7.266275,7.406011,259000
2000-04-25,7.499171,7.592328,7.452592,7.499171,312200
2000-04-26,7.359433,7.452591,6.986804,7.266276,643600
2000-04-27,7.173115,7.173115,6.474435,6.521013,684300
2000-04-28,6.660752,6.940224,6.614173,6.707330,341700
2000-05-01,6.707330,6.847066,6.614173,6.707330,283200
2000-05-02,6.660749,6.753907,6.521013,6.521013,347500
2000-05-03,6.521016,6.521016,6.334701,6.381279,266300
2000-05-04,6.427860,6.567596,6.381281,6.567596,228500
2000-05-05,6.567596,6.800489,6.567596,6.800489,492100
2000-05-08,6.707330,6.800487,6.614173,6.660751,266600
2000-05-09,6.614173,6.800487,6.614173,6.660751,343000
2000-05-10,6.707328,6.707328,6.427856,6.521013,161500
2000-05-11,6.427858,6.474437,6.334701,6.427858,280200
2000-05-12,6.427858,6.567594,6.427858,6.427858,97800
2000-05-15,6.334699,6.521014,6.288121,6.474435,259200
2000-05-16,6.474435,6.753907,6.474435,6.521013,196300
2000-05-17,6.474437,6.521015,6.427858,6.427858,222900
2000-05-18,6.427858,6.474437,6.381279,6.381279,153500
2000-05-19,6.381279,6.474437,6.334701,6.427858,220800
2000-05-22,6.474436,6.521015,6.148385,6.288121,156700
2000-05-23,6.288121,6.334700,6.194964,6.288121,230500
2000-05-24,6.241543,6.381279,6.241543,6.288121,238800
2000-05-25,6.288125,6.381283,6.194968,6.194968,178300
2000-05-26,6.241542,6.241542,5.915492,6.008649,289900
2000-05-30,6.008652,6.567596,6.008652,6.567596,244700
2000-05-31,6.474435,6.847064,6.334699,6.753907,206300
2000-06-01,6.707332,6.893647,6.381281,6.567596,326900
2000-06-02,6.660752,6.707331,6.055229,6.101808,352000
2000-06-05,6.194965,6.381279,6.148386,6.381279,207900
2000-06-06,6.334704,6.334704,6.148389,6.194968,117200
2000-06-07,6.194965,6.660751,6.194965,6.660751,432700
2000-06-08,6.660750,6.940222,6.660750,6.847065,213700
2000-06-09,6.847064,7.266272,6.800486,7.126536,631400
2000-06-12,7.173117,7.173117,6.567594,6.614173,190600
2000-06-13,6.707330,6.707330,6.521016,6.614173,286800
2000-06-14,6.567594,6.707330,6.567594,6.660751,139400
2000-06-15,6.707330,6.753909,6.614173,6.707330,162700
2000-06-16,6.614173,6.660751,6.427858,6.427858,302900
2000-06-19,6.521015,6.660751,6.427858,6.660751,165900
2000-06-20,6.567592,6.567592,6.427856,6.521013,177800
2000-06-21,6.521015,6.707330,6.521015,6.660751,174700
2000-06-22,6.660750,6.940222,6.660750,6.940222,208000
2000-06-23,6.940223,6.940223,6.567594,6.660751,168900
2000-06-26,6.707329,6.986801,6.707329,6.940222,141000
2000-06-27,6.940226,7.079962,6.800489,6.800489,292800
2000-06-28,6.847068,6.847068,6.707332,6.800489,148200
2000-06-29,6.707330,6.800488,6.614173,6.707330,120400
2000-06-30,6.707330,6.847066,6.614173,6.614173,165500
2000-07-03,6.660749,6.800485,6.660749,6.753907,131200
2000-07-05,6.753907,6.940221,6.707328,6.753907,189100
2000-07-06,6.753906,6.893642,6.753906,6.893642,167300
2000-07-07,6.847066,7.079960,6.753909,7.033381,130600
2000-07-10,7.079961,7.545748,7.079961,7.312855,257100
2000-07-11,7.406012,7.452591,7.219697,7.266276,164400
2000-07-12,7.266276,7.406012,7.126540,7.266276,115700
2000-07-13,7.406008,7.406008,6.753906,6.893642,164500
2000-07-14,6.893643,6.986800,6.474435,6.521013,224400
2000-07-17,6.521013,6.614171,6.381277,6.521013,142300
2000-07-18,6.521014,6.567593,6.381278,6.474435,78300
2000-07-19,6.521014,6.521014,6.334699,6.474435,223700
