date,open,high,low,close,volume
1999-01-04,1.936951,2.101798,1.936951,2.081192,390400
1999-01-05,2.060587,2.184222,2.019375,2.184222,534400
1999-01-06,2.225434,2.390281,2.225434,2.318160,978800
1999-01-07,2.307858,2.349069,2.204828,2.204828,422000
1999-01-08,2.204827,2.307856,2.204827,2.297554,407200
1999-01-11,2.307858,2.431493,2.266646,2.390281,816400
1999-01-12,2.390280,2.452098,2.349069,2.349069,1057600
1999-01-13,2.266645,2.349068,2.225433,2.276948,389200
1999-01-14,2.307857,2.307857,2.225434,2.246040,1101600
1999-01-15,2.225433,2.297554,2.225433,2.276948,835600
1999-01-19,2.287252,2.287252,2.225435,2.256344,142000
1999-01-20,2.246040,2.266646,2.184222,2.184222,206000
1999-01-21,2.184222,2.184222,2.101798,2.112101,218400
1999-01-22,2.112101,2.184222,2.112101,2.163616,299600
1999-01-25,2.184221,2.184221,2.143010,2.143010,340800
1999-01-26,2.143011,2.266646,2.143011,2.266646,391600
1999-01-27,2.225434,2.287252,2.204829,2.266646,336400
1999-01-28,2.287252,2.719976,2.287252,2.472705,1842000
1999-01-29,2.493310,2.802398,2.452099,2.740581,1270000
1999-02-01,2.802399,2.823005,2.719976,2.750885,800400
1999-02-02,2.761186,2.761186,2.555127,2.616945,456000
1999-02-03,2.565431,2.658157,2.524219,2.658157,842000
1999-02-04,2.658157,2.658157,2.596339,2.627248,849600
1999-02-05,2.658156,2.678762,2.596339,2.637551,439200
1999-02-08,2.637551,2.740581,2.627249,2.740581,474400
1999-02-09,2.658158,2.719975,2.658158,2.678764,535200
1999-02-10,2.637551,2.678762,2.637551,2.637551,1203600
1999-02-11,2.637551,2.647854,2.616945,2.627248,539600
1999-02-12,2.616945,2.637551,2.596339,2.637551,750800
1999-02-16,2.658157,2.802398,2.647854,2.658157,816800
1999-02-17,2.719974,2.719974,2.616945,2.616945,342400
1999-02-18,2.637551,2.637551,2.575733,2.616945,1240000
1999-02-19,2.637552,2.637552,2.575734,2.586037,584800
1999-02-22,2.616946,2.616946,2.596340,2.596340,134800
1999-02-23,2.596340,2.678763,2.596340,2.658157,542400
1999-02-24,2.689066,2.689066,2.596340,2.596340,265200
1999-02-25,2.596340,2.616946,2.565431,2.575734,271200
1999-02-26,2.586037,2.616946,2.555128,2.596340,499600
1999-03-01,2.596340,2.616946,2.493311,2.498462,205200
1999-03-02,2.493311,2.503614,2.472705,2.472705,113600
1999-03-03,2.472704,2.472704,2.452098,2.462401,63600
1999-03-04,2.431492,2.452098,2.390280,2.431492,161200
1999-03-05,2.431492,2.513916,2.431492,2.513916,702400
1999-03-08,2.513916,2.555128,2.472704,2.524219,224800
1999-03-09,2.555128,2.555128,2.493311,2.534522,104400
1999-03-10,2.534521,2.534521,2.431492,2.431492,127600
1999-03-11,2.431492,2.493310,2.431492,2.431492,262400
1999-03-12,2.431493,2.493310,2.431493,2.493310,157200
1999-03-15,2.493310,2.493310,2.431492,2.431492,232800
1999-03-16,2.431493,2.472704,2.390281,2.452099,1662400
1999-03-17,2.431492,2.472704,2.431492,2.431492,398800
1999-03-18,2.431493,2.472704,2.410887,2.410887,359600
1999-03-19,2.410887,2.472705,2.410887,2.472705,549600
1999-03-22,2.441795,2.472703,2.431492,2.446946,242800
1999-03-23,2.431493,2.503613,2.431493,2.452099,1237200
1999-03-24,2.452099,2.452099,2.431493,2.436645,272800
1999-03-25,2.431492,2.627248,2.431492,2.627248,482000
1999-03-26,2.627248,2.823003,2.575733,2.637551,1391600
1999-03-29,2.699370,2.719975,2.637552,2.709672,322000
1999-03-30,2.689067,2.740581,2.658158,2.678764,554400
1999-03-31,2.699369,2.740581,2.678764,2.730278,545600
1999-04-01,2.740580,2.823004,2.730277,2.781792,679600
1999-04-05,2.781793,2.843610,2.647855,2.647855,373200
1999-04-06,2.637551,2.678762,2.637551,2.637551,579200
1999-04-07,2.637551,2.647854,2.637551,2.637551,321600
1999-04-08,2.637551,2.678762,2.606642,2.637551,2165200
1999-04-09,2.678763,2.761187,2.637551,2.761187,86000
1999-04-12,2.689066,2.843610,2.689066,2.823004,347600
1999-04-13,2.823003,2.926032,2.802397,2.864215,339200
1999-04-14,2.812701,2.926033,2.802398,2.884821,889200
1999-04-15,2.843611,3.276334,2.843611,3.255728,2425600
1999-04-16,3.245425,3.338151,3.235122,3.286636,1400400
1999-04-19,3.296939,3.502998,3.276333,3.430877,3236000
1999-04-20,3.441181,3.441181,3.193911,3.193911,2290800
1999-04-21,3.235121,3.276332,3.070274,3.090880,264400
1999-04-22,3.152698,3.152698,2.823004,2.874519,536000
1999-04-23,2.895123,2.905426,2.781791,2.864215,576000
1999-04-26,2.884822,2.884822,2.719975,2.802398,556400
1999-04-27,2.823004,2.823004,2.761186,2.823004,758000
1999-04-28,2.823004,2.987851,2.802398,2.946639,415200
1999-04-29,2.926032,2.967244,2.823003,2.864215,1076000
