date,open,high,low,close,volume
1999-01-04,6.372505,6.456723,6.288287,6.449706,644000
1999-01-05,6.456722,6.456722,6.105814,6.105814,2208800
1999-01-06,6.105814,6.175996,6.091778,6.147923,170400
1999-01-07,6.077742,6.147924,6.042652,6.063706,497600
1999-01-08,6.147924,6.681305,6.063706,6.604106,1266400
1999-01-11,6.597087,6.793596,6.583051,6.737451,1439200
1999-01-12,6.737450,6.751486,6.260214,6.667268,988000
1999-01-13,6.484796,6.695341,6.344432,6.681305,515200
1999-01-14,6.639196,6.765523,6.639196,6.653232,983200
1999-01-15,6.681304,6.765522,6.639195,6.765522,752800
1999-01-19,6.877814,6.905887,6.611124,6.611124,955200
1999-01-20,6.695342,6.695342,6.554978,6.618142,784800
1999-01-21,6.625159,6.625159,6.456723,6.456723,545600
1999-01-22,6.400578,6.512869,6.232142,6.344433,581600
1999-01-25,6.288286,6.316359,6.175996,6.309341,792800
1999-01-26,6.358469,6.484796,6.288287,6.428650,688000
1999-01-27,6.498834,6.758507,6.400579,6.688325,480800
1999-01-28,6.681305,6.681305,6.526905,6.611124,364800
1999-01-29,6.597087,6.695341,6.583050,6.583050,566400
1999-02-01,6.597088,6.653233,6.456724,6.470760,581600
1999-02-02,6.456722,6.554976,6.456722,6.519886,434400
1999-02-03,6.554978,6.709378,6.512869,6.597087,611200
1999-02-04,6.533922,6.569013,6.491813,6.512867,871200
1999-02-05,6.505850,6.597086,6.491814,6.540941,386400
1999-02-08,6.547960,6.583050,6.477778,6.526905,759200
1999-02-09,6.512867,6.554976,6.498831,6.519886,244000
1999-02-10,6.512868,6.540940,6.484795,6.498831,215200
1999-02-11,6.498831,6.526903,6.330394,6.400576,1343200
1999-02-12,6.344432,6.442686,6.232141,6.267232,692800
1999-02-16,6.316361,6.316361,5.972470,6.035634,518400
1999-02-17,6.007560,6.007560,5.670688,5.726833,468000
1999-02-18,5.684723,5.811051,5.670687,5.719815,148000
1999-02-19,5.726833,5.825088,5.712797,5.726833,394400
1999-02-22,5.726833,5.797015,5.446106,5.797015,1109600
1999-02-23,5.846142,6.091778,5.782978,6.021596,843200
1999-02-24,6.035632,6.035632,5.895269,5.923341,1335200
1999-02-25,5.923344,6.007562,5.825089,6.007562,248000
1999-02-26,6.035632,6.035632,5.937378,5.993523,563200
1999-03-01,5.951414,5.993523,5.460142,5.579451,448800
1999-03-02,5.670689,5.839125,5.670689,5.768943,1405600
1999-03-03,5.768941,5.867196,5.768941,5.811050,306400
1999-03-04,5.867196,5.867196,5.797014,5.867196,187200
