date,open,high,low,close,volume
1999-01-04,14.847580,15.083792,14.847580,14.982558,252700
1999-01-05,15.016298,15.252510,14.881320,15.117532,527100
1999-01-06,15.252514,15.252514,14.915069,15.083792,343400
1999-01-07,14.712607,14.948818,14.712607,14.847585,270200
1999-01-08,14.847587,14.982565,14.780098,14.881331,298100
1999-01-11,14.881330,15.522476,14.881330,15.050053,581100
1999-01-12,14.712607,15.050052,14.611373,14.948818,702400
1999-01-13,14.307670,14.746349,14.307670,14.611371,237200
1999-01-14,14.577628,14.577628,14.037716,14.071461,611100
1999-01-15,14.071461,14.577629,14.071461,14.577629,144000
1999-01-19,14.510139,14.577628,14.071460,14.442650,206500
1999-01-20,14.442652,14.510141,14.138951,14.307673,262100
1999-01-21,14.442646,14.948813,14.442646,14.645113,355200
1999-01-22,14.577626,14.915071,14.408903,14.510137,513200
1999-01-25,14.442654,14.577632,14.138953,14.341420,159000
1999-01-26,14.408906,14.408906,14.105205,14.206439,420400
1999-01-27,14.273927,14.341416,14.138949,14.138949,314200
1999-01-28,13.497801,14.037713,13.295334,13.868991,656100
1999-01-29,13.700270,14.003970,13.599036,13.599036,462000
1999-02-01,13.734002,13.801491,13.565280,13.666513,236300
1999-02-02,13.497806,13.497806,13.059127,13.497806,676000
1999-02-03,13.362813,13.835236,13.362813,13.666513,347800
1999-02-04,13.801504,13.970227,13.632782,13.801504,423600
1999-02-05,13.801505,14.172695,13.734016,13.902739,295700
1999-02-08,13.902737,14.003971,13.767759,13.835248,557400
1999-02-09,13.700273,13.868995,13.362828,13.497806,678500
1999-02-10,13.497804,13.734015,13.497804,13.734015,171400
1999-02-11,13.599037,13.767760,13.497804,13.734015,138600
1999-02-12,13.734012,13.801501,13.632778,13.632778,181400
1999-02-16,13.599032,13.868988,13.362821,13.700266,164000
1999-02-17,13.599038,13.666527,13.396571,13.430315,112500
1999-02-18,13.295333,13.362822,13.126610,13.194099,367600
1999-02-19,13.126618,13.430318,13.025384,13.160362,86400
1999-02-22,13.194106,13.565295,13.160361,13.464062,173000
1999-02-23,13.396571,13.565293,13.126614,13.430315,160200
1999-02-24,13.497804,13.801505,13.160359,13.329082,146800
1999-02-25,13.227844,13.700267,13.126611,13.632778,249400
