date,open,high,low,close,volume
1999-01-04,10.345058,10.453572,9.296083,9.983342,411900
1999-01-05,9.802483,9.983341,9.549282,9.730140,265500
1999-01-06,10.164199,10.616343,10.091856,10.525914,2334000
1999-01-07,10.489744,11.484461,10.399315,11.213175,2748000
1999-01-08,11.321685,11.828086,10.996141,10.996141,1651800
1999-01-11,11.213172,11.574887,10.779114,11.448287,748200
1999-01-12,11.466375,11.574889,10.815287,11.502546,747300
1999-01-13,10.923799,11.068486,10.146112,10.779114,1793100
1999-01-14,11.122746,11.122746,10.634430,10.706773,1048500
1999-01-15,10.815287,10.815287,10.525915,10.706773,161700
1999-01-19,10.996146,11.285518,10.851459,11.213175,421500
1999-01-20,11.303602,11.412117,11.177002,11.285517,554100
1999-01-21,11.177002,11.357859,10.851458,11.068487,772500
1999-01-22,10.779114,10.923799,10.525913,10.779114,407100
1999-01-25,10.923803,11.140833,10.345059,10.417402,843000
1999-01-26,10.562083,11.014227,10.381225,10.996141,659400
1999-01-27,10.959973,11.357859,10.815286,11.249345,404100
1999-01-28,11.177002,11.303602,10.887630,11.140830,202200
1999-01-29,11.285521,11.755751,11.213178,11.574893,424200
1999-02-01,11.864261,12.117461,11.538717,11.611060,553500
1999-02-02,11.249347,11.574891,11.213176,11.430205,268200
1999-02-03,11.574888,11.611060,11.394031,11.484460,489600
1999-02-04,11.538718,11.538718,10.779116,10.842416,317100
1999-02-05,10.905712,10.959970,9.549280,10.109939,745800
1999-02-08,10.164198,10.453571,9.766312,9.766312,321300
1999-02-09,9.983341,9.983341,8.970538,9.151396,394800
1999-02-10,8.916283,9.079055,8.608826,8.644997,344100
1999-02-11,8.753512,9.513115,8.681169,9.296085,525000
1999-02-12,9.404598,9.693971,9.259912,9.259912,153600
1999-02-16,9.296085,9.838658,9.296085,9.368428,457200
1999-02-17,9.259911,9.259911,8.283280,8.572652,300900
1999-02-18,8.572654,9.133312,8.572654,9.115227,891000
1999-02-19,9.115224,9.495025,9.060967,9.359382,271800
1999-02-22,9.386512,9.834135,9.162702,9.793442,176800
1999-02-23,9.793446,10.037604,9.576417,9.657803,744200
1999-02-24,9.901956,10.118985,9.549284,9.576412,269000
1999-02-25,9.495028,9.495028,9.142356,9.318692,131800
1999-02-26,9.169484,9.332255,8.789682,8.843940,931800
1999-03-01,8.789682,8.789682,7.433249,7.541764,826800
1999-03-02,7.324736,7.324736,5.859789,6.185333,1710000
1999-03-03,6.619390,8.192852,6.510875,7.921565,3390800
1999-03-04,7.921564,8.084336,7.704535,8.002950,603600
1999-03-05,8.084339,8.192854,7.867310,8.030082,552800
1999-03-08,7.975822,8.084337,7.731664,7.813050,554600
1999-03-09,8.030081,8.057210,7.690973,7.840180,421800
1999-03-10,7.813051,7.840179,7.433250,7.487507,173600
1999-03-11,7.541765,7.704537,7.487508,7.650280,488200
1999-03-12,7.758793,7.975823,7.487507,7.568893,328800
1999-03-15,7.704536,7.813050,7.623150,7.813050,168200
1999-03-16,7.785921,7.840178,7.677406,7.758792,66000
1999-03-17,7.731660,7.813046,7.677403,7.785917,139400
1999-03-18,7.813050,8.409881,7.813050,8.409881,426200
1999-03-19,8.464140,8.599783,8.002953,8.030082,116000
1999-03-22,8.192853,8.192853,7.785923,7.840180,58000
1999-03-23,7.840179,7.840179,7.433250,7.568893,256200
1999-03-24,7.541765,7.650279,7.487508,7.623151,195200
1999-03-25,7.596020,7.840178,7.596020,7.704535,140200
1999-03-26,7.596019,8.247107,7.541762,8.057206,398400
1999-03-29,8.002951,8.219980,7.704536,7.813050,165200
1999-03-30,7.813046,7.813046,7.650274,7.785917,213600
1999-03-31,7.813048,8.138592,7.704534,7.975820,377800
1999-04-01,7.975821,7.975821,7.650277,7.758792,23600
1999-04-05,7.704534,8.301364,7.704534,8.138592,222200
1999-04-06,8.247110,11.719577,8.247110,11.231261,3153000
1999-04-07,11.502544,11.502544,9.440768,10.037598,1691600
1999-04-08,10.146116,11.068490,10.037601,10.851460,670600
1999-04-09,10.959974,13.184524,10.851460,12.153635,893000
1999-04-12,12.126505,13.130265,11.936604,12.017990,585400
1999-04-13,11.990861,12.669078,11.583932,12.506306,338200
1999-04-14,13.021750,13.048879,12.180762,12.180762,546000
1999-04-15,12.180764,12.641951,10.797203,11.421162,1222600
1999-04-16,11.719577,12.153635,11.502547,12.153635,246800
1999-04-19,12.153636,12.153636,10.851460,10.851460,371200
1999-04-20,10.905717,11.448290,10.797203,11.421162,341000
1999-04-21,11.719576,14.296797,11.665318,13.618581,1425000
1999-04-22,14.323926,14.540956,13.157395,13.211652,1043600
1999-04-23,13.184525,13.347297,12.153637,12.479180,271400
1999-04-26,12.669078,14.052639,12.587692,12.804721,624800
1999-04-27,14.161153,14.323925,13.537194,14.201846,494400
1999-04-28,14.296800,15.626104,14.106899,14.405314,613400
1999-04-29,14.568084,14.866499,14.269669,14.595213,490200
1999-04-30,15.788876,15.843133,14.432443,15.300560,1700800
1999-05-03,15.273421,15.273421,14.079761,14.785106,678400
1999-05-04,14.866502,15.517589,14.486700,15.300560,1119800
1999-05-05,15.354816,15.354816,14.296798,14.920757,1495400
1999-05-06,14.975017,15.029274,14.540959,14.947888,690000
1999-05-07,14.785112,14.975012,14.649468,14.649468,237400
1999-05-10,14.595206,14.757978,14.486692,14.703721,163600
1999-05-11,14.703724,15.978771,14.513824,15.409069,707000
1999-05-12,15.409077,17.552241,15.354820,17.213133,696000
1999-05-13,17.552233,19.207080,17.552233,18.013420,1246000
1999-05-14,17.579363,18.121936,17.362334,17.796392,391200
1999-05-17,17.687880,18.881540,17.470850,18.284710,535600
1999-05-18,18.935794,19.098566,18.338964,18.610250,1030800
1999-05-19,18.773022,19.424109,18.773022,19.261337,687800
1999-05-20,19.532622,20.617768,18.881535,20.075195,586000
1999-05-21,20.400738,20.454996,18.773020,18.773020,282600
1999-05-24,18.881537,19.559753,17.145304,17.497976,807400
1999-05-25,17.036793,18.013425,16.792635,17.362337,724000
1999-05-26,17.253815,17.470844,15.571839,15.951640,884600
1999-05-27,15.192038,15.273424,14.540951,14.893623,5376800
1999-05-28,14.947885,15.219171,14.757984,15.110657,648400
1999-06-01,15.110657,15.409072,14.486698,14.771549,819400
1999-06-02,14.866496,14.920753,13.889865,14.866496,665400
1999-06-03,15.029271,15.409072,14.975014,14.975014,1281000
1999-06-04,15.137784,15.273427,14.920755,15.192041,311400
1999-06-07,15.354810,17.416587,15.300553,16.914707,1173600
1999-06-08,17.023227,17.091049,16.060160,16.494219,357800
1999-06-09,16.439957,17.904903,16.385699,17.416588,619800
1999-06-10,17.226688,17.579360,16.901144,17.009659,336200
1999-06-11,17.199558,17.308072,16.819757,16.914707,376200
1999-06-14,16.887582,17.036790,16.277188,16.385702,315400
1999-06-15,16.304316,16.467088,15.626100,16.385702,365400
1999-06-16,17.118178,18.366096,16.819763,17.552237,508400
1999-06-17,17.389462,18.121936,17.253819,17.579363,313400
1999-06-18,17.552234,17.986292,17.416590,17.986292,163600
1999-06-21,17.742137,18.284710,17.742137,18.176195,338600
1999-06-22,18.121936,18.881538,18.067678,18.067678,598800
1999-06-23,17.959167,18.284710,17.823523,18.257582,361000
1999-06-24,18.284711,18.447483,17.850652,17.877781,273600
1999-06-25,17.877778,18.176193,16.277188,16.982533,333200
1999-06-28,16.982533,18.664509,16.819761,18.664509,464800
1999-06-29,18.311834,19.044307,18.257577,18.691635,476000
1999-06-30,18.691643,20.834807,18.284714,20.672035,1152000
1999-07-01,20.265108,20.753424,19.315605,19.315605,447000
1999-07-02,19.641143,20.292230,19.586886,20.183716,283400
1999-07-06,20.400747,20.780548,20.183718,20.427876,415200
1999-07-07,20.780544,21.268859,20.455000,20.943316,486400
1999-07-08,20.889061,22.001335,20.726289,21.621534,586600
1999-07-09,21.811430,21.974202,21.648658,21.919945,534400
1999-07-12,22.082724,22.625297,21.838566,22.191238,633400
1999-07-13,22.136980,22.408267,21.540150,21.648664,852200
1999-07-14,22.462517,24.632808,21.811430,24.280136,1787800
1999-07-15,24.117368,24.632812,23.927467,24.171625,991200
1999-07-16,24.198755,24.198755,23.737568,24.117369,595000
1999-07-19,24.415782,25.012612,24.225881,24.429346,406400
1999-07-20,24.035980,24.307267,22.950834,22.950834,407400
1999-07-21,22.950837,23.059352,21.485890,22.028463,428600
1999-07-22,22.136977,22.462521,21.702919,21.730047,344400
1999-07-23,21.757168,22.218355,20.780537,22.218355,147200
1999-07-26,21.757178,22.245494,21.485892,21.594406,511600
1999-07-27,21.594406,23.032225,21.594406,22.788067,394600
1999-07-28,22.571036,22.950837,22.516778,22.679550,194600
1999-07-29,22.571038,22.625295,21.594406,21.594406,332200
1999-07-30,21.811431,22.489647,21.811431,22.136974,115400
1999-08-02,22.136975,22.354004,21.784302,21.797867,149600
1999-08-03,22.082720,22.299749,20.455001,20.644901,534400
1999-08-04,20.617770,20.644898,18.827279,20.346483,639000
1999-08-05,20.346476,20.807663,19.098559,19.803904,285600
1999-08-06,19.288470,20.183715,18.990055,20.034508,545200
1999-08-09,19.912429,20.455002,19.315599,20.183716,426400
1999-08-10,19.803914,20.292230,19.641143,19.898865,108800
1999-08-11,19.695398,21.323116,19.668269,21.323116,203800
1999-08-12,21.377372,21.811430,21.214600,21.540144,88200
1999-08-13,21.540141,23.981718,21.540141,23.710432,377400
1999-08-16,23.710432,23.873204,23.601917,23.846075,930600
1999-08-17,24.117366,24.741325,22.896577,22.950834,560200
1999-08-18,22.896578,23.005092,22.299747,22.299747,290400
1999-08-19,22.543905,23.873209,22.516777,23.317072,296200
1999-08-20,23.289942,23.439150,22.842320,23.439150,168800
1999-08-23,23.846082,23.927468,23.167866,23.384895,247200
1999-08-24,23.222125,23.818956,23.222125,23.805391,195400
1999-08-25,23.805387,24.035980,23.222121,23.439150,131600
1999-08-26,23.520537,24.795583,23.439151,24.361525,603400
1999-08-27,24.334394,24.849838,24.144494,24.225880,464400
1999-08-30,24.198750,25.202509,24.144492,24.863401,564200
