date,open,high,low,close,volume
1999-01-04,7.521791,7.745040,7.521791,7.676348,1197600
1999-01-05,7.659172,7.762210,7.590480,7.607653,578000
1999-01-06,7.590484,7.830906,7.556138,7.813733,931000
1999-01-07,7.693520,7.830905,7.521790,7.556136,1358200
1999-01-08,7.624830,7.830906,7.590484,7.813733,2049000
1999-01-11,7.745040,7.813732,7.401579,7.401579,1161000
1999-01-12,7.384406,7.487444,7.350060,7.384406,946800
1999-01-13,7.075292,7.676348,7.075292,7.487445,2008800
1999-01-14,7.143987,7.384409,7.092467,7.332890,4045400
1999-01-15,7.418755,7.435928,7.298544,7.332890,1386400
1999-01-19,7.212676,7.281368,7.109638,7.229849,2133400
1999-01-20,7.212676,7.212676,7.075291,7.092464,1265800
1999-01-21,6.972256,7.126814,6.869218,6.937910,2269800
1999-01-22,6.886386,7.092463,6.852040,7.058116,1213200
1999-01-25,7.058122,7.247025,7.040949,7.178333,1563800
1999-01-26,7.161156,7.195502,7.126810,7.195502,1092000
1999-01-27,7.178330,7.212676,7.058118,7.092464,1412000
1999-01-28,7.075292,7.487445,7.040946,7.401579,2762800
1999-01-29,7.350061,7.521791,7.332888,7.487445,1166800
1999-02-01,7.453098,7.470271,7.212676,7.229849,1606400
1999-02-02,7.212676,7.315714,7.212676,7.281368,995600
1999-02-03,7.212679,7.384409,7.195506,7.332890,850600
1999-02-04,7.332887,7.367233,7.247022,7.281368,1037400
1999-02-05,7.298542,7.350061,7.264196,7.315715,1075200
1999-02-08,7.384406,7.384406,7.247021,7.298541,1021400
1999-02-09,7.281368,7.281368,7.178330,7.212676,1147000
1999-02-10,7.212676,7.247022,7.161157,7.212676,903600
1999-02-11,7.143984,7.315714,7.143984,7.281368,584200
1999-02-12,7.281363,7.281363,7.092460,7.161152,1138000
1999-02-16,7.161152,7.281363,7.143979,7.161152,1150400
1999-02-17,7.195498,7.350055,7.161152,7.350055,1459600
1999-02-18,7.350060,7.453098,7.298540,7.418752,1300000
1999-02-19,7.418752,7.470271,7.401579,7.418752,1543000
1999-02-22,7.418750,7.727865,7.384404,7.710692,3114000
1999-02-23,7.727870,7.796562,7.642004,7.796562,2033400
