date,open,high,low,close,volume
1999-01-04,7.988403,8.215024,7.808994,7.950633,4541982
1999-01-05,7.912863,8.016730,7.903420,7.950633,3722823
1999-01-06,7.968822,8.206272,7.949826,8.206272,4244744
1999-01-07,8.700170,8.700170,8.443724,8.491214,5794221
1999-01-08,8.529204,8.766654,8.481715,8.766654,4254012
1999-01-11,8.747654,8.757152,8.149281,8.377233,4834586
1999-01-12,8.358234,8.424720,8.168274,8.168274,3805044
1999-01-13,8.054302,8.519704,8.044804,8.244262,4279698
1999-01-14,8.149282,8.320246,8.130286,8.244262,4254277
1999-01-15,8.320246,8.500709,8.244262,8.500709,3609621
1999-01-19,8.586189,9.004101,8.510205,8.966109,5260120
1999-01-20,9.108579,9.108579,8.861631,8.890125,4818698
1999-01-21,8.966108,8.966108,8.529200,8.690666,5431048
1999-01-22,8.548198,8.662175,8.462716,8.605186,6274568
1999-01-25,8.605180,8.652670,8.244256,8.253755,6520303
1999-01-26,8.215770,8.358240,7.769364,8.206272,8019203
1999-01-27,8.244265,8.272759,8.168281,8.187278,5198024
1999-01-28,8.149281,8.310747,8.149281,8.215767,4356754
1999-01-29,8.206272,8.348742,8.006814,8.206272,3768369
1999-02-01,8.215766,8.215766,7.949823,7.987814,3326947
1999-02-02,7.949826,7.959324,7.702878,7.892838,3878128
1999-02-03,7.883337,7.949822,7.759862,7.816850,3728384
1999-02-04,7.788357,7.816851,7.607895,7.712373,3531638
1999-02-05,7.712374,7.788358,7.693379,7.740869,4173116
1999-02-08,7.854845,7.854845,7.702877,7.807355,4468103
1999-02-09,7.788358,8.006812,7.778860,7.921330,4703510
1999-02-10,7.949822,7.997312,7.864340,7.902332,4458702
1999-02-11,7.892839,7.997317,7.845349,7.940329,2764512
1999-02-12,7.949823,7.997313,7.655385,7.721871,2183541
1999-02-16,7.721873,7.778861,7.645889,7.731371,3623126
1999-02-17,7.759860,8.006809,7.731367,7.750363,4819757
1999-02-18,7.826350,7.987816,7.759864,7.959322,2699239
1999-02-19,7.826346,7.978314,7.721868,7.854840,3900901
1999-02-22,7.864338,8.348736,7.864338,8.291748,3459744
1999-02-23,8.358236,8.358236,7.892834,7.930827,4335306
1999-02-24,7.987818,8.244264,7.978320,8.206272,3767574
1999-02-25,8.120786,8.120786,7.816850,7.997313,3972530
1999-02-26,7.987819,8.063803,7.835851,8.035310,3210832
1999-03-01,8.016312,8.016312,7.797858,7.892838,2995815
1999-03-02,7.911831,7.921330,7.541410,7.883338,3519854
1999-03-03,7.569906,7.626894,7.417938,7.455930,4070770
1999-03-04,7.484422,7.636390,7.455929,7.503418,4749453
1999-03-05,7.712374,7.902334,7.674382,7.873840,4596663
1999-03-08,7.940327,7.940327,7.731371,7.797857,3291596
1999-03-09,7.807353,8.054300,7.759862,7.902332,3829670
1999-03-10,7.883334,7.892832,7.712370,7.854840,2282311
1999-03-11,7.835848,8.101792,7.835848,8.101792,2729029
1999-03-12,8.206270,8.215768,7.940326,8.063800,3177732
1999-03-15,8.063799,8.177775,8.035305,8.082795,2798804
1999-03-16,8.044804,8.168278,7.978319,8.111290,2630656
1999-03-17,8.044804,8.044804,7.788358,7.807355,3277165
1999-03-18,7.845346,7.959322,7.826350,7.921330,2974763
1999-03-19,7.911828,7.978315,7.683876,7.750363,5159496
1999-03-22,7.759865,7.845347,7.636391,7.664885,2521161
1999-03-23,7.702875,7.702875,7.284963,7.379942,3730105
1999-03-24,7.465424,7.560403,7.275464,7.541408,4702451
1999-03-25,7.531911,7.531911,7.389441,7.389441,3527930
1999-03-26,7.398941,7.398941,7.199483,7.218479,3640338
1999-03-29,7.303961,7.370446,7.284964,7.341952,4004306
1999-03-30,7.237471,7.275463,7.000021,7.066507,5708956
1999-03-31,7.180485,7.379943,7.161489,7.170988,6191818
1999-04-01,7.351450,7.560405,7.294462,7.560405,5594827
1999-04-05,7.522413,7.750365,7.446429,7.721871,4979696
1999-04-06,7.721874,7.740869,7.588901,7.693379,4205818
1999-04-07,7.732820,7.981342,7.694587,7.981342,4699406
1999-04-08,7.952666,8.153395,7.923991,8.105602,5049868
1999-04-09,8.067371,8.076930,7.914435,7.943110,4582099
1999-04-12,7.876200,8.306333,7.876200,8.248981,4052234
1999-04-13,8.220304,8.239421,7.933549,7.981342,2936367
1999-04-14,8.010019,8.010019,7.799732,7.876200,5162408
1999-04-15,7.837963,7.914431,7.742379,7.799730,3099087
1999-04-16,7.799730,8.010017,7.799730,7.981342,3938106
1999-04-19,8.019576,8.335006,7.990900,8.096044,5243834
1999-04-20,8.105600,8.354120,8.105600,8.354120,7048446
1999-04-21,8.354123,8.707788,8.306331,8.707788,8098511
1999-04-22,8.707784,8.707784,8.430588,8.669550,5623293
1999-04-23,8.640877,8.640877,8.459266,8.497499,4273872
1999-04-26,8.487944,8.564412,8.373241,8.382800,2885923
1999-04-27,8.421034,8.487944,8.354125,8.421034,3803852
1999-04-28,8.430595,8.535739,8.382803,8.487947,3333700
1999-04-29,8.554851,8.717346,8.468824,8.526175,4105856
1999-04-30,8.545292,8.688670,8.373240,8.526175,5241848
1999-05-03,8.526174,8.535733,8.335005,8.373239,4026019
1999-05-04,8.401912,8.411471,8.229859,8.344561,4228194
1999-05-05,8.354123,8.440150,8.296772,8.363681,3019514
1999-05-06,8.239422,8.325448,8.019576,8.182071,3063471
1999-05-07,8.210743,8.306328,8.182068,8.287211,3230163
1999-05-10,8.277655,8.277655,7.971783,8.096044,2247490
1999-05-11,8.105600,8.115158,7.914430,8.067366,3404136
1999-05-12,7.971785,8.268098,7.876200,8.153397,4289098
1999-05-13,8.143835,8.210745,8.086485,8.134277,3078168
1999-05-14,7.933550,8.115161,7.876199,8.115161,3207787
1999-05-17,8.134281,8.134281,7.866643,7.990903,2916375
1999-05-18,7.952666,7.962224,7.646794,7.751938,4156698
1999-05-19,7.828409,7.923994,7.809291,7.837967,2995550
1999-05-20,7.847523,8.019575,7.847523,7.952666,2907901
1999-05-21,7.952671,7.952671,7.685033,7.713708,2342156
1999-05-24,7.809290,7.914434,7.761498,7.790174,3043082
1999-05-25,7.857081,8.105602,7.723262,7.723262,3773400
1999-05-26,7.818848,8.115161,7.809289,7.933550,3703758
1999-05-27,7.876198,7.962224,7.685028,7.685028,3444651
1999-05-28,7.665910,7.895314,7.665910,7.818846,3016204
1999-06-01,7.857082,7.933550,7.646795,7.933550,3147413
1999-06-02,7.952665,8.038691,7.885756,7.914431,2898633
1999-06-03,7.962223,7.971782,7.761495,7.923990,2376712
1999-06-04,7.962221,8.210742,7.933546,8.210742,3814709
1999-06-07,8.210751,8.258543,8.143841,8.258543,2266026
1999-06-08,8.258539,8.411475,8.258539,8.411475,3947638
1999-06-09,8.421034,8.478385,8.382800,8.421034,2787417
1999-06-10,8.373241,8.411475,8.229864,8.411475,3766250
1999-06-11,8.392362,8.392362,8.172516,8.258543,3533624
1999-06-14,8.287211,8.373237,8.258536,8.354120,5307519
1999-06-15,8.335008,8.401917,8.335008,8.382800,4060046
1999-06-16,8.392362,8.401920,8.344568,8.392362,2683748
1999-06-17,8.354124,8.421033,8.306332,8.411475,3895605
1999-06-18,8.411468,8.459260,8.363675,8.440144,6195128
1999-06-21,8.411476,8.421034,8.268098,8.421034,2671700
1999-06-22,8.411472,8.430589,8.239419,8.287211,2961920
1999-06-23,8.315886,8.344561,8.105600,8.143833,3287757
1999-06-24,8.143835,8.143835,7.799730,7.914431,5522536
1999-06-25,7.914433,8.029136,7.914433,8.019577,3304704
1999-06-28,8.134280,8.229865,8.115163,8.229865,3868463
1999-06-29,8.229862,8.335006,8.076926,8.335006,6306477
1999-06-30,8.411477,8.870285,8.363684,8.870285,8801290
