date,open,high,low,close,volume
1999-01-04,2.237035,2.243654,2.223798,2.237035,1433600
1999-01-05,2.230417,2.237035,2.223798,2.223798,532000
1999-01-06,2.210561,2.237035,2.170850,2.210561,2282400
1999-01-07,2.210561,2.230417,2.197324,2.203943,127200
1999-01-08,2.197324,2.223798,2.197324,2.210561,980000
1999-01-11,2.223798,2.237035,2.217180,2.237035,3165600
1999-01-12,2.217180,2.237035,2.137759,2.177469,219200
1999-01-13,2.157613,2.197324,2.131139,2.170850,394400
1999-01-14,2.170851,2.210561,2.170851,2.190706,184800
1999-01-15,2.184087,2.342930,2.184087,2.289983,5192800
1999-01-19,2.382641,2.620905,2.336313,2.528247,3353600
1999-01-20,2.534866,2.693709,2.515010,2.640761,1332000
1999-01-21,2.713563,2.779748,2.515010,2.541484,988000
1999-01-22,2.409115,2.554720,2.276746,2.435588,734400
1999-01-25,2.462063,2.541484,2.462063,2.528247,656000
1999-01-26,2.528247,2.594432,2.435589,2.488536,311200
1999-01-27,2.528246,2.528246,2.435588,2.462062,166400
1999-01-28,2.541484,2.713563,2.501773,2.693708,573600
1999-01-29,2.687090,2.713564,2.634142,2.673853,389600
1999-02-01,2.673853,2.673853,2.634142,2.640761,252000
1999-02-02,2.660616,2.700326,2.567957,2.587813,733600
1999-02-03,2.528247,2.660616,2.515010,2.660616,1261600
1999-02-04,2.660614,2.660614,2.620904,2.620904,466400
1999-02-05,2.647379,2.647379,2.594432,2.607668,311200
1999-02-08,2.634142,2.673853,2.594431,2.653998,370400
1999-02-09,2.673851,2.673851,2.620904,2.620904,433600
1999-02-10,2.620905,2.647379,2.475299,2.488536,722400
1999-02-11,2.488536,2.660616,2.303220,2.607668,1070400
1999-02-12,2.607668,2.660616,2.567958,2.601050,584000
1999-02-16,2.581195,2.647379,2.581195,2.594431,540800
1999-02-17,2.567957,2.647379,2.554721,2.587813,399200
1999-02-18,2.587814,2.660616,2.587814,2.640761,1048000
1999-02-19,2.634141,2.673852,2.607667,2.614286,464000
1999-02-22,2.620906,2.640761,2.614287,2.634142,593600
1999-02-23,2.620904,2.806221,2.620904,2.740036,1118400
1999-02-24,2.792985,2.912117,2.766511,2.806222,771200
1999-02-25,2.819458,2.819458,2.567957,2.713562,773600
1999-02-26,2.726800,2.753274,2.567957,2.647378,522400
1999-03-01,2.687090,2.832695,2.647379,2.792985,912000
1999-03-02,2.773129,2.872405,2.753273,2.845931,707200
1999-03-03,2.845932,2.872406,2.806222,2.806222,544800
1999-03-04,2.859169,2.885643,2.660616,2.660616,305600
1999-03-05,2.726800,2.740037,2.647379,2.700326,367200
1999-03-08,2.673853,2.726800,2.673853,2.700326,568800
1999-03-09,2.700326,2.806222,2.700326,2.726800,268000
1999-03-10,2.713563,2.859169,2.713563,2.753274,451200
1999-03-11,2.753274,2.806222,2.700327,2.766511,1044000
1999-03-12,2.792984,2.872405,2.766510,2.852551,364000
1999-03-15,2.859168,2.885642,2.799602,2.859168,832000
1999-03-16,2.859169,2.885642,2.832695,2.872406,284000
1999-03-17,2.872405,2.872405,2.766510,2.845931,253600
