date,open,high,low,close,volume
1999-01-04,31.825757,31.825757,31.076397,31.208637,80500
1999-01-05,31.032299,31.164539,30.591499,30.591499,106000
1999-01-06,30.679679,30.679679,30.459279,30.635599,41300
1999-01-07,30.238861,30.415181,29.709902,29.709902,56900
1999-01-08,29.798061,29.798061,28.828302,29.136862,92900
1999-01-11,28.960550,29.136870,27.770391,28.519751,87500
1999-01-12,28.475653,28.651973,28.211173,28.475653,44400
1999-01-13,28.299349,29.313188,27.726309,28.960548,89800
1999-01-14,29.180934,29.180934,28.299335,28.387495,32700
1999-01-15,28.255271,28.519751,28.255271,28.519751,23100
1999-01-19,28.563841,28.563841,28.211201,28.255281,35800
1999-01-20,28.431601,28.431601,28.123041,28.255281,137400
1999-01-21,28.211184,28.211184,27.065104,27.329584,151100
1999-01-22,27.197344,27.858543,27.109184,27.858543,39800
1999-01-25,27.946711,28.123031,27.505912,27.549992,51000
1999-01-26,27.594076,28.034876,27.329597,27.726316,105100
1999-01-27,27.505917,27.902637,26.712477,27.197357,142900
1999-01-28,27.417736,27.594056,27.109177,27.109177,45300
1999-01-29,27.285507,27.285507,26.712467,26.712467,42100
1999-02-01,27.065104,27.946703,27.065104,27.858543,43000
1999-02-02,27.770385,27.858545,27.373665,27.505905,78300
1999-02-03,27.153265,28.034865,27.153265,27.505905,93800
1999-02-04,27.505910,27.505910,26.844710,27.461830,34500
1999-02-05,27.461834,27.461834,26.712474,26.888794,29900
1999-02-08,26.888776,27.021016,26.712456,26.844696,55800
1999-02-09,26.844696,26.976936,26.624296,26.844696,54300
1999-02-10,26.712464,26.976944,26.403904,26.536144,29400
1999-02-11,26.624314,27.153274,26.447994,26.800634,77900
1999-02-12,26.712467,26.712467,25.919028,26.051268,74300
1999-02-16,26.403914,26.976954,26.403914,26.888794,78000
1999-02-17,27.241429,27.814468,26.932869,27.373669,99100
1999-02-18,27.197351,27.682231,26.624311,26.624311,114700
1999-02-19,26.712456,27.065096,26.712456,26.844696,50600
1999-02-22,26.756549,26.756549,26.359829,26.492069,131200
1999-02-23,26.396567,27.192444,26.308137,26.971367,231600
1999-02-24,26.971360,26.971360,25.910192,25.998623,83300
1999-02-25,25.998626,26.131272,25.291180,25.335396,139700
1999-02-26,25.423821,25.423821,24.893237,25.158529,121200
1999-03-01,25.423818,26.263909,25.335387,25.777540,71100
1999-03-02,25.910186,26.042832,25.733325,25.777540,43600
1999-03-03,25.910185,25.910185,25.468032,25.733324,97700
1999-03-04,25.600690,25.954412,25.556474,25.954412,53500
1999-03-05,26.087063,26.396570,25.998632,26.175493,40100
1999-03-08,26.175492,26.352354,25.733339,25.910200,87200
1999-03-09,25.910205,25.910205,24.760605,25.423836,110300
1999-03-10,25.423831,25.600692,25.246969,25.556477,53800
1999-03-11,25.644911,26.617649,25.600695,26.485003,66500
1999-03-12,26.617635,26.617635,25.777543,26.042835,58000
1999-03-15,26.175481,26.484989,25.998620,26.042835,57400
1999-03-16,26.219699,26.794499,26.175484,26.396561,70300
1999-03-17,26.175495,26.529218,25.998634,26.485003,42600
1999-03-18,26.396563,26.927147,26.175486,26.529209,59300
1999-03-19,26.396564,26.706071,25.865979,26.352348,75600
1999-03-22,26.440789,26.440789,25.158544,25.423836,76200
1999-03-23,25.379606,25.379606,24.937453,25.158529,73100
1999-03-24,25.246970,25.733339,25.246970,25.689123,61000
1999-03-25,25.689123,26.219707,25.689123,25.865984,89800
1999-03-26,25.689118,25.733333,25.512257,25.512257,133100
1999-03-29,25.512257,25.689119,25.291180,25.335396,122600
1999-03-30,25.246964,25.246964,24.583733,24.937456,77800
1999-03-31,25.025887,25.070102,23.787857,24.097364,105400
1999-04-01,24.053159,24.937466,24.053159,24.849035,51300
1999-04-05,25.114322,25.114322,24.097369,24.760599,103900
1999-04-06,24.849016,25.468031,24.495294,25.468031,79800
1999-04-07,25.291182,25.291182,24.318444,24.362659,121500
1999-04-08,24.362647,24.583724,23.832063,24.008924,71900
1999-04-09,23.876292,24.760599,23.655215,24.760599,53300
1999-04-12,24.672163,26.131269,24.672163,25.998623,102500
1999-04-13,25.998634,26.750296,25.865988,26.219711,72000
1999-04-14,26.263921,27.236659,26.219706,26.971367,82000
1999-04-15,27.325087,28.474686,27.236656,28.297825,157000
1999-04-16,28.342042,29.182134,28.342042,29.137918,152900
1999-04-19,29.447416,31.216029,29.447416,30.862307,241300
1999-04-20,30.773889,30.818105,28.651552,28.651552,106900
1999-04-21,28.651551,29.845366,28.474690,29.668505,74800
1999-04-22,29.756918,29.845348,29.535841,29.535841,127100
1999-04-23,29.403196,29.535842,28.872612,29.182119,67700
1999-04-26,29.358987,29.933787,29.270557,29.756926,94300
1999-04-27,29.712699,29.845345,28.563101,28.563101,115400
1999-04-28,28.651551,29.889582,28.651551,29.668505,139400
1999-04-29,29.889581,30.950750,29.668504,30.906534,106800
1999-04-30,30.906536,31.260259,30.818106,30.818106,84800
1999-05-03,30.729658,31.348673,30.464366,31.348673,96500
1999-05-04,31.348687,31.923487,31.348687,31.835056,103700
1999-05-05,32.542499,32.542499,31.746623,31.879269,138000
1999-05-06,31.879263,32.144556,31.658187,31.702402,72100
1999-05-07,31.746614,32.011906,31.746614,32.011906,134800
1999-05-10,32.100351,32.807796,32.011920,32.807796,140300
1999-05-11,32.719355,32.763571,32.188771,32.454063,91900
1999-05-12,32.409858,32.454073,32.100350,32.365643,81000
1999-05-13,32.365643,32.409859,32.144567,32.409859,70500
