date,open,high,low,close,volume
1999-01-04,2.746465,2.793818,2.651759,2.675436,10164000
1999-01-05,2.693193,2.817494,2.687273,2.793817,10439200
1999-01-06,2.799736,2.941795,2.758302,2.929956,15497600
1999-01-07,2.912200,2.929957,2.781979,2.841170,9455200
1999-01-08,2.817494,2.835252,2.657679,2.699112,10565600
1999-01-11,2.675434,2.722787,2.663596,2.687272,8642400
1999-01-12,2.681355,2.710950,2.634002,2.699112,8180000
1999-01-13,2.604405,2.722787,2.562971,2.705030,6044800
1999-01-14,2.693191,2.858926,2.693191,2.734625,9890400
1999-01-15,2.805655,2.835251,2.722787,2.722787,7826400
1999-01-19,2.746464,2.835251,2.746464,2.829331,6204800
1999-01-20,2.805655,2.817494,2.699111,2.740546,7352000
1999-01-21,2.675436,2.716870,2.675436,2.699112,10436000
1999-01-22,2.699111,2.781978,2.699111,2.764221,9986400
1999-01-25,2.746465,2.835252,2.746465,2.835252,4648800
1999-01-26,2.811575,2.924038,2.793817,2.841170,11726400
1999-01-27,2.746464,2.835251,2.746464,2.781979,8675200
1999-01-28,2.758301,2.823412,2.752383,2.770139,8960800
1999-01-29,2.793817,2.811574,2.758302,2.799736,7974400
1999-02-01,2.793817,2.793817,2.699111,2.722787,8623200
1999-02-02,2.663597,2.764222,2.663597,2.752384,8295200
1999-02-03,2.746464,2.953633,2.746464,2.947714,9820800
1999-02-04,2.959552,3.018743,2.817494,2.841170,14827200
1999-02-05,2.853009,2.918120,2.841171,2.900362,8641600
1999-02-08,2.900361,2.959552,2.847089,2.935875,7644800
1999-02-09,2.903170,2.926869,2.737274,2.772823,9256000
1999-02-10,2.772824,2.808373,2.749125,2.784674,8394400
1999-02-11,2.760974,2.820223,2.713576,2.808373,11291200
1999-02-12,2.820222,2.820222,2.701726,2.725425,4672000
1999-02-16,2.701727,2.790600,2.695802,2.790600,5946400
1999-02-17,2.760974,2.784673,2.666176,2.672101,5423200
1999-02-18,2.689876,2.713576,2.589154,2.636553,5759200
1999-02-19,2.642477,2.689876,2.630627,2.648402,11502400
1999-02-22,2.654327,2.885396,2.648403,2.867621,8247200
1999-02-23,2.843922,2.843922,2.725425,2.766899,7125600
1999-02-24,2.749125,2.790599,2.707652,2.743201,6296000
1999-02-25,2.719501,2.719501,2.565455,2.683952,5920800
1999-02-26,2.737274,2.760973,2.672101,2.707650,6029600
1999-03-01,2.689877,2.879472,2.683952,2.861697,11150400
1999-03-02,2.915019,3.021667,2.867621,2.926869,15622400
1999-03-03,2.950570,3.098691,2.938720,3.027593,18684000
1999-03-04,3.104615,3.122390,3.021667,3.033517,15561600
1999-03-05,3.128314,3.199412,3.128314,3.181638,14873600
1999-03-08,3.205336,3.205336,3.128313,3.152013,9081600
1999-03-09,3.128315,3.282360,3.104615,3.252737,11816800
1999-03-10,3.252736,3.341608,3.229037,3.341608,9914400
1999-03-11,3.341608,3.353458,3.080915,3.163863,10940800
1999-03-12,3.187562,3.294209,3.063141,3.092765,12246400
1999-03-15,3.080916,3.116465,3.074992,3.110541,8008000
1999-03-16,3.033517,3.074991,3.015743,3.033517,7918400
1999-03-17,3.009818,3.199413,2.938720,3.199413,9078400
1999-03-18,3.175712,3.193487,3.033516,3.175712,4876000
1999-03-19,3.163863,3.175713,3.086840,3.092765,6721600
1999-03-22,3.080916,3.128315,3.069066,3.080916,4313600
1999-03-23,3.092765,3.122389,3.057216,3.086840,7450400
1999-03-24,3.092764,3.152012,3.009816,3.051291,9478400
1999-03-25,3.045366,3.234961,3.033517,3.205337,11711200
1999-03-26,3.199411,3.246809,3.187561,3.229035,5455200
1999-03-29,3.252737,3.353459,3.240887,3.317910,7003200
1999-03-30,3.211262,3.306060,3.199413,3.211262,7967200
1999-03-31,3.234962,3.264586,3.223112,3.223112,8461600
1999-04-01,3.205337,3.223111,3.163863,3.187562,7209600
1999-04-05,3.246812,3.258661,3.181639,3.240887,7105600
1999-04-06,3.246811,3.365308,3.199412,3.359383,14977600
1999-04-07,3.353458,3.365308,3.276436,3.311985,9090400
1999-04-08,3.335683,3.400856,3.306059,3.365307,10207200
1999-04-09,3.371233,3.412706,3.306059,3.389007,9691200
1999-04-12,3.389007,3.483804,3.365307,3.448255,7516800
1999-04-13,3.436406,3.507504,3.353458,3.359383,6441600
1999-04-14,3.347534,3.389008,3.211262,3.223112,8986400
1999-04-15,3.205337,3.264586,3.116465,3.146089,9690400
1999-04-16,3.116463,3.217186,3.104614,3.116463,7866400
1999-04-19,3.116465,3.234962,2.962419,2.974269,10828800
1999-04-20,2.997968,3.086841,2.997968,3.021667,10112800
1999-04-21,3.074990,3.193487,3.057216,3.187562,5456000
1999-04-22,3.205337,3.223112,3.122390,3.163863,4177600
1999-04-23,3.128314,3.246811,3.128314,3.246811,5540000
1999-04-26,3.246811,3.282360,3.163863,3.205337,6592800
1999-04-27,3.223113,3.258662,3.140165,3.234962,5360000
1999-04-28,3.187562,3.229036,3.051291,3.063140,7092800
1999-04-29,3.069066,3.211262,3.069066,3.092765,12217600
1999-04-30,3.128315,3.240887,3.128315,3.157939,9105600
1999-05-03,3.140164,3.152014,3.039442,3.104615,11490400
1999-05-04,3.057216,3.229037,3.045366,3.146089,7439200
1999-05-05,3.169788,3.205337,3.057216,3.086840,8374400
1999-05-06,3.080916,3.080916,2.837998,2.891321,22561600
1999-05-07,2.891320,2.997968,2.784673,2.980193,18399200
1999-05-10,2.956495,2.956495,2.826148,2.843922,13944800
1999-05-11,2.882835,2.930289,2.829449,2.870971,12713600
1999-05-12,2.894698,2.930289,2.835381,2.870971,8407200
1999-05-13,2.894698,2.977743,2.870971,2.876903,10270400
1999-05-14,2.865039,2.865039,2.770131,2.799789,7037600
1999-05-17,2.811654,2.841313,2.728610,2.841313,10244000
1999-05-18,2.823516,2.930288,2.758267,2.781994,17553600
1999-05-19,2.841312,2.882834,2.793858,2.817585,15128000
1999-05-20,2.870972,2.936221,2.841313,2.847245,22276000
1999-05-21,2.847243,2.882834,2.799789,2.823516,18112000
1999-05-24,2.876902,2.876902,2.728608,2.728608,16152800
1999-05-25,2.752336,2.811653,2.752336,2.758268,19796800
1999-05-26,2.781994,2.823516,2.764199,2.781994,15411200
1999-05-27,2.770131,2.865039,2.764199,2.811653,11092000
1999-05-28,2.811654,2.900631,2.811654,2.847245,9196000
1999-06-01,2.847244,2.936220,2.835380,2.936220,9587200
1999-06-02,2.942153,2.989607,2.859108,2.870971,8137600
1999-06-03,2.918426,2.989607,2.906562,2.942153,6074400
1999-06-04,2.942151,2.977742,2.894697,2.971811,7125600
1999-06-07,2.959947,2.965879,2.918425,2.918425,3413600
1999-06-08,2.930289,2.930289,2.859108,2.894698,6281600
1999-06-09,2.888767,2.912494,2.859108,2.870971,4445600
1999-06-10,2.865040,2.900630,2.865040,2.876903,3540000
1999-06-11,2.894697,2.924356,2.847243,2.882834,5180000
1999-06-14,2.906562,2.930289,2.859108,2.870971,4382400
1999-06-15,2.859107,2.918425,2.811653,2.811653,7204800
1999-06-16,2.870971,2.977743,2.865040,2.930289,6420000
1999-06-17,2.894698,2.977742,2.894698,2.936220,8468800
1999-06-18,2.918425,2.977742,2.906561,2.936220,10100800
1999-06-21,2.936220,3.007401,2.924357,3.007401,5321600
1999-06-22,2.983675,3.048924,2.965880,3.031129,8853600
1999-06-23,3.025196,3.025196,2.906561,2.971811,10484000
1999-06-24,3.013332,3.084513,2.989605,3.066719,9692000
1999-06-25,3.042993,3.155696,3.042993,3.137902,12724800
1999-06-28,3.131970,3.262468,3.090448,3.226878,10149600
1999-06-29,3.215013,3.262467,3.131968,3.262467,6496000
1999-06-30,3.262468,3.262468,3.155696,3.161628,8836000
1999-07-01,3.262468,3.262468,3.179424,3.226878,6460000
1999-07-02,3.215012,3.321784,3.215012,3.298057,4432800
1999-07-06,3.321784,3.410761,3.250603,3.274330,6632000
1999-07-07,3.274331,3.303990,3.226877,3.268399,3967200
1999-07-08,3.321785,3.381103,3.238740,3.238740,11014400
1999-07-09,3.256536,3.280263,3.096378,3.197218,13832800
1999-07-12,3.220943,3.244670,3.167557,3.232807,3761600
1999-07-13,3.209082,3.238741,3.143832,3.209082,3356000
1999-07-14,3.209080,3.262465,3.179421,3.232807,2567200
1999-07-15,3.250603,3.327717,3.250603,3.280262,5578400
1999-07-16,3.298058,3.321785,3.262467,3.292126,4572800
1999-07-19,3.298056,3.303988,3.209080,3.232807,3305600
1999-07-20,3.197217,3.268398,3.084514,3.114173,9263200
1999-07-21,3.120106,3.226877,3.120106,3.161628,3473600
1999-07-22,3.161628,3.179422,3.037060,3.090446,8376000
1999-07-23,3.084515,3.137901,3.042993,3.060788,3837600
