date,open,high,low,close,volume
1999-01-04,9.683012,9.925087,9.440937,9.786758,1353000
1999-01-05,9.786759,10.720478,9.752177,10.685896,1995800
1999-01-06,10.789640,10.927969,10.270907,10.357363,1189400
1999-01-07,10.236323,10.547563,10.167159,10.340070,805600
1999-01-08,10.340070,10.547563,10.080704,10.080704,404000
1999-01-11,10.167154,10.236319,9.821333,9.942370,410600
1999-01-12,9.959669,10.236327,9.925087,10.011542,1476000
1999-01-13,9.544680,9.855920,9.423643,9.683009,1362800
1999-01-14,9.838630,9.925086,9.129696,9.233442,745200
1999-01-15,9.544684,9.579266,9.337190,9.510101,687000
1999-01-19,9.683012,9.683012,9.319899,9.380418,637200
1999-01-20,9.475515,9.579261,9.319895,9.371768,658400
1999-01-21,9.389057,9.389057,8.956780,9.008654,633600
1999-01-22,9.095111,9.164275,8.853036,8.853036,597800
1999-01-25,9.060529,9.337186,8.818454,8.853036,1040800
1999-01-26,8.922202,9.596555,8.835747,9.475517,1205000
1999-01-27,9.665720,9.821340,9.440936,9.561974,1815600
1999-01-28,9.648428,10.253616,9.579264,10.184452,1313000
1999-01-29,10.149868,10.340070,9.959666,10.115286,1194000
1999-02-01,10.219034,10.478400,9.613846,9.613846,2591000
1999-02-02,9.613842,9.683006,9.095109,9.397703,1846000
1999-02-03,9.268022,9.475515,9.095111,9.268022,1387800
1999-02-04,9.337190,9.510101,9.319898,9.406354,925400
1999-02-05,9.233441,9.475516,9.233441,9.354479,1151400
1999-02-08,9.371771,9.406353,9.095114,9.233442,703600
1999-02-09,9.146983,9.337185,8.853035,8.887617,984600
1999-02-10,8.853036,9.060529,8.610961,8.680125,1037800
1999-02-11,8.783873,9.164277,8.749291,9.043240,1479400
1999-02-12,9.008658,9.025949,8.610963,8.662836,693400
1999-02-16,8.749291,8.783873,8.507215,8.576380,1155200
1999-02-17,8.455342,8.714709,8.334305,8.420760,899600
1999-02-18,8.576379,8.645543,8.438050,8.593670,954200
1999-02-19,8.645542,8.783871,8.455340,8.455340,833800
1999-02-22,8.507214,8.887618,8.472632,8.783872,1660400
1999-02-23,8.801164,8.991366,8.783873,8.948138,1459800
1999-02-24,8.991364,9.129693,8.438049,8.455340,827000
1999-02-25,8.576378,8.576378,8.213265,8.265139,1112800
1999-02-26,8.195977,8.524508,8.092230,8.524508,909000
1999-03-01,8.524505,8.853036,8.455341,8.853036,1260200
1999-03-02,8.853038,9.371771,8.714710,9.112405,2005400
1999-03-03,9.233441,9.233441,8.922201,9.095112,1947200
1999-03-04,9.060528,9.570615,8.956782,9.371768,2264200
1999-03-05,9.510096,9.804045,9.406350,9.717589,2130600
1999-03-08,9.734881,9.734881,9.250730,9.285313,889800
1999-03-09,9.268020,9.371766,9.129691,9.319893,578600
1999-03-10,9.337188,9.423643,9.268023,9.354479,665800
1999-03-11,9.458227,9.994251,9.371772,9.994251,1079000
1999-03-12,9.994254,10.063419,9.804052,9.855926,1793600
1999-03-15,9.959666,10.478399,9.890502,10.270905,2400800
1999-03-16,10.236317,10.755049,10.236317,10.608075,1881600
1999-03-17,10.616727,10.616727,10.270905,10.340070,1109800
1999-03-18,10.374649,11.031710,10.253611,10.616724,1529400
1999-03-19,10.443816,10.997131,10.167159,10.167159,1854200
1999-03-22,10.167157,10.305486,9.925082,9.959664,975800
1999-03-23,9.987406,9.987406,9.363193,9.415211,721000
1999-03-24,9.588605,9.605944,9.051088,9.293838,1237800
1999-03-25,9.467233,9.640625,9.328519,9.328519,820600
1999-03-26,9.259160,9.397874,9.155124,9.311177,582000
1999-03-29,9.363198,9.692644,9.293841,9.588609,620800
1999-03-30,9.605942,9.675299,9.363193,9.415211,563400
1999-03-31,9.432555,9.571269,9.155127,9.536591,1059600
1999-04-01,9.588604,9.588604,8.808338,8.869025,1675800
1999-04-05,9.189800,9.224479,8.877694,8.981730,2011600
1999-04-06,8.895036,9.189803,8.877697,9.007741,1487600
1999-04-07,8.999072,9.189804,8.877698,9.155126,782400
1999-04-08,9.224483,9.501911,9.016412,9.328519,694000
1999-04-09,9.155123,9.397873,8.947052,9.033749,1105800
1999-04-12,8.947053,9.051088,8.843017,8.912374,1118400
1999-04-13,8.947054,9.259160,8.877697,9.042419,1118200
1999-04-14,8.999071,9.259160,8.808340,9.007741,576800
1999-04-15,9.016410,9.224481,8.496233,8.600268,1253000
1999-04-16,8.652286,9.432552,8.600268,9.363195,1788400
1999-04-19,9.571267,10.507587,9.432553,10.256167,3264200
1999-04-20,10.212819,10.576943,10.056766,10.169471,2633000
1999-04-21,10.126122,11.062441,9.987408,10.975745,1421800
1999-04-22,10.975746,11.062442,10.091444,10.308185,870800
1999-04-23,10.230159,10.264838,9.744660,10.022088,717000
1999-04-26,10.195479,10.316854,10.022086,10.316854,847800
1999-04-27,10.316851,10.889046,10.160798,10.802350,1730400
1999-04-28,10.542264,10.819692,10.403550,10.785013,1545400
1999-04-29,10.646299,10.819692,10.559603,10.785013,634600
1999-04-30,10.819696,10.819696,10.403553,10.455571,455800
1999-05-03,10.472909,10.732997,10.368873,10.680980,418400
1999-05-04,10.732997,11.166478,10.472908,10.646300,1259800
1999-05-05,10.611623,10.750337,10.386213,10.472909,426200
1999-05-06,10.542269,10.923733,10.230162,10.923733,865200
1999-05-07,10.923728,10.923728,10.472908,10.646300,689600
1999-05-10,10.646304,10.646304,10.490251,10.576947,471200
1999-05-11,10.576942,11.062441,10.542264,10.958405,826800
1999-05-12,10.819696,11.079784,10.750339,11.079784,769200
1999-05-13,11.079781,11.998761,11.010424,11.339869,2486600
1999-05-14,11.339871,11.339871,10.472908,10.481578,1311600
1999-05-17,10.490250,10.524928,10.334196,10.455571,533400
1999-05-18,10.611626,10.750340,10.420894,10.576947,584400
1999-05-19,10.715662,11.010429,10.646305,10.923733,588600
1999-05-20,10.958405,11.166476,10.923727,10.958405,1346200
1999-05-21,10.975744,10.993084,10.403549,10.403549,891400
1999-05-24,10.403546,10.472903,10.195476,10.264832,755200
1999-05-25,10.282177,10.299516,9.848696,9.952731,391800
