date,open,high,low,close,volume
1999-01-04,2.754672,2.905843,2.754672,2.905843,353400
1999-01-05,2.905843,2.939436,2.905843,2.922640,222700
1999-01-06,2.905843,3.023420,2.905843,2.922640,294600
1999-01-07,2.922639,2.939436,2.872249,2.905843,209500
1999-01-08,2.905842,2.973029,2.905842,2.956233,254400
1999-01-11,2.956233,2.989826,2.922639,2.956233,281800
1999-01-12,2.989826,2.989826,2.956233,2.956233,232900
1999-01-13,2.976741,3.028361,2.890708,2.942328,266400
1999-01-14,2.925124,2.942330,2.890711,2.907917,251900
1999-01-15,2.907917,2.925124,2.839091,2.839091,3039200
1999-01-19,2.890710,2.942329,2.890710,2.890710,185300
1999-01-20,2.907917,2.907917,2.839091,2.839091,247200
1999-01-21,2.839091,2.873504,2.839091,2.839091,222500
1999-01-22,2.839091,2.856297,2.821884,2.839091,203200
1999-01-25,2.856297,2.856297,2.821884,2.839091,219100
1999-01-26,2.856295,2.976741,2.856295,2.942328,299800
1999-01-27,2.959536,2.959536,2.821883,2.821883,348400
1999-01-28,2.821883,2.839090,2.753057,2.753057,478300
1999-01-29,2.753056,2.770263,2.701436,2.718643,496200
1999-02-01,2.735850,2.753057,2.718644,2.753057,576400
1999-02-02,2.753056,2.787469,2.667023,2.718643,584300
1999-02-03,2.684230,2.753057,2.684230,2.735850,210600
1999-02-04,2.735851,2.787471,2.718644,2.770264,296000
1999-02-05,2.770264,2.804677,2.735850,2.753057,511700
1999-02-08,2.753057,2.787470,2.735850,2.753057,440100
1999-02-09,2.787470,2.787470,2.718644,2.753057,322400
1999-02-10,2.753058,2.770265,2.667025,2.684232,628200
1999-02-11,2.684232,2.701438,2.667025,2.684232,447500
1999-02-12,2.684231,2.684231,2.649817,2.667024,339800
1999-02-16,2.701437,2.718643,2.632610,2.649817,343300
1999-02-17,2.649817,2.684231,2.615404,2.667024,417900
1999-02-18,2.684231,2.787470,2.684231,2.753057,331700
1999-02-19,2.770264,2.770264,2.718644,2.753057,396300
1999-02-22,2.753057,2.787470,2.735851,2.787470,212100
1999-02-23,2.787470,2.821884,2.753057,2.787470,194600
1999-02-24,2.787470,2.856297,2.770264,2.787470,254100
1999-02-25,2.787470,2.804677,2.735850,2.735850,268500
1999-02-26,2.770263,2.770263,2.718643,2.718643,241700
1999-03-01,2.718644,2.753057,2.649817,2.753057,238700
1999-03-02,2.735850,2.753057,2.701437,2.701437,169100
1999-03-03,2.718643,2.718643,2.632610,2.649817,312600
1999-03-04,2.649817,2.684230,2.632610,2.649817,213600
1999-03-05,2.667025,2.718645,2.649819,2.684232,219200
1999-03-08,2.684230,2.718643,2.649817,2.649817,204600
1999-03-09,2.649817,2.667024,2.632611,2.667024,176300
1999-03-10,2.649817,2.735850,2.649817,2.718643,185600
1999-03-11,2.718643,2.735850,2.684230,2.718643,227500
1999-03-12,2.701438,2.718645,2.598198,2.615405,934700
1999-03-15,2.615405,2.632612,2.598198,2.615405,380400
1999-03-16,2.615405,2.615405,2.546579,2.546579,405500
1999-03-17,2.563784,2.580991,2.494958,2.563784,460000
1999-03-18,2.598199,2.649818,2.598199,2.632612,251500
1999-03-19,2.649818,2.718645,2.632612,2.632612,282600
1999-03-22,2.632612,2.684232,2.632612,2.632612,207000
1999-03-23,2.667025,2.718645,2.649819,2.684232,279600
1999-03-24,2.701438,2.735852,2.649819,2.684232,209800
1999-03-25,2.718644,2.735850,2.684231,2.701437,396900
1999-03-26,2.718643,2.735850,2.701436,2.718643,152500
1999-03-29,2.718643,2.753057,2.718643,2.735850,174500
1999-03-30,2.753057,2.770264,2.718644,2.753057,122500
1999-03-31,2.753057,2.856296,2.753057,2.821883,367300
1999-04-01,2.804677,2.839090,2.770263,2.821883,119800
1999-04-05,2.804677,2.873504,2.804677,2.839091,215200
1999-04-06,2.856297,2.856297,2.770264,2.770264,261100
1999-04-07,2.787470,2.839090,2.753057,2.753057,174000
1999-04-08,2.753058,2.787471,2.753058,2.770264,151200
1999-04-09,2.787470,2.804677,2.701437,2.787470,222500
1999-04-12,2.753057,2.856296,2.735850,2.821883,232500
1999-04-13,2.821883,2.873503,2.804676,2.856296,301400
1999-04-14,2.878192,2.948822,2.842876,2.895849,721800
1999-04-15,2.895850,2.984138,2.878192,2.984138,252300
1999-04-16,3.001796,3.178372,2.966481,3.125399,3675000
1999-04-19,3.178372,3.231344,3.107741,3.107741,363000
1999-04-20,3.125399,3.178372,3.037111,3.090084,235000
1999-04-21,3.107741,3.107741,3.054768,3.054768,137100
1999-04-22,3.072428,3.090085,3.037112,3.072428,127000
1999-04-23,3.072426,3.125399,3.054768,3.107741,254600
1999-04-26,3.143057,3.160714,3.090084,3.090084,280700
1999-04-27,3.125399,3.125399,3.090084,3.090084,185700
1999-04-28,3.107743,3.107743,3.072428,3.072428,144700
1999-04-29,3.072426,3.090084,3.054768,3.054768,132100
1999-04-30,3.107743,3.125401,3.037112,3.072428,297300
1999-05-03,3.107741,3.160714,3.107741,3.107741,314800
1999-05-04,3.125399,3.143057,3.107741,3.125399,140400
1999-05-05,3.143057,3.143057,3.072426,3.090084,397700
1999-05-06,3.054768,3.125399,3.054768,3.107741,351900
1999-05-07,3.107741,3.125399,3.090083,3.107741,255900
1999-05-10,3.107741,3.125399,3.090083,3.107741,401000
1999-05-11,3.090082,3.160712,3.090082,3.160712,336900
1999-05-12,3.125399,3.160714,3.125399,3.143057,161400
1999-05-13,3.160714,3.178372,3.125399,3.143057,169000
1999-05-14,3.160714,3.160714,3.125399,3.125399,127100
1999-05-17,3.143057,3.143057,3.090084,3.090084,167400
1999-05-18,3.125401,3.125401,3.072428,3.072428,265700
1999-05-19,3.072428,3.107743,3.072428,3.072428,191200
1999-05-20,3.090084,3.107741,3.072426,3.090084,182400
1999-05-21,3.125399,3.160714,3.107741,3.125399,175600
1999-05-24,3.160714,3.160714,3.125399,3.125399,221500
1999-05-25,3.143055,3.178370,3.143055,3.160712,305500
1999-05-26,3.160714,3.160714,3.125399,3.125399,140200
1999-05-27,3.143057,3.143057,3.125399,3.143057,126500
1999-05-28,3.143057,3.143057,3.107741,3.125399,139400
1999-06-01,3.125399,3.125399,3.090083,3.107741,174600
1999-06-02,3.107741,3.125399,3.090084,3.125399,123900
1999-06-03,3.107741,3.125399,3.107741,3.125399,150200
1999-06-04,3.107741,3.143057,3.107741,3.143057,242900
1999-06-07,3.107741,3.125399,3.107741,3.125399,339300
1999-06-08,3.107741,3.125399,3.090083,3.107741,186100
1999-06-09,3.090084,3.143057,3.090084,3.125399,172600
1999-06-10,3.143055,3.160712,3.125397,3.160712,151500
1999-06-11,3.143056,3.178372,3.107741,3.107741,192000
1999-06-14,3.107741,3.125399,3.107741,3.125399,196100
1999-06-15,3.143055,3.178370,3.107739,3.160712,263700
1999-06-16,3.160712,3.160712,3.143055,3.160712,263500
1999-06-17,3.160712,3.178370,3.143055,3.160712,263000
1999-06-18,3.178370,3.178370,3.143055,3.160712,213500
1999-06-21,3.143056,3.231344,3.143056,3.231344,165400
1999-06-22,3.213687,3.301975,3.213687,3.284317,200100
1999-06-23,3.301975,3.301975,3.231344,3.231344,302900
1999-06-24,3.231343,3.231343,3.160712,3.160712,207000
1999-06-25,3.178370,3.196027,3.143055,3.160712,244200
1999-06-28,3.196029,3.319633,3.178372,3.266660,260600
1999-06-29,3.284317,3.372605,3.284317,3.319632,277500
1999-06-30,3.319632,3.354947,3.301974,3.319632,242200
1999-07-01,3.337291,3.354949,3.319634,3.337291,158700
1999-07-02,3.354947,3.407920,3.337289,3.372604,161800
1999-07-06,3.372606,3.390264,3.337291,3.337291,175300
1999-07-07,3.354949,3.354949,3.213688,3.213688,317100
1999-07-08,3.231344,3.319633,3.231344,3.266660,287400
1999-07-09,3.266661,3.337291,3.266661,3.337291,109800
1999-07-12,3.337289,3.372604,3.319632,3.372604,99600
1999-07-13,3.372606,3.372606,3.319634,3.337291,176700
1999-07-14,3.359979,3.396108,3.323850,3.396108,551800
1999-07-15,3.414173,3.450301,3.396108,3.450301,194900
1999-07-16,3.414171,3.450300,3.414171,3.414171,2178700
1999-07-19,3.414171,3.432235,3.378042,3.378042,142900
1999-07-20,3.396106,3.414171,3.378042,3.378042,133200
1999-07-21,3.396108,3.414172,3.378043,3.396108,107800
1999-07-22,3.396105,3.396105,3.341912,3.341912,181100
1999-07-23,3.305786,3.341915,3.269657,3.269657,188200
1999-07-26,3.305786,3.305786,3.269657,3.269657,202500
1999-07-27,3.341914,3.341914,3.287721,3.287721,176300
1999-07-28,3.305787,3.323852,3.287723,3.305787,133300
1999-07-29,3.287722,3.305786,3.233528,3.269657,171900
1999-07-30,3.269659,3.305787,3.251594,3.305787,244900
1999-08-02,3.287723,3.323852,3.287723,3.305787,231800
1999-08-03,3.323852,3.323852,3.287723,3.305787,175400
1999-08-04,3.305786,3.323850,3.269657,3.269657,246700
1999-08-05,3.269658,3.269658,3.233529,3.251593,385500
1999-08-06,3.233529,3.251593,3.161271,3.179336,373900
1999-08-09,3.215465,3.215465,3.143207,3.161272,155900
1999-08-10,3.125142,3.161271,3.107078,3.143206,240600
1999-08-11,3.161271,3.179336,3.143207,3.179336,122200
1999-08-12,3.179335,3.251592,3.161270,3.233528,145000
1999-08-13,3.233528,3.287722,3.233528,3.269657,104000
1999-08-16,3.251592,3.323850,3.251592,3.323850,157900
1999-08-17,3.305785,3.341914,3.305785,3.323850,96000
1999-08-18,3.323847,3.341912,3.287719,3.341912,128100
1999-08-19,3.305783,3.378041,3.305783,3.341912,97100
1999-08-20,3.359976,3.359976,3.323847,3.341912,61800
1999-08-23,3.359981,3.378045,3.305787,3.305787,195500
1999-08-24,3.341916,3.341916,3.287723,3.305787,337600
1999-08-25,3.323850,3.341915,3.269657,3.269657,77700
1999-08-26,3.269657,3.287721,3.215463,3.233528,101800
1999-08-27,3.233528,3.323850,3.233528,3.323850,145000
1999-08-30,3.287722,3.305787,3.179336,3.215465,272900
