date,open,high,low,close,volume
1999-01-04,11.745889,12.070206,11.731789,11.900997,890000
1999-01-05,11.844589,11.971495,11.844589,11.957395,656400
1999-01-06,11.957395,12.013798,11.915093,11.943295,367600
1999-01-07,11.915093,11.915093,11.492072,11.604877,501600
1999-01-08,11.618979,11.872791,11.604878,11.703583,432000
1999-01-11,11.703583,11.759985,11.534374,11.534374,610800
1999-01-12,11.506171,11.506171,11.012647,11.012647,556400
1999-01-13,10.956246,11.083153,10.801139,10.956246,323200
1999-01-14,10.998549,11.026750,10.787038,10.801139,367200
1999-01-15,10.801135,10.899840,10.801135,10.843437,332000
1999-01-19,10.871638,10.871638,10.265308,10.603724,791200
1999-01-20,10.603729,10.603729,10.378118,10.406320,253200
1999-01-21,10.293511,10.349914,10.251209,10.265309,288400
1999-01-22,10.378112,10.646025,10.378112,10.505018,1056800
1999-01-25,10.490925,10.505026,10.279415,10.420422,610400
1999-01-26,10.462723,10.462723,10.096105,10.110206,318000
1999-01-27,10.138404,10.152505,9.870491,9.870491,995200
1999-01-28,9.926890,10.067897,9.898689,9.997394,347600
1999-01-29,10.053796,10.152501,10.025594,10.096098,359600
1999-02-01,10.110205,10.265313,10.110205,10.180709,247600
1999-02-02,10.180708,10.180708,9.715385,9.771788,989200
1999-02-03,9.771791,9.799992,9.475676,9.616683,1345600
1999-02-04,9.644879,9.644879,9.532073,9.532073,479600
1999-02-05,9.532077,9.560278,9.391070,9.405170,797600
1999-02-08,9.433374,9.433374,8.812943,9.094957,1078800
1999-02-09,9.151355,9.193657,8.883442,9.010348,2158800
1999-02-10,8.953951,9.024454,8.911648,9.024454,1168400
1999-02-11,9.024454,9.109058,8.925749,9.109058,824800
1999-02-12,9.137257,9.137257,8.939847,9.052652,1067600
1999-02-16,9.052653,9.729486,9.024451,9.644882,1267600
1999-02-17,9.673086,9.673086,9.278267,9.306468,627200
1999-02-18,9.334670,9.334670,8.996253,9.024454,729600
1999-02-19,9.024449,9.123154,8.996247,9.123154,1040800
1999-02-22,9.165456,9.292362,9.052650,9.123154,330800
1999-02-23,9.179556,9.235959,9.010348,9.038549,604400
1999-02-24,9.052653,9.348768,9.038553,9.264164,544400
1999-02-25,9.235957,9.264158,9.109050,9.137252,329600
1999-02-26,9.109055,9.348767,9.052652,9.165458,431200
1999-03-01,9.151356,9.334665,9.137255,9.292363,306400
1999-03-02,9.292359,9.503870,9.292359,9.376964,288400
1999-03-03,9.376966,9.517973,9.376966,9.391067,347600
1999-03-04,9.376966,9.588476,9.376966,9.546174,679200
1999-03-05,9.644884,9.771791,9.588482,9.616683,291200
1999-03-08,9.673081,9.856390,9.644879,9.856390,585600
1999-03-09,9.870493,10.265313,9.870493,10.053802,629200
