date,open,high,low,close,volume
1999-01-04,4.463015,4.679790,4.463015,4.622408,8197600
1999-01-05,4.647908,4.807301,4.635157,4.698914,3544000
1999-01-06,4.832805,4.947568,4.820053,4.896562,9819200
1999-01-07,4.871060,4.902939,4.800927,4.813679,16314400
1999-01-08,4.820055,4.832807,4.603280,4.641535,6981600
1999-01-11,4.577776,4.769048,4.565024,4.711667,5336800
1999-01-12,4.641534,4.730795,4.552274,4.603280,4710400
1999-01-13,4.488516,4.590528,4.361001,4.380129,14664000
1999-01-14,4.380130,4.533147,4.335499,4.354627,7566400
1999-01-15,4.412007,4.622406,4.399255,4.609655,7883200
1999-01-19,4.667035,4.667035,4.431133,4.501266,2730400
1999-01-20,4.475763,4.514018,4.399254,4.443885,5700800
1999-01-21,4.450263,4.463014,4.188858,4.252615,7722400
1999-01-22,4.329122,4.590527,4.303619,4.488515,9796000
1999-01-25,4.475764,4.482140,4.373752,4.412006,6718400
1999-01-26,4.386502,4.412005,4.023086,4.214358,23600800
1999-01-27,4.284493,4.392881,4.284493,4.354627,11113600
1999-01-28,4.354626,4.622407,4.354626,4.539522,10466400
1999-01-29,4.545896,4.609653,4.533145,4.565023,6196000
1999-02-01,4.565023,4.909313,4.565023,4.845555,10325600
1999-02-02,4.769048,4.839181,4.756297,4.794551,11712800
1999-02-03,4.794551,4.807302,4.762672,4.807302,7556000
1999-02-04,4.756297,4.756297,4.686164,4.692540,5339200
1999-02-05,4.686164,4.692539,4.571401,4.616031,7929600
1999-02-08,4.565025,4.609655,4.526770,4.539522,4517600
1999-02-09,4.533145,4.539520,4.284491,4.284491,4452800
1999-02-10,4.284492,4.354625,4.239862,4.335497,7659200
1999-02-11,4.341875,4.475765,4.341875,4.450262,3926400
1999-02-12,4.437510,4.596904,4.341875,4.545898,4804800
1999-02-16,4.545896,4.845555,4.545896,4.845555,7449600
1999-02-17,4.794549,4.813676,4.705289,4.775422,9936000
1999-02-18,4.794551,4.845557,4.781800,4.813679,9178400
1999-02-19,4.883811,4.922066,4.794551,4.794551,14034400
1999-02-22,4.794552,5.011327,4.794552,4.992200,16460800
1999-02-23,4.966697,5.049581,4.947569,4.992200,8416000
1999-02-24,4.979446,5.011324,4.718041,4.851932,8765600
1999-02-25,4.826430,4.934817,4.826430,4.877436,9060000
1999-02-26,4.896564,5.036830,4.896564,5.030455,12141600
1999-03-01,5.024077,5.157968,5.011326,5.094211,9242400
1999-03-02,5.043206,5.336490,5.043206,5.298235,12898400
1999-03-03,5.272733,5.298236,5.132467,5.138843,16857600
1999-03-04,5.189847,5.196223,5.100586,5.100586,13155200
1999-03-05,5.126090,5.266357,5.126090,5.259981,8576000
1999-03-08,5.234476,5.355615,5.208973,5.279106,4676800
1999-03-09,5.240852,5.393869,5.240852,5.349239,6381600
1999-03-10,5.279106,5.349239,5.272730,5.336488,2359200
1999-03-11,5.400245,5.546887,5.387494,5.470378,6697600
1999-03-12,5.457628,5.489508,5.355617,5.361993,4648800
1999-03-15,5.355615,5.553264,5.355615,5.495882,4201600
1999-03-16,5.489505,5.534135,5.464002,5.508632,2812800
1999-03-17,5.534136,5.578766,5.464003,5.464003,6048000
1999-03-18,5.457626,5.534135,5.406621,5.470378,8805600
1999-03-19,5.521384,5.559638,5.470378,5.470378,7756000
1999-03-22,5.432124,5.543699,5.425748,5.534135,2940800
1999-03-23,5.470378,5.534136,5.342864,5.400246,4888800
1999-03-24,5.406623,5.419374,5.330114,5.361993,2489600
1999-03-25,5.400245,5.400245,5.349240,5.381118,4916800
1999-03-26,5.355615,5.381117,5.342863,5.342863,2484000
1999-03-29,5.298234,5.330112,5.272731,5.279106,4996000
1999-03-30,5.273547,5.324561,5.273547,5.311807,3477600
1999-03-31,5.362820,5.490354,5.337313,5.369196,5542400
1999-04-01,5.343690,5.445718,5.318183,5.381950,8440800
1999-04-05,5.356443,5.464847,5.350066,5.426587,7556000
1999-04-06,5.407458,5.407458,5.146013,5.152389,8712800
1999-04-07,5.133259,5.216156,5.069492,5.171520,6340000
1999-04-08,4.897319,4.903696,4.559353,4.559353,37804000
1999-04-09,4.642250,4.986593,4.642250,4.833551,14400800
1999-04-12,4.833554,4.846307,4.725150,4.744280,12843200
1999-04-13,4.731526,4.737903,4.680512,4.693265,19121600
1999-04-14,4.642251,4.922826,4.629497,4.852683,11712800
1999-04-15,4.833552,4.973840,4.795292,4.967463,10268000
1999-04-16,4.941957,5.107751,4.941957,5.107751,10644800
1999-04-19,5.158764,5.248038,5.158764,5.209777,9004800
1999-04-20,5.203402,5.534992,5.197026,5.528615,10848000
1999-04-21,5.522236,5.566873,5.413832,5.509482,11850400
1999-04-22,5.464847,5.496730,5.381949,5.496730,5704000
1999-04-23,5.522237,5.566875,5.496730,5.496730,12952000
1999-04-26,5.509484,5.598758,5.471224,5.547744,3506400
1999-04-27,5.547745,5.592382,5.452095,5.579629,18260000
1999-04-28,5.586005,5.764553,5.547745,5.681656,6328800
1999-04-29,5.764553,5.764553,5.637018,5.732669,5450400
1999-04-30,5.726292,5.796436,5.617888,5.726292,3068000
1999-05-03,5.713540,5.879334,5.713540,5.860205,8764000
1999-05-04,5.994116,6.179041,5.911219,6.070636,9639200
1999-05-05,6.223676,6.344835,6.070635,6.172663,9644000
1999-05-06,6.274692,6.281069,5.936726,5.955856,6863200
1999-05-07,5.974985,6.134402,5.968608,6.019621,7960800
1999-05-10,6.006868,6.083388,5.981361,6.006868,8779200
1999-05-11,5.994114,6.153532,5.955854,6.128026,8098400
1999-05-12,6.121649,6.223676,6.025999,6.172663,5289600
1999-05-13,6.172663,6.185416,6.070635,6.083389,5699200
1999-05-14,5.955853,5.981360,5.834696,5.841073,5898400
1999-05-17,5.834698,5.866582,5.713540,5.764554,9071200
1999-05-18,5.758179,5.866583,5.624267,5.815569,8064800
1999-05-19,5.853827,6.134402,5.853827,6.108895,9416800
1999-05-20,6.274691,6.810336,6.261938,6.797582,15860000
1999-05-21,6.682800,6.682800,6.274690,6.427731,16188800
1999-05-24,6.427732,6.453239,6.083389,6.115273,12136000
1999-05-25,6.121649,6.274690,6.032375,6.172663,7906400
1999-05-26,6.191793,6.198169,5.949478,6.019621,6232000
