date,open,high,low,close,volume
1999-01-04,7.093197,7.112765,6.985576,7.034495,1988800
1999-01-05,7.054062,7.328007,7.054062,7.269304,2461200
1999-01-06,7.582385,7.807410,7.562817,7.680222,7332800
1999-01-07,7.553033,7.621519,7.474764,7.572601,2318800
1999-01-08,7.562817,7.729141,7.425845,7.680222,3502800
1999-01-11,7.592167,7.611734,7.513897,7.513897,3348800
1999-01-12,7.592167,7.592167,7.318223,7.318223,2115600
1999-01-13,7.259520,7.464979,7.239953,7.425844,2032800
1999-01-14,7.406276,7.425843,7.220385,7.328006,2794400
1999-01-15,7.396493,7.455196,7.269305,7.396493,2256000
1999-01-19,7.347575,7.455196,7.328008,7.455196,4898000
1999-01-20,7.455197,7.738925,7.435629,7.641088,2598400
1999-01-21,7.787843,8.022652,7.787843,7.895464,8461200
1999-01-22,7.885675,7.915027,7.738920,7.738920,2821200
1999-01-25,7.690005,7.768275,7.641086,7.729140,3252000
1999-01-26,7.768276,7.924816,7.729141,7.924816,2793200
1999-01-27,7.954165,8.169407,7.934598,7.954165,5342800
1999-01-28,7.924814,8.012867,7.905246,7.954165,1655600
1999-01-29,7.963950,8.081355,7.924815,8.052004,2424400
1999-02-01,8.042219,8.149840,8.022652,8.110705,2188800
1999-02-02,8.091136,8.218324,8.012866,8.140055,3593200
1999-02-03,8.100921,8.188974,8.022651,8.159623,3185200
1999-02-04,8.149839,8.394432,8.130272,8.374865,3500800
1999-02-05,8.355299,8.374866,8.267245,8.286813,2878000
1999-02-08,8.296596,8.296596,7.963949,8.032435,2424400
1999-02-09,8.012872,8.012872,7.895467,7.963953,1735600
1999-02-10,7.807407,7.905245,7.719354,7.797624,3582800
1999-02-11,7.817198,7.885684,7.787847,7.807415,3014000
1999-02-12,7.729139,7.807409,7.592167,7.592167,2176800
1999-02-16,7.601953,7.660655,7.582385,7.660655,2288000
1999-02-17,7.670439,7.866114,7.660656,7.699790,4238800
1999-02-18,7.660654,7.748708,7.572601,7.601952,2375600
1999-02-19,7.592168,7.621519,7.533466,7.572601,2865200
1999-02-22,7.611733,7.817191,7.592166,7.797624,3171600
1999-02-23,7.758488,7.817191,7.690002,7.787839,2900400
1999-02-24,7.758491,7.778058,7.416060,7.435628,4908800
1999-02-25,7.425842,7.435626,7.239952,7.376924,3805200
1999-02-26,7.396495,7.425846,7.288874,7.337793,3705200
1999-03-01,7.337789,7.337789,7.132331,7.230168,1958000
1999-03-02,7.200818,7.318223,7.200818,7.318223,2369600
1999-03-03,7.298655,7.347573,7.249736,7.347573,1948000
1999-03-04,7.357355,7.406273,7.318220,7.357355,3349200
1999-03-05,7.416061,7.601952,7.386710,7.601952,3442400
1999-03-08,7.780754,7.780754,7.525325,7.633391,2414800
1999-03-09,7.613742,7.918291,7.613742,7.878994,5220400
1999-03-10,7.878993,8.055828,7.859344,7.937938,6585600
1999-03-11,7.918288,8.134420,7.898639,8.104947,5949200
1999-03-12,8.104948,8.203190,7.643212,7.918289,5874400
1999-03-15,7.987059,8.252312,7.987059,8.252312,5434400
1999-03-16,8.242487,8.262136,8.134421,8.134421,4888800
1999-03-17,8.144247,8.163895,8.085302,8.095126,2950800
1999-03-18,8.036178,8.213013,8.036178,8.193365,2926400
1999-03-19,8.154069,8.154069,7.829871,7.908465,4364800
1999-03-22,7.908465,8.134421,7.878993,8.134421,2169600
1999-03-23,8.154069,8.154069,7.800399,7.908465,3892800
1999-03-24,7.928111,7.957584,7.810221,7.928111,2491200
1999-03-25,7.996879,8.006703,7.898637,7.947758,1964800
1999-03-26,7.918289,7.937937,7.780750,7.918289,2806000
1999-03-29,7.957586,8.252312,7.957586,8.252312,2846800
1999-03-30,8.252310,8.645277,8.242486,8.615805,5725600
1999-03-31,8.586336,8.586336,8.330907,8.399676,3266800
1999-04-01,8.114772,8.311256,8.114772,8.271959,2722000
1999-04-05,8.252311,8.380025,8.252311,8.271959,3431200
1999-04-06,8.271955,8.271955,8.045999,8.075472,2606400
1999-04-07,8.114773,8.163894,8.016531,8.134421,2792000
1999-04-08,8.095123,8.232661,8.085299,8.104947,2572400
1999-04-09,8.016529,8.134420,8.006705,8.104947,1320400
1999-04-12,8.065653,8.311258,8.065653,8.203192,2361200
1999-04-13,8.193366,8.232663,8.036179,8.046003,1320800
1999-04-14,8.006706,8.625629,7.996882,8.605981,4214000
1999-04-15,8.615807,8.861411,8.586334,8.664927,7715200
1999-04-16,8.664927,9.008773,8.655102,8.861410,2730000
1999-04-19,8.959651,9.352618,8.959651,8.959651,5042000
1999-04-20,9.038245,9.038245,8.478266,8.684574,5189200
1999-04-21,8.743520,8.763168,8.380025,8.380025,4898800
1999-04-22,8.605982,9.057894,8.566685,8.851586,8791200
1999-04-23,8.763167,9.067717,8.684574,8.959651,5400000
1999-04-26,8.920357,8.989126,8.851588,8.890884,4669600
1999-04-27,8.881063,9.342800,8.881063,9.185613,5219200
1999-04-28,9.244554,9.539279,9.224906,9.431213,5791200
1999-04-29,9.441039,9.499984,9.401742,9.470511,3481600
1999-04-30,9.470509,9.558927,9.391916,9.411564,4355200
1999-05-03,9.470513,9.686645,9.401744,9.666997,5588000
1999-05-04,9.666997,9.883129,9.657173,9.834008,5678000
1999-05-05,9.834006,10.050138,9.716115,10.050138,4285200
1999-05-06,9.981367,10.158202,9.824180,10.158202,7489200
1999-05-07,10.374339,10.531526,10.295745,10.531526,9142000
1999-05-10,10.531522,10.669061,10.354687,10.374335,11734000
1999-05-11,10.452925,10.472573,9.942068,9.951892,8094000
1999-05-12,9.951892,9.951892,9.765233,9.794705,3925200
1999-05-13,9.863477,9.892950,9.725939,9.775060,2314000
1999-05-14,9.804535,9.824183,9.539282,9.558930,3529200
1999-05-17,9.588400,9.588400,9.421389,9.431213,2622400
1999-05-18,9.352622,9.382095,8.959655,9.175787,4629600
1999-05-19,9.175784,9.175784,9.048070,9.097191,6387600
1999-05-20,9.254380,9.323150,9.126666,9.126666,5364000
1999-05-21,9.136490,9.205259,8.841764,8.871237,4404800
1999-05-24,8.920358,9.136490,8.920358,9.126666,6006000
1999-05-25,9.116839,9.185608,8.900707,8.900707,5234000
1999-05-26,8.998952,9.126666,8.881061,9.126666,3006800
1999-05-27,9.097191,9.195433,8.920356,8.949828,3057200
1999-05-28,8.940007,9.116842,8.920359,8.969480,1719600
1999-06-01,8.841765,9.215084,8.841765,9.175787,2290400
1999-06-02,9.156139,9.205260,8.969479,9.126666,3158400
1999-06-03,9.116842,9.175787,9.087369,9.175787,2575200
1999-06-04,9.156136,9.342795,9.156136,9.303498,3367200
1999-06-07,9.335040,9.463188,9.315326,9.413900,1436400
1999-06-08,9.453333,9.640625,9.453333,9.512478,1868400
1999-06-09,9.522336,9.680056,9.522336,9.630769,2501200
1999-06-10,9.620909,9.818059,9.620909,9.768771,3480000
1999-06-11,9.758915,9.768773,9.335043,9.364615,4007600
1999-06-14,9.581480,9.630767,9.512477,9.620910,3114400
1999-06-15,9.620908,9.620908,9.404043,9.404043,3479200
1999-06-16,9.463192,9.473050,9.266042,9.275900,2638400
1999-06-17,9.305471,9.364616,9.177324,9.256184,2942400
1999-06-18,9.256181,9.492761,9.256181,9.384329,3166800
1999-06-21,9.423758,9.423758,8.950598,9.049173,2890000
1999-06-22,9.009745,9.068890,8.832310,8.881598,3615200
