date,open,high,low,close,volume
1999-01-04,5.814025,5.983665,5.690651,5.736916,1492747
1999-01-05,5.752338,5.798603,5.667518,5.698361,543319
1999-01-06,5.667517,5.814025,5.652096,5.744626,835157
1999-01-07,5.744625,5.783180,5.590407,5.628962,1086214
1999-01-08,5.621255,5.682942,5.389927,5.551856,1819418
1999-01-11,5.536434,5.582699,5.305106,5.582699,1407787
1999-01-12,5.551854,5.582698,5.320527,5.382214,1195812
1999-01-13,5.243418,5.281973,5.073778,5.158598,2894587
1999-01-14,5.174019,5.343659,5.166308,5.243417,2651602
1999-01-15,5.274260,5.490166,5.258839,5.443901,1030565
1999-01-19,5.413057,5.551853,5.289683,5.374503,1463011
1999-01-20,5.382216,5.513302,5.382216,5.405349,2238271
1999-01-21,5.405349,5.513302,5.389927,5.405349,1525457
1999-01-22,5.397634,5.467032,5.351368,5.420767,2173702
1999-01-25,5.436189,5.451610,5.328236,5.420767,775685
1999-01-26,5.436188,5.521008,5.305103,5.490165,4007563
1999-01-27,5.490167,5.544144,5.312816,5.328238,1121472
1999-01-28,5.274263,5.374505,5.251130,5.289685,790978
1999-01-29,5.305104,5.374502,5.258838,5.258838,1509739
1999-02-01,5.258836,5.428476,5.220282,5.428476,1273550
1999-02-02,5.397635,5.397635,5.220285,5.266551,917568
1999-02-03,5.297394,5.428478,5.243417,5.274260,641023
1999-02-04,5.274262,5.274262,5.058357,5.066068,547992
1999-02-05,5.166309,5.174020,5.042934,5.120043,600242
1999-02-08,5.174018,5.243416,5.166307,5.174018,1141862
1999-02-09,5.212573,5.443900,5.212573,5.243417,1814321
1999-02-10,5.243420,5.413060,5.243420,5.405349,940507
1999-02-11,5.443899,5.675225,5.443899,5.652093,2885242
1999-02-12,5.659808,6.222704,5.659808,5.999088,4235681
1999-02-16,5.983665,6.268968,5.975954,6.114750,2047111
1999-02-17,6.099328,6.191858,6.068484,6.076195,1429027
1999-02-18,6.060773,6.168725,6.060773,6.153304,1070496
1999-02-19,6.122459,6.122459,5.929687,6.068482,1027591
1999-02-22,6.045349,6.168723,6.045349,6.130169,1212379
1999-02-23,6.114750,6.153304,5.906555,6.037641,1043734
1999-02-24,6.037640,6.037640,5.829445,5.868000,884009
1999-02-25,5.875712,5.983664,5.682939,5.898845,1107878
1999-02-26,5.914268,5.999088,5.798604,5.999088,1345766
1999-03-01,5.937399,5.952821,5.798602,5.921977,1576433
1999-03-02,5.921974,6.053060,5.898842,5.952818,1403964
1999-03-03,5.983662,5.999084,5.767757,5.852577,910771
1999-03-04,5.860288,5.891132,5.775468,5.783179,814342
1999-03-05,5.824697,5.902154,5.770478,5.863426,908647
1999-03-08,5.894407,6.026083,5.801460,6.026083,1001254
1999-03-09,6.010589,6.072554,5.917643,5.917643,546718
1999-03-10,5.886664,6.041576,5.832444,6.018339,369151
1999-03-11,5.995101,6.033829,5.917645,5.925391,495317
1999-03-12,5.948628,5.964119,5.801461,5.840189,640598
1999-03-15,5.785969,5.824697,5.685276,5.700767,877212
1999-03-16,5.700767,5.824697,5.677530,5.747241,850025
1999-03-17,5.770477,5.816951,5.700767,5.731749,1062000
1999-03-18,5.708514,5.855680,5.708514,5.832444,956650
1999-03-19,5.801458,5.840187,5.762731,5.793713,820714
1999-03-22,5.793714,5.801460,5.747240,5.785968,709841
1999-03-23,5.770479,5.809208,5.708514,5.770479,1824091
1999-03-24,5.770478,5.878917,5.770478,5.863426,1782036
1999-03-25,5.863426,6.103540,5.863426,6.072557,1728511
1999-03-26,6.041574,6.103539,5.933135,6.088048,1227672
1999-03-29,6.095794,6.165506,6.064812,6.150014,1316880
1999-03-30,6.119032,6.289435,6.002847,6.072557,2275229
1999-03-31,6.041577,6.188743,5.809208,5.886664,1468958
1999-04-01,5.832445,6.088050,5.832445,6.080304,727258
1999-04-05,6.010592,6.235215,6.002847,6.211978,1111277
1999-04-06,6.211978,6.211978,5.979610,6.072557,600667
1999-04-07,6.072558,6.072558,5.948628,6.018339,813917
1999-04-08,5.948627,5.979609,5.909899,5.948627,1073470
1999-04-09,5.909899,5.979609,5.871171,5.948627,676282
1999-04-12,5.979610,6.010592,5.871171,5.964119,593021
1999-04-13,5.894409,6.002847,5.894409,5.933136,632102
1999-04-14,5.902153,5.909899,5.739495,5.747241,663113
1999-04-15,5.801459,5.940880,5.801459,5.940880,802872
1999-04-16,5.948628,6.211979,5.948628,6.188742,737453
1999-04-19,6.188742,6.537294,6.188742,6.537294,1667340
1999-04-20,6.537293,6.552784,6.227469,6.328162,1954080
1999-04-21,6.312670,6.320415,6.103538,6.196486,1175422
1999-04-22,6.165504,6.428855,6.119031,6.413363,783756
1999-04-23,6.405616,6.490818,6.374633,6.444344,1031839
1999-04-26,6.436599,6.622493,6.436599,6.529545,720461
1999-04-27,6.529547,6.568276,6.227469,6.312671,1139738
1999-04-28,6.343655,6.622496,6.320418,6.568278,1056478
1999-04-29,6.537292,6.583766,6.366889,6.421108,1440922
1999-04-30,6.390126,6.459837,6.242960,6.382380,2479133
1999-05-03,6.397871,6.746423,6.390126,6.723186,1655446
1999-05-04,6.723187,6.816135,6.676714,6.699950,2078546
1999-05-05,6.684460,6.707697,6.591513,6.661223,686477
1999-05-06,6.676711,6.692203,6.366888,6.366888,1447718
1999-05-07,6.335910,6.397875,6.088051,6.235217,1713643
1999-05-10,6.281689,6.289434,6.057066,6.095794,999554
1999-05-11,6.111284,6.281687,5.824696,6.258450,3276907
1999-05-12,6.258451,6.335907,6.119030,6.289433,1587478
1999-05-13,6.266196,6.289433,6.196486,6.219722,989784
1999-05-14,6.204231,6.204231,6.002846,6.049319,1207706
1999-05-17,6.103539,6.173249,6.010591,6.103539,576454
1999-05-18,6.057066,6.196487,6.041576,6.126777,979164
1999-05-19,6.103540,6.211979,6.026084,6.126777,1005926
1999-05-20,6.072558,6.095795,5.933137,5.995102,1074319
1999-05-21,5.933137,6.041576,5.855681,5.878918,788854
