date,open,high,low,close,volume
1999-01-04,12.816874,13.347594,12.233083,12.737267,2814400
1999-01-05,12.100403,13.851777,11.463539,13.480273,2517200
1999-01-06,14.276353,14.886680,13.984457,14.223281,1177200
1999-01-07,14.143673,16.664590,13.904849,16.027727,3891600
1999-01-08,16.876878,17.407597,14.807072,15.284719,4656800
1999-01-11,15.497007,16.983022,15.497007,15.629687,2130000
1999-01-12,16.107335,16.133871,14.170209,14.329425,2877200
1999-01-13,12.631123,14.647856,12.206547,14.064065,4424000
1999-01-14,14.183477,15.337792,13.798705,14.382497,1066400
1999-01-15,14.953021,15.895048,14.754001,15.497008,1911600
1999-01-19,16.598251,19.105901,16.598251,18.814005,2964800
1999-01-20,19.212045,20.273484,16.983023,17.460670,1725600
1999-01-21,16.784002,17.009558,16.001191,16.240015,2978400
1999-01-22,15.497006,17.619884,15.284719,16.770733,2738000
1999-01-25,17.168774,17.885245,16.319623,16.412498,1248000
1999-01-26,17.089165,17.672956,16.558445,17.301453,1828800
1999-01-27,17.832173,20.220411,17.805637,19.105900,10239200
1999-01-28,19.636620,20.963418,19.344724,19.848907,3814400
1999-01-29,20.047927,20.538843,18.309821,20.220411,2467600
1999-02-01,20.538842,20.591914,19.158972,19.371260,1668400
1999-02-02,19.291651,20.379626,18.044460,20.260214,4247200
1999-02-03,19.278384,20.167339,19.212044,20.014757,2364400
1999-02-04,19.756030,20.008122,18.999755,19.026291,2010400
1999-02-05,19.318187,19.318187,18.270017,18.893612,2039600
1999-02-08,19.265115,19.318187,18.150605,18.734396,1671600
1999-02-09,18.787468,18.893612,16.983022,17.699493,3644400
1999-02-10,17.407598,18.097534,16.983023,17.195311,1727200
1999-02-11,17.513742,20.273483,17.354526,19.955051,3719600
1999-02-12,19.636619,19.941783,18.469036,19.105900,1576000
1999-02-16,19.291651,19.318187,18.230213,18.893612,1584400
1999-02-17,18.495572,19.371259,18.469036,18.469036,673200
1999-02-18,19.132436,19.132436,18.256748,18.734396,1384000
1999-02-19,18.920148,19.424332,18.469037,19.371260,1124800
1999-02-22,19.530475,20.671522,19.172240,20.618450,2496400
1999-02-23,21.215508,23.670085,21.215508,23.033222,6866400
1999-02-24,23.378191,23.404727,21.759497,21.918713,4156400
1999-02-25,21.892177,21.931981,20.538842,20.724594,4134400
1999-02-26,21.228777,22.051392,20.565377,20.804201,3184000
