date,open,high,low,close,volume
1999-01-04,3.579559,3.690267,3.579559,3.690267,144315
1999-01-05,3.690266,3.837877,3.690266,3.800974,120234
1999-01-06,3.800974,3.874779,3.800974,3.837877,129779
1999-01-07,3.837877,3.856328,3.690266,3.782523,102720
1999-01-08,3.745621,3.782523,3.671815,3.727169,143352
1999-01-11,3.708717,3.837877,3.690266,3.819425,138886
1999-01-12,3.874779,3.874779,3.819425,3.819425,57271
1999-01-13,3.800976,3.893233,3.764073,3.856330,42384
1999-01-14,4.059293,4.059293,3.911683,3.930134,133194
1999-01-15,3.911682,3.967036,3.911682,3.948584,126801
1999-01-19,3.911682,3.911682,3.819425,3.837877,148869
1999-01-20,3.837877,3.874780,3.764072,3.782523,69706
1999-01-21,3.800975,3.800975,3.653364,3.690267,157976
1999-01-22,3.708718,3.800975,3.690267,3.727169,78901
1999-01-25,3.874780,3.874780,3.690267,3.690267,146242
1999-01-26,3.468852,3.542657,3.155179,3.505754,748198
1999-01-27,3.472176,3.567566,3.395865,3.395865,174877
1999-01-28,3.434019,3.567565,3.395863,3.472175,127940
1999-01-29,3.529410,3.529410,3.434020,3.491254,248173
1999-02-01,3.453097,3.453097,3.262319,3.281397,280399
1999-02-02,3.262320,3.281398,3.147852,3.205086,104996
1999-02-03,3.205085,3.205085,3.052462,3.071539,338370
1999-02-04,3.052463,3.109696,3.052463,3.052463,338370
1999-02-05,3.014305,3.052461,2.880760,2.899838,681908
1999-02-08,2.899841,2.899841,2.670906,2.728140,315515
1999-02-09,2.747217,2.747217,2.594593,2.613672,917646
1999-02-10,2.594593,2.613672,2.575516,2.613672,238103
1999-02-11,2.613671,2.613671,2.441970,2.537359,128115
1999-02-12,2.403813,2.422891,2.289346,2.327502,484612
1999-02-16,2.346580,2.346580,2.289347,2.289347,127765
1999-02-17,2.308425,2.346580,2.213035,2.251191,133106
1999-02-18,2.251191,2.251191,2.213036,2.232113,178030
1999-02-19,2.213035,2.537359,2.213035,2.537359,256405
1999-02-22,2.537359,2.537359,2.365658,2.499203,143702
1999-02-23,2.499203,2.518281,2.441969,2.499203,83980
1999-02-24,2.499203,2.518281,2.441969,2.441969,184685
1999-02-25,2.441972,2.480128,2.441972,2.480128,97816
1999-02-26,2.518281,2.518281,2.403814,2.461047,712382
1999-03-01,2.461048,2.461048,2.365659,2.422892,77587
1999-03-02,2.403814,2.480125,2.403814,2.461047,167084
1999-03-03,2.441970,2.441970,2.384737,2.403815,93525
1999-03-04,2.403815,2.422892,2.327503,2.346581,85994
1999-03-05,2.327502,2.518281,2.308424,2.499203,188888
1999-03-08,2.480128,2.480128,2.403816,2.480128,188013
1999-03-09,2.441970,2.461048,2.384736,2.422892,81790
1999-03-10,2.403815,2.422892,2.365659,2.403815,110251
1999-03-11,2.384736,2.403814,1.755166,1.926867,2305981
