date,open,high,low,close,volume
1999-01-04,11.862157,11.909891,11.360939,11.456409,2942325
1999-01-05,11.432540,11.838287,11.432540,11.742817,1707975
1999-01-06,11.838288,12.005361,11.718951,11.933759,2131875
1999-01-07,11.790553,11.838288,11.504143,11.671215,1020150
1999-01-08,11.671216,11.838289,11.146131,11.360939,1500525
1999-01-11,11.337069,11.337069,10.716515,11.074528,3127275
1999-01-12,11.026794,11.217735,11.002928,11.217735,1640925
1999-01-13,11.050659,11.193865,10.811984,11.074528,1629450
1999-01-14,11.074526,11.122260,10.931321,11.050658,1065600
1999-01-15,11.217734,11.504144,11.146131,11.456409,1279575
1999-01-19,11.480275,11.480275,11.026792,11.193865,1709550
1999-01-20,11.098396,11.695083,10.955191,11.647349,2734425
1999-01-21,11.456409,12.220169,11.456409,11.695084,2287350
1999-01-22,11.456409,11.671217,11.265469,11.623482,1386000
1999-01-25,11.575746,11.575746,11.384806,11.456409,1513350
1999-01-26,11.384803,11.456405,11.146128,11.169995,1386450
1999-01-27,11.265468,11.671216,11.217734,11.551878,1642725
1999-01-28,11.528011,12.196300,11.528011,11.933759,2734200
1999-01-29,11.933759,11.933759,11.551878,11.647349,1462500
1999-02-01,11.456409,11.480276,11.193866,11.456409,1665450
1999-02-02,11.384805,11.384805,11.098395,11.193865,948150
1999-02-03,11.146128,11.241597,10.788115,11.026790,1190475
1999-02-04,11.074529,11.337070,11.026793,11.289336,1839600
1999-02-05,11.265467,11.265467,10.955189,11.146130,1450800
1999-02-08,11.241597,11.289333,11.122259,11.265465,1467000
1999-02-09,11.265465,11.432538,11.026790,11.026790,1154700
1999-02-10,11.217734,11.360938,10.621045,10.692647,1366200
1999-02-11,10.692645,10.883586,10.597175,10.764248,2193075
1999-02-12,10.811983,10.883586,10.644911,10.716514,1288350
1999-02-16,10.740382,10.907454,10.597177,10.644913,2598975
1999-02-17,10.501705,10.597175,10.215296,10.310765,1216575
1999-02-18,10.406235,10.453971,10.215296,10.310765,687375
1999-02-19,10.382370,10.477840,10.072093,10.143696,435375
1999-02-22,10.239165,10.406237,10.024358,10.024358,1485675
1999-02-23,10.095958,10.263030,10.048222,10.072090,1082925
1999-02-24,10.167563,10.382371,10.095961,10.239166,1244025
1999-02-25,10.286901,10.334635,10.143696,10.191430,896625
1999-02-26,10.263033,10.525576,10.263033,10.430106,742050
1999-03-01,10.430105,10.835852,10.430105,10.811985,1768950
1999-03-02,10.811983,10.979055,10.811983,10.979055,1057275
1999-03-03,11.026792,11.146130,10.931323,11.002926,1981575
1999-03-04,11.026792,11.408672,11.002925,11.146130,2531025
1999-03-05,11.241597,11.432538,11.169995,11.265465,2480625
1999-03-08,11.265467,11.456407,11.241599,11.384805,1250550
1999-03-09,11.313204,11.432542,11.265468,11.360939,1265625
1999-03-10,11.360938,11.360938,11.193865,11.193865,2082150
1999-03-11,11.217731,11.289333,11.217731,11.265465,2023200
1999-03-12,11.265468,11.313204,11.169998,11.289336,1466775
1999-03-15,11.289333,11.289333,10.979055,11.026790,970200
1999-03-16,10.979058,11.122263,10.907455,10.955191,981450
1999-03-17,10.955189,11.002925,10.644912,10.907454,1999800
1999-03-18,10.955191,11.814421,10.644913,11.551878,2925225
1999-03-19,11.504143,11.551877,11.360937,11.384805,1411425
1999-03-22,11.456408,11.730884,11.456408,11.480275,2172825
1999-03-23,11.480276,11.551878,10.955191,10.955191,1491300
1999-03-24,10.931323,10.955190,10.525575,10.644913,1228500
1999-03-25,10.692645,10.740381,10.597176,10.716514,769050
1999-03-26,10.692649,10.692649,10.453975,10.453975,717525
1999-03-29,10.540978,10.588784,10.421465,10.564880,928125
1999-03-30,10.469270,10.636587,10.349758,10.421465,1284750
1999-03-31,10.493173,10.588784,10.445369,10.493173,781200
1999-04-01,10.564882,10.684395,10.325858,10.469273,1993950
1999-04-05,10.517076,10.612685,10.445369,10.493173,1924200
1999-04-06,10.493173,10.588784,10.421466,10.493173,1463850
1999-04-07,10.517075,10.612685,10.325856,10.349758,974925
1999-04-08,10.373660,10.373660,10.015123,10.086830,3584475
1999-04-09,10.015124,10.086831,9.752196,9.752196,3082275
1999-04-12,9.537074,9.752196,9.035123,9.106830,3728025
1999-04-13,9.106832,9.608783,8.413661,9.513174,4405725
1999-04-14,9.513173,9.608782,9.202440,9.226343,2378700
1999-04-15,9.202440,9.274148,8.987318,9.059026,2557125
1999-04-16,9.082926,9.465364,8.891706,8.891706,2609775
1999-04-19,8.891706,9.154634,8.700487,8.772194,2652750
1999-04-20,8.676585,8.796098,8.676585,8.748293,2576925
1999-04-21,8.772198,9.250248,8.724394,9.250248,2085300
1999-04-22,9.202440,9.274148,8.987318,9.011221,1024425
1999-04-23,9.011220,9.106830,8.843903,9.106830,1148850
1999-04-26,9.250247,9.417563,9.130734,9.202441,1371825
1999-04-27,9.274149,9.369759,9.082930,9.202441,1179450
1999-04-28,9.178538,9.298051,9.059026,9.226343,1347075
1999-04-29,9.274149,9.321954,8.891710,8.987319,1349550
1999-04-30,9.082929,9.154636,8.676586,8.676586,1137600
1999-05-03,8.676585,8.891706,8.628780,8.772194,1607175
1999-05-04,8.867805,8.891707,8.557072,8.580976,1391400
1999-05-05,8.604880,8.724393,8.437564,8.557075,1580625
1999-05-06,8.533173,8.724392,8.318051,8.365855,3222000
1999-05-07,8.413660,8.509270,8.270245,8.461465,3271950
1999-05-10,8.509268,8.748293,8.365854,8.580976,1354275
1999-05-11,8.580977,9.130733,8.485367,9.082929,3273975
1999-05-12,9.608785,9.608785,9.082932,9.393663,2804400
1999-05-13,9.417562,9.489270,9.274148,9.345855,2377800
1999-05-14,9.178539,9.584881,9.130734,9.560978,2316600
1999-05-17,9.560974,9.560974,8.796096,8.891706,2899800
1999-05-18,9.178537,9.178537,8.867805,8.939512,2904975
1999-05-19,9.035125,9.130734,8.963418,9.035125,1684350
1999-05-20,9.178539,9.513173,9.130733,9.321953,2231325
1999-05-21,9.321956,9.513176,9.321956,9.393663,1296450
1999-05-24,9.465367,9.728294,9.274147,9.274147,1223775
1999-05-25,9.298051,9.537074,9.250245,9.345855,1462725
