date,open,high,low,close,volume
1999-01-04,16.498975,16.498975,15.355295,15.580281,10274620
1999-01-05,15.674037,16.498987,15.655289,16.498987,8353286
1999-01-06,17.030662,17.483806,16.879614,16.879614,6194550
1999-01-07,17.143951,17.219475,16.690806,16.917379,3066975
1999-01-08,17.030664,17.125068,16.690805,17.106188,4365174
1999-01-11,16.917389,16.936269,16.218791,16.596411,3652526
1999-01-12,16.596407,16.841860,16.124381,16.237667,2725495
1999-01-13,15.482431,16.671935,15.444669,16.596411,4336263
1999-01-14,16.728566,16.728566,16.086612,16.256540,3522651
1999-01-15,16.332070,16.388714,15.557949,16.048855,6648225
1999-01-19,17.332774,17.653750,16.879629,17.483822,9008223
1999-01-20,17.521577,17.540458,17.049551,17.370529,7174621
1999-01-21,17.578212,17.615974,17.408284,17.615974,3921173
1999-01-22,17.597105,17.804795,17.295008,17.729271,3136916
1999-01-25,17.597098,17.710384,16.294308,16.445356,4135890
1999-01-26,17.068433,17.068433,16.615289,16.785217,4453685
1999-01-27,16.879629,17.143964,16.841867,16.841867,3766390
1999-01-28,17.559342,17.993605,17.427174,17.767033,5236051
1999-01-29,17.842557,18.125772,17.332770,18.125772,4766587
1999-02-01,18.012476,18.031357,17.521570,17.974714,5929907
1999-02-02,17.936962,18.125772,17.615985,18.125772,3454822
1999-02-03,17.899188,18.106878,17.748140,18.106878,3432917
1999-02-04,18.257937,18.257937,17.823674,18.031364,3603156
1999-02-05,18.012476,18.012476,17.521570,17.578213,2672567
1999-02-08,17.521580,17.767033,17.257246,17.767033,2182086
1999-02-09,17.672629,17.729271,17.370533,17.597105,3042067
1999-02-10,17.408289,17.615979,17.389407,17.502693,1937013
1999-02-11,17.332765,17.502693,17.332765,17.502693,2570267
1999-02-12,17.446055,17.521579,17.313887,17.464935,3095552
1999-02-16,17.370536,17.672632,17.351654,17.483822,2500215
1999-02-17,17.332766,17.653743,17.295004,17.313885,2412371
1999-02-18,17.295003,17.729266,17.162836,17.653742,2073783
1999-02-19,17.653737,17.785904,17.294998,17.351641,2501327
1999-02-22,17.370529,18.182412,17.313885,18.144650,3259897
1999-02-23,18.182411,18.182411,16.992909,17.276123,6207226
1999-02-24,17.276121,17.974719,17.257241,17.691504,3073869
1999-02-25,17.653738,17.672620,16.917380,17.427166,3003371
1999-02-26,17.483823,17.521585,17.181726,17.408298,2548140
1999-03-01,17.219488,17.313893,16.785224,16.860748,1930230
1999-03-02,16.804102,17.106198,16.464243,16.464243,3099221
1999-03-03,16.577529,16.690815,16.464243,16.502007,2918530
1999-03-04,16.596411,16.860745,16.407601,16.502007,2824014
1999-03-05,16.917386,16.955148,16.520884,16.709694,2767861
1999-03-08,16.520887,16.653055,16.407601,16.502007,2227454
1999-03-09,16.388714,16.653048,16.313190,16.483118,2541579
1999-03-10,16.539762,16.577522,16.162140,16.350950,3335176
1999-03-11,16.369835,16.653050,16.350953,16.634169,2696140
1999-03-12,16.879622,16.879622,16.445358,16.671930,2637651
1999-03-15,16.407597,16.766337,16.407597,16.558645,2206772
1999-03-16,16.615288,16.690811,16.407597,16.634169,2839025
1999-03-17,16.709690,16.709690,16.332070,16.350950,1933455
1999-03-18,16.332073,16.577525,16.294311,16.369835,2428828
1999-03-19,16.162144,16.369836,16.029978,16.029978,3953864
1999-03-22,16.029982,16.426484,15.954458,16.011101,1985160
1999-03-23,15.973330,16.011092,15.293614,15.406900,4346715
1999-03-24,15.406907,16.067743,15.331383,15.841171,3324168
1999-03-25,15.746762,15.860048,15.501310,15.784524,2406478
1999-03-26,15.784528,15.784528,15.520194,15.539076,1942350
1999-03-29,15.557948,15.916687,15.501305,15.822282,2277492
1999-03-30,15.690121,16.067742,15.614597,15.897812,3048183
1999-03-31,15.935571,16.048857,15.520189,15.614594,2928648
1999-04-01,15.539070,15.652356,15.388022,15.633474,3073646
1999-04-05,15.633467,15.822277,15.520181,15.671229,2675347
1999-04-06,15.406906,15.897812,15.406906,15.897812,2556257
1999-04-07,16.091054,16.357336,15.938893,16.357336,3772617
1999-04-08,16.433419,16.851863,16.319298,16.794802,4385633
1999-04-09,16.775777,17.023038,16.661656,17.004019,2562039
1999-04-12,16.851870,17.118153,16.680688,17.080112,1967814
1999-04-13,16.889906,17.004027,16.718724,16.813824,2048653
1999-04-14,16.927941,16.927941,16.661659,16.832840,3063639
1999-04-15,16.813808,17.422454,16.794788,17.365393,3188399
1999-04-16,17.384421,17.802864,17.327360,17.688744,2923311
1999-04-19,17.726794,18.183278,17.612673,17.707773,4765252
1999-04-20,17.707764,17.726785,17.213241,17.308342,3070310
1999-04-21,17.289332,17.802877,17.023050,17.802877,2871717
1999-04-22,17.574629,17.726790,17.118145,17.612669,2704035
1999-04-23,17.745815,18.164259,17.688755,18.069159,2795326
1999-04-26,17.993073,18.202294,17.346388,17.479528,4588564
1999-04-27,17.555608,18.031113,17.270307,17.993073,2840804
1999-04-28,18.012096,18.202297,17.460512,17.707773,2976462
