date,open,high,low,close,volume
1999-01-04,10.867611,10.896437,10.348733,10.348733,64600
1999-01-05,10.262250,10.377556,10.146944,10.146944,50800
1999-01-06,9.858680,10.089292,9.858680,10.002812,87000
1999-01-07,9.685719,10.031638,9.339801,9.973985,92000
1999-01-08,9.801025,9.801025,9.253321,9.253321,193200
1999-01-11,9.310975,9.339802,8.936230,9.339802,128000
1999-01-12,9.224497,9.224497,9.051538,9.224497,103800
1999-01-13,9.109190,9.195669,8.993884,9.080363,54800
1999-01-14,9.051536,9.138016,9.022709,9.109189,13200
1999-01-15,9.022710,9.166842,8.993883,9.138016,92800
1999-01-19,9.051534,9.051534,8.792095,8.878574,46200
1999-01-20,8.878578,9.109190,8.820925,8.993884,130400
1999-01-21,8.936230,9.138016,8.936230,9.138016,26400
1999-01-22,8.993882,9.166842,8.302045,8.359698,242200
1999-01-25,8.417353,8.763271,8.417353,8.763271,59200
1999-01-26,8.734443,8.820923,8.734443,8.792096,67000
1999-01-27,8.763267,8.763267,8.561481,8.561481,45800
1999-01-28,8.532660,8.647966,8.475007,8.475007,28000
1999-01-29,8.475006,8.763271,8.215567,8.763271,276000
1999-02-01,8.792097,9.109189,8.763270,9.109189,36800
1999-02-02,9.051542,9.080369,8.936236,9.051542,41200
1999-02-03,8.965060,9.080366,8.820927,8.849753,29200
1999-02-04,8.763272,8.993884,8.763272,8.993884,48200
1999-02-05,9.051535,9.339800,8.993882,9.253321,27800
1999-02-08,9.253326,9.310979,8.763274,8.907407,53000
1999-02-09,8.763270,8.763270,8.705617,8.705617,8200
1999-02-10,8.508339,8.594865,8.248763,8.392972,45800
1999-02-11,8.479501,8.710236,8.450660,8.623711,26800
1999-02-12,8.681391,8.681391,8.537182,8.537182,17200
1999-02-16,8.594862,8.681388,8.594862,8.681388,16200
1999-02-17,8.623707,8.623707,8.364131,8.364131,26400
1999-02-18,8.364131,8.364131,8.191080,8.364131,146800
1999-02-19,8.277605,8.508340,8.277605,8.450656,32400
1999-02-22,8.364128,8.710230,8.364128,8.681388,27800
1999-02-23,8.594865,8.998650,8.594865,8.969809,20200
1999-02-24,8.912126,9.085177,8.912126,9.027493,39200
1999-02-25,8.940966,9.027491,8.883282,8.998650,23600
1999-02-26,9.056331,9.287066,8.912122,9.142857,50200
1999-03-01,9.142861,9.258228,9.142861,9.229386,51000
1999-03-02,9.229387,9.344754,9.229387,9.344754,44800
1999-03-03,9.344757,9.431282,9.287073,9.287073,99200
1999-03-04,9.229385,9.431278,9.171701,9.373594,92600
1999-03-05,9.258229,9.546647,9.258229,9.546647,28000
