date,open,high,low,close,volume
1999-01-04,18.437080,18.735093,17.920524,18.079464,3415800
1999-01-05,17.999996,18.039732,17.721851,17.801321,2587200
1999-01-06,17.801319,18.238405,17.781451,17.940392,4110200
1999-01-07,17.721855,17.761590,17.145696,17.364239,5187400
1999-01-08,17.384097,17.562905,17.125819,17.165554,2895200
1999-01-11,17.165560,17.304632,16.490063,16.728474,3427600
1999-01-12,16.708609,17.364238,16.688741,17.324503,2849000
1999-01-13,17.006615,18.357607,16.966880,18.337740,4316400
1999-01-14,18.357613,18.377481,17.562912,17.701984,4054800
1999-01-15,18.079468,18.158939,17.841058,18.119204,3683800
1999-01-19,18.516551,18.556286,17.920525,17.980127,3352800
1999-01-20,18.119202,18.437083,17.880792,18.417215,2344200
1999-01-21,18.476817,18.516552,17.960261,18.317877,2669400
1999-01-22,18.238406,18.596022,18.158936,18.576155,2607200
1999-01-25,18.596031,18.794706,18.516560,18.556295,2709600
1999-01-26,18.754956,18.913897,18.596016,18.913897,2745800
1999-01-27,18.973509,19.112581,18.774833,18.794701,2004000
1999-01-28,18.794697,19.152313,18.794697,19.152313,2495200
1999-01-29,19.152316,19.887416,19.152316,19.867548,2462800
1999-02-01,19.827804,20.026480,19.589394,19.768202,2298600
1999-02-02,19.629137,19.847680,18.993376,19.490065,1744400
1999-02-03,19.470200,19.649008,19.271525,19.629141,1553400
1999-02-04,19.549665,19.668870,19.390724,19.390724,1615600
1999-02-05,19.390723,19.470194,19.112578,19.291386,1872400
1999-02-08,19.291382,19.291382,18.894032,18.894032,1593200
1999-02-09,18.834438,18.953643,18.516557,18.655630,1378600
1999-02-10,18.735095,18.834433,18.278142,18.814566,1716200
1999-02-11,18.794688,19.589389,18.774820,19.549654,2033000
1999-02-12,19.629127,19.728465,18.993366,19.192041,1739400
1999-02-16,20.344368,20.344368,19.708607,20.264898,2216400
1999-02-17,20.304634,20.582779,19.708607,19.947018,2160900
1999-02-18,20.206031,20.245807,19.450294,20.126480,1934300
1999-02-19,20.086703,20.166254,19.649171,19.848049,2483400
1999-02-22,19.967380,20.762893,19.887829,20.723118,2330100
1999-02-23,21.001556,21.319761,20.723126,20.842453,1898600
1999-02-24,21.319754,21.598183,20.882221,20.921997,1888000
1999-02-25,20.842442,20.921993,19.768499,20.126480,2333200
1999-02-26,20.683342,20.762894,20.126483,20.365137,1931300
1999-03-01,20.365134,20.365134,19.609396,19.649172,2549100
1999-03-02,19.808283,19.967386,19.251424,19.410526,2382400
1999-03-03,19.370745,19.410521,18.575232,19.012764,2862700
1999-03-04,19.092312,19.251415,17.859267,18.376350,4161000
1999-03-05,19.410523,19.410523,18.893439,19.052542,4002900
1999-03-08,19.330973,19.370749,18.893441,19.370749,2013000
1999-03-09,19.330971,19.370747,18.813888,19.052542,1822000
1999-03-10,19.171862,19.291189,18.853656,19.171862,1751700
1999-03-11,19.330971,19.728727,19.012765,19.688951,2129000
1999-03-12,19.649172,19.688948,18.575230,19.330967,4002000
1999-03-15,19.728723,19.728723,18.972986,19.330967,2348000
1999-03-16,19.251422,19.330973,19.012768,19.092319,1678800
1999-03-17,19.132091,19.171867,18.774110,19.012764,1317700
1999-03-18,18.813889,19.410524,18.813889,19.370749,1511300
1999-03-19,19.410523,19.410523,18.774113,18.774113,2024100
1999-03-22,18.774115,18.893442,18.416134,18.455910,2053700
1999-03-23,18.376357,18.376357,17.779722,17.819498,2670900
1999-03-24,17.819494,18.097923,17.541064,17.739943,1845800
1999-03-25,17.779723,19.092319,17.779723,19.092319,1899100
1999-03-26,18.933213,19.012764,18.694559,19.012764,1913200
1999-03-29,19.052542,19.092318,18.336580,18.694561,2150800
1999-03-30,18.455907,18.615010,18.296805,18.336580,1929800
1999-03-31,18.296789,18.416116,17.501277,17.978584,3412400
1999-04-01,17.978601,18.018376,17.620620,17.779722,2082100
1999-04-05,17.899042,18.058145,16.705773,16.825100,4700300
1999-04-06,16.665999,17.183083,16.506897,16.864878,3947900
1999-04-07,17.302412,17.381963,17.063758,17.302412,2284400
1999-04-08,17.580844,17.819498,17.501293,17.779722,2490100
1999-04-09,17.779717,18.734333,17.700166,18.734333,2603300
1999-04-12,19.171878,19.171878,18.535467,18.973000,2599200
1999-04-13,18.933220,19.092323,18.416136,18.575239,2306100
1999-04-14,18.455904,18.615007,17.978597,18.137699,1742000
1999-04-15,18.137697,18.177473,16.944428,17.023979,3182300
1999-04-16,17.023990,17.222868,16.228476,16.347803,6031500
1999-04-19,16.427338,16.904646,15.194293,15.432947,5454200
1999-04-20,15.592055,15.950036,14.836318,15.592055,9585700
1999-04-21,15.910265,16.825106,15.790938,16.387573,5725100
1999-04-22,16.586450,16.864879,16.308020,16.785328,2723500
1999-04-23,16.944429,17.103532,16.586448,16.864878,1516700
1999-04-26,17.023981,17.103532,15.830711,16.944429,3922700
1999-04-27,17.262632,17.620613,16.984203,17.620613,2836400
1999-04-28,17.779721,17.978599,17.501291,17.501291,2074400
1999-04-29,17.501288,17.541064,16.705775,16.904654,2024300
1999-04-30,16.864869,17.700158,16.705767,17.103523,1972000
1999-05-03,16.984203,17.342184,16.387568,17.342184,1716900
1999-05-04,17.421746,17.421746,16.268252,16.347803,2508300
1999-05-05,16.347793,16.387569,15.950037,16.308018,2778900
1999-05-06,16.228466,16.308017,15.989812,16.148914,2147200
1999-05-07,16.228468,16.308019,15.950038,16.228468,2360800
1999-05-10,16.188700,16.228475,15.910270,15.989821,1929900
1999-05-11,15.950039,16.427347,15.870488,16.069366,2399500
1999-05-12,15.910271,16.506906,15.592065,16.347803,2979400
1999-05-13,16.387579,16.586457,16.069373,16.347803,1962800
1999-05-14,15.989814,16.268244,15.830711,16.228468,2099300
1999-05-17,16.029591,16.228469,15.870488,16.069366,1915300
1999-05-18,16.109148,16.546681,15.790943,15.989821,2307700
1999-05-19,16.249161,16.328814,15.930550,16.328814,1501400
1999-05-20,16.886378,17.085510,16.766899,16.846552,3248900
1999-05-21,16.886384,16.886384,16.527947,16.607599,2317200
1999-05-24,16.607599,16.846558,16.527947,16.607599,1721600
1999-05-25,16.647429,17.204998,16.647429,16.647429,3469500
1999-05-26,16.169513,16.647429,15.930554,16.209339,2495700
1999-05-27,16.129685,16.129685,15.014546,15.054373,5152100
1999-05-28,15.134025,15.213677,14.656108,14.815413,4733800
1999-06-01,14.815420,15.173858,14.456983,15.134031,3733700
1999-06-02,15.213689,15.253515,14.656119,14.855251,2272300
1999-06-03,15.293333,16.089861,15.054375,15.970382,3567200
1999-06-04,16.010203,16.567772,15.970376,16.567772,2762900
1999-06-07,16.408482,16.448308,15.771259,15.930565,2013400
1999-06-08,15.850895,16.209332,15.611937,15.731416,1930100
1999-06-09,15.651764,16.010201,15.611938,15.811069,1839700
1999-06-10,15.651764,15.771243,15.333153,15.532285,1744900
1999-06-11,15.532292,15.611945,15.094202,15.333160,2331200
1999-06-14,15.850904,16.010210,15.572120,16.010210,2349300
1999-06-15,16.169511,16.288990,15.691594,15.890726,1810200
1999-06-16,16.089860,16.527950,16.050034,16.527950,1711700
1999-06-17,16.567780,16.806739,16.368649,16.687260,1744700
1999-06-18,16.846557,17.603258,16.727078,17.523605,3364600
1999-06-21,17.563434,17.563434,17.204996,17.284649,1695700
1999-06-22,17.404131,17.523610,17.045693,17.324478,2338400
1999-06-23,17.324481,17.802398,17.125349,17.682919,1803300
1999-06-24,17.643089,17.682916,17.244825,17.563437,1612600
1999-06-25,17.643089,17.882048,17.404131,17.563437,2302600
1999-06-28,17.643086,18.718398,17.563433,18.678572,3592100
1999-06-29,18.758230,18.877709,18.399793,18.837883,2565200
1999-06-30,18.798052,18.798052,18.399788,18.718399,2463400
1999-07-01,18.559095,18.798054,18.359963,18.479443,1318400
1999-07-02,18.479437,18.559090,18.160826,18.320131,1273300
1999-07-06,18.240488,18.320141,17.603266,17.682919,2193000
1999-07-07,17.682908,17.961693,17.603255,17.882040,2008400
1999-07-08,17.762561,18.399783,17.682908,18.200651,1867500
1999-07-09,18.359957,18.359957,18.041346,18.200651,1421700
1999-07-12,18.399790,18.638748,18.399790,18.559095,2387500
1999-07-13,18.519273,18.598926,17.961703,18.081182,1884200
1999-07-14,18.320139,18.798056,18.200660,18.638750,1558800
1999-07-15,18.638746,18.917531,18.598920,18.877705,1516800
1999-07-16,18.877707,19.076838,18.798054,19.037012,1576700
1999-07-19,19.037008,19.076835,18.877703,18.957355,1312500
1999-07-20,18.997180,18.997180,18.200652,18.320131,1600700
1999-07-21,18.121011,18.718407,18.121011,18.160837,1644300
