date,open,high,low,close,volume
1999-01-04,12.142318,12.644067,12.041968,12.092143,688900
1999-01-05,11.891445,13.446866,11.891445,13.296341,2368500
1999-01-06,13.747916,13.998790,13.246167,13.246167,1365300
1999-01-07,13.396689,14.701236,13.246164,14.450361,3374000
1999-01-08,15.202987,15.202987,14.249664,14.600888,3052000
1999-01-11,14.801587,15.353510,14.651062,15.253160,2467800
1999-01-12,15.152809,16.055956,14.701235,15.654557,1707200
1999-01-13,14.851762,17.209981,14.450363,16.357008,7722400
1999-01-14,16.557706,16.607881,15.855258,16.055958,2495200
1999-01-15,16.106129,16.407178,15.704730,15.955605,1161000
1999-01-19,16.055961,16.607884,15.102638,15.453862,3037300
1999-01-20,15.052463,15.052463,12.844768,13.246167,4191700
1999-01-21,13.346515,13.798089,13.145816,13.195991,2194400
1999-01-22,12.844765,12.945115,12.292842,12.292842,1856400
1999-01-25,12.443368,12.744418,11.941620,12.041969,1947700
1999-01-26,12.041968,12.292843,11.640569,11.740919,6091600
1999-01-27,11.841269,11.891444,10.837771,10.837771,4818500
1999-01-28,10.787595,11.289344,10.486546,11.289344,3126900
1999-01-29,11.239171,11.389696,10.887947,10.938122,1694200
1999-02-01,11.138822,11.640571,11.038472,11.540221,2117300
1999-02-02,11.339520,11.439869,10.336022,10.336022,2252200
1999-02-03,10.336022,11.088645,10.235673,10.637072,1525600
1999-02-04,10.737423,10.887948,10.085150,10.135324,1240000
1999-02-05,10.235673,10.336022,9.332525,10.336022,2584700
1999-02-08,10.737422,10.837772,10.336023,10.461460,1514300
1999-02-09,10.637073,10.737423,9.683751,9.784101,1982900
1999-02-10,9.683750,9.984799,9.533226,9.683750,1348800
1999-02-11,9.683749,9.884448,8.931126,9.834273,1657800
1999-02-12,9.583397,9.683747,9.131824,9.432873,890800
1999-02-16,9.583401,9.633576,8.830778,8.981302,1514900
1999-02-17,8.730429,8.931128,8.027980,8.128330,2052800
1999-02-18,8.329030,8.880953,8.027980,8.780603,2444700
1999-02-19,8.830779,8.830779,8.429380,8.579905,968200
1999-02-22,8.931126,9.131825,8.730426,8.830776,1730000
1999-02-23,8.931126,9.031476,8.579902,8.830776,1028100
1999-02-24,8.931126,8.931126,8.278852,8.329027,1142300
1999-02-25,8.228677,8.329027,7.927628,8.329027,1071700
1999-02-26,8.228679,8.329028,7.626580,7.626580,1959500
1999-03-01,7.676756,8.278855,7.676756,8.128330,1073800
1999-03-02,8.329027,8.329027,7.777104,7.827279,765400
1999-03-03,7.927629,7.927629,7.576405,7.626580,708100
1999-03-04,7.676758,7.977807,7.526233,7.676758,1154300
1999-03-05,7.927629,7.927629,7.526230,7.526230,555800
1999-03-08,7.626583,7.777108,7.425883,7.676758,981600
1999-03-09,7.726929,8.329027,7.626579,7.827279,1073700
1999-03-10,7.927629,7.977804,7.576405,7.626580,779600
1999-03-11,7.726933,7.927632,7.576408,7.676758,721200
1999-03-12,7.576405,7.827280,7.526230,7.526230,423500
1999-03-15,7.626580,7.927629,7.526230,7.626580,512600
1999-03-16,7.676755,7.777105,7.576405,7.626580,351600
1999-03-17,7.676754,8.278852,7.676754,7.827279,1220900
1999-03-18,7.877456,7.877456,7.626581,7.726931,707500
1999-03-19,7.726929,7.827279,7.325530,7.476055,1024300
1999-03-22,7.425880,7.425880,6.924131,6.924131,943900
