date,open,high,low,close,volume
1999-01-04,6.928241,7.011546,6.900472,6.942125,497400
1999-01-05,6.900467,6.928236,6.817162,6.886583,307800
1999-01-06,6.886588,6.983778,6.886588,6.942125,359800
1999-01-07,6.914354,6.928239,6.831049,6.872702,340600
1999-01-08,6.872704,6.872704,6.733862,6.747746,209400
1999-01-11,6.803280,6.803280,6.581133,6.608901,232600
1999-01-12,6.608900,6.622784,6.511710,6.525595,3769800
1999-01-13,6.525597,6.608902,6.470060,6.539481,1718400
1999-01-14,6.553362,6.553362,6.428404,6.497825,590800
1999-01-15,6.539481,6.595018,6.470060,6.539481,321800
1999-01-19,6.539481,6.539481,6.386754,6.483944,248800
1999-01-20,6.539477,6.539477,6.428404,6.456172,332400
1999-01-21,6.497828,6.497828,6.386754,6.442291,208200
1999-01-22,6.456171,6.456171,6.400634,6.428403,323400
1999-01-25,6.442286,6.456170,6.386749,6.400633,620200
1999-01-26,6.400636,6.414521,6.345099,6.386752,365200
1999-01-27,6.372868,6.400636,6.275678,6.303447,138200
1999-01-28,6.400636,6.400636,6.261794,6.303447,259600
1999-01-29,5.997993,6.039646,5.761961,5.775846,1362800
1999-02-01,5.803613,5.845266,5.775845,5.803613,935800
1999-02-02,5.803615,5.803615,5.637004,5.748078,737600
1999-02-03,5.748079,5.748079,5.623121,5.692542,704400
1999-02-04,5.706425,5.706425,5.623119,5.706425,487800
1999-02-05,5.692541,5.789731,5.678657,5.761962,1086200
1999-02-08,5.831382,5.970225,5.803614,5.956340,3157200
1999-02-09,5.956341,5.970225,5.914688,5.928572,5419200
1999-02-10,5.875595,5.946046,5.706513,5.805144,2560000
1999-02-11,5.805145,5.847415,5.762874,5.776964,821400
1999-02-12,5.776962,5.791052,5.664241,5.706511,1420600
1999-02-16,5.734691,5.748781,5.664240,5.720601,395400
1999-02-17,5.720601,5.833322,5.650150,5.720601,1494200
1999-02-18,5.762871,5.791051,5.692420,5.720601,1412200
1999-02-19,5.734693,5.805144,5.678332,5.748783,467200
1999-02-22,5.833324,5.833324,5.776963,5.819234,1734000
1999-02-23,5.833323,5.833323,5.748782,5.762872,572400
1999-02-24,5.776962,5.776962,5.734692,5.762872,359600
1999-02-25,5.762871,5.762871,5.664240,5.692420,1202800
1999-02-26,5.748782,5.791053,5.720602,5.762872,879400
1999-03-01,5.762871,5.776961,5.678330,5.720601,1133200
1999-03-02,5.776962,5.819233,5.748782,5.762872,378400
1999-03-03,5.734693,5.903775,5.734693,5.819234,1402800
1999-03-04,5.833321,5.946042,5.833321,5.889682,1030600
1999-03-05,5.931953,6.072855,5.917863,5.931953,344400
1999-03-08,5.931953,6.002403,5.889682,6.002403,563600
1999-03-09,6.002407,6.002407,5.833326,5.875596,1010000
1999-03-10,5.847414,5.861504,5.805143,5.833323,1098200
1999-03-11,5.833323,5.861504,5.805143,5.833323,253800
1999-03-12,5.833321,5.889682,5.833321,5.889682,896400
1999-03-15,5.889686,5.946047,5.875596,5.917866,240200
1999-03-16,5.917863,5.931954,5.889683,5.903773,490000
1999-03-17,5.917866,5.946047,5.875596,5.917866,267400
1999-03-18,5.931954,5.974225,5.917864,5.974225,559800
1999-03-19,5.917866,5.960137,5.917866,5.917866,344400
1999-03-22,5.974226,5.988316,5.917865,5.946045,220400
1999-03-23,5.946044,5.960134,5.889683,5.903773,278200
1999-03-24,5.917864,6.086946,5.875594,6.086946,611800
1999-03-25,6.086946,6.171487,5.960134,5.974225,325000
1999-03-26,5.974227,6.002407,5.960136,5.960136,380400
1999-03-29,5.974224,6.016494,5.974224,5.988314,243000
1999-03-30,5.960133,5.974223,5.875592,5.889682,619600
1999-03-31,5.931957,5.974227,5.861506,5.875596,986200
1999-04-01,5.861506,5.903776,5.861506,5.875596,324200
1999-04-05,5.819232,5.917863,5.819232,5.903773,510000
1999-04-06,5.903774,5.946045,5.748782,5.861504,671400
1999-04-07,5.861503,5.875593,5.692421,5.706511,618600
1999-04-08,5.748780,5.889682,5.748780,5.889682,327200
1999-04-09,5.833325,5.889685,5.791054,5.805144,358800
1999-04-12,5.791054,5.931956,5.748784,5.805144,443000
1999-04-13,5.833322,5.847412,5.762872,5.791052,235200
1999-04-14,5.791052,5.819232,5.706511,5.706511,357000
1999-04-15,5.706511,5.734691,5.664240,5.692420,658400
1999-04-16,5.650152,5.748783,5.650152,5.748783,522200
1999-04-19,5.748782,5.861503,5.748782,5.762872,789600
1999-04-20,5.762875,5.889686,5.762875,5.875596,1265200
1999-04-21,5.875593,5.917863,5.819232,5.903773,794200
1999-04-22,5.903776,5.903776,5.791055,5.875596,605000
1999-04-23,5.861503,5.903774,5.819233,5.847413,307000
1999-04-26,5.833323,5.889684,5.805143,5.847413,718600
1999-04-27,5.903776,5.931957,5.861506,5.875596,656600
1999-04-28,5.875594,5.988315,5.875594,5.974225,630600
1999-04-29,5.974224,6.016494,5.875593,6.016494,708400
1999-04-30,5.974225,6.058766,5.889685,6.058766,344800
1999-05-03,6.058764,6.157395,6.016494,6.143305,621400
1999-05-04,6.157397,6.171488,6.044676,6.058766,419600
1999-05-05,6.115126,6.157396,6.086945,6.129216,451600
1999-05-06,6.129216,6.199666,6.101035,6.129216,258600
1999-05-07,6.143307,6.143307,6.058766,6.101036,5105400
1999-05-10,6.147357,6.161653,6.047284,6.075876,368600
1999-05-11,6.061578,6.161651,6.061578,6.133059,265800
1999-05-12,6.133061,6.133061,6.075876,6.118764,150200
1999-05-13,6.147355,6.290317,6.090170,6.261724,1016600
1999-05-14,6.161650,6.161650,6.047281,6.104465,343200
1999-05-17,6.118761,6.190242,6.104465,6.190242,507200
1999-05-18,6.175946,6.204538,6.133058,6.190242,224800
1999-05-19,6.190244,6.247429,6.175948,6.247429,316000
1999-05-20,6.261726,6.290318,6.204541,6.290318,268200
1999-05-21,6.247429,6.261725,6.233133,6.247429,200800
1999-05-24,6.261726,6.376095,6.247430,6.318911,177600
1999-05-25,6.290315,6.433277,6.290315,6.433277,536000
1999-05-26,6.433278,6.433278,6.304613,6.376093,304000
1999-05-27,6.376093,6.390389,6.261724,6.361797,269000
1999-05-28,6.361799,6.390392,6.304615,6.347503,251200
1999-06-01,6.376094,6.376094,6.233133,6.247429,228800
1999-06-02,6.233133,6.290317,6.204540,6.247429,272200
1999-06-03,6.247428,6.290317,6.233132,6.261724,185200
1999-06-04,6.247430,6.318911,6.233134,6.318911,433600
1999-06-07,6.304614,6.304614,6.175948,6.247429,165600
1999-06-08,6.276020,6.290316,6.204539,6.204539,280000
1999-06-09,6.247429,6.247429,6.175948,6.247429,204200
1999-06-10,6.247428,6.247428,6.061578,6.175947,196000
1999-06-11,6.147357,6.147357,6.090172,6.118764,208600
1999-06-14,6.104466,6.261724,6.104466,6.204539,350400
1999-06-15,6.175946,6.361797,6.175946,6.333204,491200
1999-06-16,6.347503,6.361799,6.304614,6.318911,225800
1999-06-17,6.318909,6.318909,6.218836,6.261724,245600
1999-06-18,6.218834,6.304611,6.204538,6.304611,402600
1999-06-21,6.276019,6.304611,6.090169,6.304611,480200
1999-06-22,6.276021,6.276021,6.218837,6.247429,312600
1999-06-23,6.233133,6.247430,6.190245,6.218837,246000
1999-06-24,6.204541,6.276022,6.190245,6.218837,449000
1999-06-25,6.218835,6.233131,6.175946,6.190242,260800
1999-06-28,6.118765,6.133061,6.047284,6.075876,1021000
1999-06-29,6.047285,6.061581,5.961507,6.004396,397800
1999-06-30,5.961505,5.990097,5.732766,5.732766,601800
1999-07-01,5.775653,5.918615,5.761357,5.875726,436200
1999-07-02,5.861431,5.947208,5.847135,5.890023,203200
1999-07-06,5.890022,5.932911,5.847134,5.875726,256400
1999-07-07,5.847135,5.890024,5.832839,5.861432,203000
1999-07-08,5.904319,5.904319,5.847134,5.875726,763400
1999-07-09,5.847135,5.875728,5.832839,5.861432,332000
1999-07-12,5.875729,5.875729,5.761360,5.775656,429800
1999-07-13,5.761360,5.832840,5.761360,5.775656,211400
1999-07-14,5.775654,5.847135,5.775654,5.847135,307200
1999-07-15,5.847134,5.875726,5.832838,5.875726,538200
1999-07-16,5.847135,5.890023,5.789950,5.818542,359600
1999-07-19,5.861431,5.861431,5.818543,5.847135,302800
1999-07-20,5.818543,5.847135,5.804246,5.804246,241600
1999-07-21,5.847135,5.890023,5.804246,5.890023,450000
1999-07-22,5.890025,5.904322,5.861433,5.904322,359200
1999-07-23,5.904321,5.918617,5.875729,5.918617,204800
1999-07-26,5.890023,5.918616,5.890023,5.890023,183400
1999-07-27,5.918618,5.918618,5.890025,5.904322,313400
1999-07-28,5.890022,5.904319,5.861430,5.875726,201000
1999-07-29,5.847137,5.861433,5.761360,5.775656,322200
1999-07-30,5.804245,5.875726,5.732764,5.747060,515000
1999-08-02,5.832838,5.832838,5.789949,5.832838,227400
1999-08-03,5.804247,5.847135,5.775654,5.847135,160000
1999-08-04,5.861432,5.918616,5.832839,5.861432,390600
1999-08-05,5.875728,5.875728,5.832839,5.861432,151200
1999-08-06,5.832839,5.875727,5.832839,5.847135,286800
1999-08-09,5.847134,5.847134,5.818541,5.832838,4599400
1999-08-10,5.850842,5.865361,5.792770,5.836324,378600
1999-08-11,5.850843,5.850843,5.807288,5.850843,297800
