date,open,high,low,close,volume
1999-01-04,5.527664,5.594584,5.447358,5.514279,154900
1999-01-05,5.487512,5.701659,5.460743,5.688274,54700
1999-01-06,5.674888,5.701657,5.541046,5.567815,70500
1999-01-07,5.567817,5.621353,5.407207,5.407207,67500
1999-01-08,5.380438,5.407207,5.300133,5.340286,51800
1999-01-11,5.313517,5.326901,5.193059,5.233212,67200
1999-01-12,5.233211,5.246596,5.166291,5.193059,44800
1999-01-13,5.139523,5.273365,5.099371,5.246597,77900
1999-01-14,5.273365,5.433975,5.273365,5.407207,78500
1999-01-15,5.380438,5.393823,5.367054,5.380438,82300
1999-01-19,5.353670,5.433975,5.300133,5.407207,87500
1999-01-20,5.407206,5.487511,5.380438,5.447359,83000
1999-01-21,5.460741,5.500894,5.460741,5.460741,58200
1999-01-22,5.447359,5.460744,5.407207,5.433975,34000
1999-01-25,5.407204,5.514278,5.380436,5.460741,43400
1999-01-26,5.460742,5.567815,5.460742,5.541047,36800
1999-01-27,5.541047,5.581200,5.514279,5.541047,50800
1999-01-28,5.514279,5.581200,5.487511,5.514279,40200
1999-01-29,5.500052,5.500052,5.390598,5.459007,41800
1999-02-01,5.445326,5.500053,5.390599,5.445326,68700
1999-02-02,5.390597,5.404279,5.240098,5.390597,40500
1999-02-03,5.390597,5.417961,5.267462,5.349552,66500
1999-02-04,5.253781,5.308508,5.199054,5.281145,93900
1999-02-05,5.281145,5.349553,5.281145,5.281145,51400
1999-02-08,5.281143,5.335870,5.281143,5.294825,34600
1999-02-09,5.294825,5.363234,5.294825,5.322189,38900
1999-02-10,5.308508,5.335872,5.226418,5.281145,39900
1999-02-11,5.281143,5.308507,5.253780,5.253780,54500
1999-02-12,5.253780,5.281143,5.199053,5.212735,110000
1999-02-16,5.240098,5.281143,5.116963,5.144326,35100
1999-02-17,5.130644,5.199053,5.116963,5.144326,32200
1999-02-18,5.171691,5.226418,5.144327,5.185372,49100
1999-02-19,5.226417,5.226417,5.158008,5.171690,34100
1999-02-22,5.226416,5.322188,5.212734,5.308506,83400
1999-02-23,5.417962,5.459007,5.404280,5.431643,57400
1999-02-24,5.390598,5.445325,5.322189,5.335871,54100
1999-02-25,5.308507,5.335870,5.199053,5.253780,31800
1999-02-26,5.281142,5.281142,5.062234,5.075916,55500
1999-03-01,5.130644,5.226417,5.116963,5.144326,208300
1999-03-02,5.116964,5.308508,5.116964,5.240099,47300
1999-03-03,5.294825,5.308506,5.240098,5.294825,42500
1999-03-04,5.294825,5.363234,5.281144,5.349552,65000
1999-03-05,5.349553,5.417962,5.349553,5.363235,121100
1999-03-08,5.363234,5.363234,5.171690,5.171690,37100
1999-03-09,5.158008,5.226416,5.089599,5.116962,74200
1999-03-10,5.075917,5.089599,4.952782,4.966464,82300
1999-03-11,4.966463,5.034872,4.939100,4.993827,56500
1999-03-12,5.021191,5.144326,5.021191,5.062236,55700
1999-03-15,5.089598,5.089598,5.007508,5.048553,28300
1999-03-16,5.034873,5.103281,4.939101,4.939101,50000
1999-03-17,4.966464,5.007509,4.952782,4.966464,41000
1999-03-18,4.980145,4.980145,4.898055,4.966464,55700
1999-03-19,4.966465,4.980147,4.870693,4.911738,59300
1999-03-22,4.898056,4.939101,4.857010,4.939101,55400
1999-03-23,4.925419,4.966464,4.925419,4.952782,42000
1999-03-24,4.980146,4.980146,4.925419,4.952782,40200
1999-03-25,4.911735,4.911735,4.747554,4.774918,108200
1999-03-26,4.788600,4.815963,4.720191,4.747555,75600
1999-03-29,4.761238,4.843328,4.706511,4.761238,139000
1999-03-30,4.720194,4.761239,4.679149,4.733876,62700
1999-03-31,4.706511,4.747556,4.638102,4.706511,86400
1999-04-01,4.706512,4.706512,4.542331,4.638103,54800
1999-04-05,4.651786,4.761240,4.651786,4.679150,75500
1999-04-06,4.706510,4.788600,4.638101,4.747555,45100
1999-04-07,4.774921,4.774921,4.679149,4.733876,32700
1999-04-08,4.679147,4.733874,4.665465,4.706511,53300
1999-04-09,4.679150,4.692831,4.638104,4.679150,58200
1999-04-12,4.679147,4.761238,4.665466,4.761238,50000
1999-04-13,4.788600,4.815963,4.747555,4.747555,53100
1999-04-14,4.774920,4.939101,4.733875,4.939101,104400
1999-04-15,4.925420,5.253781,4.925420,5.240099,135200
1999-04-16,5.253780,5.335870,5.240098,5.267462,90900
1999-04-19,5.267462,5.459006,5.267462,5.376915,77800
1999-04-20,5.390596,5.404278,5.308506,5.308506,31200
1999-04-21,5.349552,5.472687,5.349552,5.390597,67400
1999-04-22,5.431641,5.459005,5.363233,5.404278,41300
1999-04-23,5.376917,5.404280,5.349553,5.363235,42800
1999-04-26,5.376915,5.417961,5.335870,5.376915,58700
1999-04-27,5.376916,5.390597,5.322189,5.349552,56000
1999-04-28,5.363234,5.363234,5.322189,5.335871,34400
1999-04-29,5.335871,5.349552,5.308507,5.322189,85700
1999-04-30,5.350763,5.364770,5.238705,5.266719,45500
1999-05-03,5.238708,5.336758,5.210693,5.224700,58900
1999-05-04,5.182677,5.364771,5.182677,5.280728,46400
1999-05-05,5.308742,5.308742,5.126648,5.168670,37500
1999-05-06,5.196681,5.364768,5.182674,5.308739,53100
1999-05-07,5.336756,5.448813,5.336756,5.448813,84800
1999-05-10,5.420799,5.434806,5.294733,5.350762,53500
1999-05-11,5.378777,5.448813,5.364770,5.448813,42200
1999-05-12,5.448812,5.476826,5.406790,5.476826,40600
1999-05-13,5.434805,5.490833,5.406790,5.476826,39300
1999-05-14,5.462825,5.518853,5.448817,5.490839,83800
1999-05-17,5.490839,5.560875,5.490839,5.490839,25900
1999-05-18,5.476828,5.490835,5.406792,5.448813,50300
1999-05-19,5.406795,5.546868,5.406795,5.518853,76400
1999-05-20,5.574878,5.700943,5.560871,5.686936,64500
1999-05-21,5.714953,5.742968,5.672931,5.700946,57700
1999-05-24,5.714950,5.714950,5.658921,5.686936,39200
1999-05-25,5.700943,5.700943,5.462820,5.504842,55400
1999-05-26,5.532860,5.546867,5.448816,5.532860,32400
1999-05-27,5.546868,5.546868,5.504846,5.518853,16200
1999-05-28,5.504845,5.616903,5.490837,5.546866,31200
1999-06-01,5.490833,5.504841,5.406790,5.476826,46500
1999-06-02,5.448813,5.462821,5.406792,5.462821,37700
1999-06-03,5.448815,5.518852,5.350765,5.434808,35700
1999-06-04,5.462819,5.518848,5.462819,5.476826,21900
1999-06-07,5.504842,5.518849,5.448813,5.462821,47300
1999-06-08,5.462822,5.476829,5.392785,5.424302,26600
1999-06-09,5.462821,5.462821,5.420799,5.462821,22800
1999-06-10,5.434806,5.462821,5.420799,5.448813,17500
1999-06-11,5.434806,5.462820,5.392784,5.392784,16100
1999-06-14,5.294737,5.294737,5.210693,5.224700,50500
1999-06-15,5.182679,5.252715,5.168671,5.224700,53500
1999-06-16,5.252711,5.252711,5.126646,5.140653,56400
1999-06-17,5.154662,5.210691,5.154662,5.168670,37500
1999-06-18,5.042603,5.042603,4.930545,5.042603,127600
1999-06-21,5.084626,5.084626,4.972568,5.000582,63400
1999-06-22,4.930547,5.042605,4.930547,4.986576,65300
1999-06-23,4.986578,5.000585,4.902534,4.930549,81200
1999-06-24,4.944555,4.958562,4.930547,4.958562,45200
1999-06-25,4.972568,5.056611,4.902531,4.916539,76000
1999-06-28,4.916540,5.056612,4.916540,5.014591,74800
1999-06-29,5.014589,5.084625,5.014589,5.070618,54000
1999-06-30,5.084626,5.210691,5.042604,5.210691,64700
1999-07-01,5.294735,5.350764,5.140655,5.182677,61900
1999-07-02,5.196684,5.196684,5.154662,5.154662,25200
1999-07-06,5.154662,5.210691,5.154662,5.154662,46700
1999-07-07,5.154662,5.210691,5.154662,5.182677,44100
1999-07-08,5.154662,5.210691,5.056612,5.182677,41300
1999-07-09,5.126647,5.126647,5.042603,5.126647,45100
1999-07-12,5.112640,5.126648,5.042604,5.056612,35500
1999-07-13,5.056610,5.098632,5.056610,5.084625,35900
1999-07-14,5.056611,5.126648,4.944554,4.972568,90200
1999-07-15,4.958560,5.140654,4.958560,5.126647,90700
1999-07-16,5.126647,5.266720,5.084626,5.238705,73600
1999-07-19,5.294732,5.294732,5.070616,5.098631,65600
1999-07-20,5.126648,5.168669,5.042604,5.056612,40300
1999-07-21,5.084622,5.140651,5.000579,5.028594,75400
1999-07-22,5.028597,5.098633,4.972568,5.000582,74500
1999-07-23,5.000583,5.042605,4.944554,4.986576,51000
1999-07-26,4.986576,5.042605,4.944555,4.958562,87900
1999-07-27,4.958561,5.070619,4.958561,5.056612,58800
1999-07-28,5.042603,5.070617,5.000581,5.042603,31900
1999-07-29,5.042601,5.042601,5.000579,5.028594,41900
1999-07-30,5.059068,5.102185,5.044695,5.059068,50300
1999-08-02,5.059068,5.059068,5.001578,5.059068,33700
1999-08-03,5.073443,5.145305,5.073443,5.087815,37500
1999-08-04,5.059067,5.073439,4.944088,4.944088,50700
1999-08-05,4.944089,4.944089,4.915345,4.929717,42400
1999-08-06,4.915345,4.944089,4.886600,4.886600,44800
1999-08-09,4.872227,4.872227,4.814737,4.814737,30500
1999-08-10,4.800366,4.814738,4.685387,4.742877,54700
1999-08-11,4.699756,4.714128,4.469798,4.498543,135300
1999-08-12,4.584781,4.642270,4.570408,4.642270,83900
1999-08-13,4.656644,4.800368,4.642272,4.699761,73800
1999-08-16,4.714130,4.742875,4.484172,4.570406,125500
1999-08-17,4.584779,4.627896,4.455428,4.541662,121500
1999-08-18,4.512916,4.541661,4.498544,4.527288,48000
1999-08-19,4.541659,4.570404,4.441053,4.469798,135900
1999-08-20,4.498544,4.498544,4.455427,4.455427,105400
1999-08-23,4.541664,4.685387,4.527291,4.642270,88100
1999-08-24,4.642267,4.671012,4.570406,4.656640,94900
1999-08-25,4.656639,4.685384,4.599150,4.599150,62900
1999-08-26,4.570406,4.627896,4.556034,4.627896,39200
1999-08-27,4.599152,4.627896,4.541662,4.541662,72200
1999-08-30,4.570407,4.570407,4.498545,4.541662,51000
1999-08-31,4.570406,4.627896,4.534476,4.627896,77800
1999-09-01,4.627896,4.742875,4.599151,4.714130,81800
1999-09-02,4.714129,4.714129,4.627895,4.656640,45000
1999-09-03,4.599151,4.642268,4.599151,4.627896,51500
1999-09-07,4.613523,4.757246,4.613523,4.685384,43600
1999-09-08,4.671012,4.728502,4.671012,4.728502,33200
1999-09-09,4.699756,4.771618,4.541660,4.599150,113000
1999-09-10,4.627898,4.685387,4.627898,4.642270,46100
1999-09-13,4.656644,4.800368,4.613527,4.699761,56000
1999-09-14,4.671011,4.685384,4.599150,4.599150,34600
1999-09-15,4.599150,4.627894,4.584777,4.599150,45200
1999-09-16,4.599151,4.613523,4.570406,4.570406,54700
1999-09-17,4.599152,4.728503,4.599152,4.671013,45100
1999-09-20,4.627894,4.627894,4.584777,4.599150,69600
1999-09-21,4.584782,4.599154,4.570409,4.584782,31300
1999-09-22,4.613522,4.627894,4.570405,4.599150,34800
1999-09-23,4.584779,4.627896,4.570406,4.613523,84700
1999-09-24,4.599150,4.642267,4.584777,4.599150,69400
1999-09-27,4.584779,4.627896,4.541662,4.541662,105300
1999-09-28,4.527289,4.599151,4.527289,4.570406,45100
1999-09-29,4.541662,4.584779,4.541662,4.570406,33200
1999-09-30,4.527288,4.599150,4.527288,4.599150,64500
1999-10-01,4.570406,4.584779,4.498545,4.556034,62200
1999-10-04,4.584782,4.599154,4.556037,4.584782,46800
1999-10-05,4.556035,4.584779,4.512918,4.541662,37500
1999-10-06,4.512917,4.541662,4.498545,4.512917,31500
1999-10-07,4.498545,4.512917,4.484172,4.512917,65200
1999-10-08,4.484170,4.512915,4.484170,4.498543,20500
1999-10-11,4.527289,4.527289,4.441055,4.455427,78200
1999-10-12,4.455428,4.498545,4.397939,4.397939,79500
1999-10-13,4.397938,4.512917,4.397938,4.455427,35400
1999-10-14,4.441055,4.541662,4.426683,4.512917,45800
1999-10-15,4.527287,4.527287,4.441053,4.469798,48500
1999-10-18,4.441055,4.512917,4.426683,4.512917,53300
1999-10-19,4.527289,4.556034,4.484172,4.512917,77500
1999-10-20,4.512918,4.599152,4.512918,4.541662,265400
1999-10-21,4.512917,4.512917,4.426682,4.455427,166900
1999-10-22,4.441055,4.512917,4.282959,4.311704,134500
1999-10-25,4.340449,4.369194,4.282960,4.297332,111800
1999-10-26,4.297332,4.311705,4.139236,4.153609,146700
1999-10-27,4.167982,4.239843,4.139237,4.139237,113300
1999-10-28,4.225472,4.225472,4.153610,4.211100,92400
1999-10-29,4.258581,4.258581,4.139875,4.243743,103300
1999-11-01,4.243744,4.317936,4.199229,4.288259,86000
1999-11-02,4.317932,4.362447,4.273418,4.362447,84300
1999-11-03,4.347610,4.377287,4.288257,4.332772,62200
1999-11-04,4.303095,4.332771,4.169551,4.273418,63900
1999-11-05,4.317935,4.362450,4.214067,4.214067,55000
1999-11-08,4.243743,4.243743,4.036008,4.154714,158800
1999-11-09,4.125036,4.258581,4.125036,4.228904,61500
1999-11-10,4.228904,4.228904,4.006330,4.036006,80000
1999-11-11,4.006330,4.006330,3.768918,3.857947,181800
1999-11-12,3.872785,3.887623,3.768917,3.872785,180600
1999-11-15,3.857948,4.006330,3.857948,4.006330,140100
1999-11-16,4.036007,4.050845,3.961816,4.006330,77200
1999-11-17,3.961817,4.006332,3.887626,3.902464,166700
1999-11-18,3.932138,3.961815,3.917300,3.917300,87800
1999-11-19,3.946976,3.946976,3.828269,3.932137,107600
1999-11-22,3.961814,3.991490,3.902461,3.932137,194500
1999-11-23,3.976653,3.976653,3.798594,3.857947,147200
1999-11-24,3.843108,3.887622,3.813431,3.843108,66300
1999-11-26,3.813432,3.857947,3.768917,3.813432,81300
1999-11-29,3.857947,3.857947,3.739241,3.783756,140100
1999-11-30,3.798593,3.872784,3.754078,3.843108,93500
1999-12-01,3.813433,3.872786,3.768918,3.783756,96100
1999-12-02,3.798596,3.813435,3.679890,3.754081,126500
1999-12-03,3.724403,3.739241,3.650211,3.694726,172700
1999-12-06,3.694726,3.694726,3.620535,3.620535,121100
1999-12-07,3.605696,3.709564,3.605696,3.709564,161700
1999-12-08,3.679888,3.694727,3.576021,3.590859,196300
1999-12-09,3.576021,3.635374,3.516668,3.546345,173300
1999-12-10,3.546347,3.620538,3.486994,3.516670,184200
1999-12-13,3.546344,3.576021,3.516668,3.576021,193600
1999-12-14,3.546347,3.561185,3.516670,3.516670,139700
1999-12-15,3.501830,3.561183,3.501830,3.561183,122600
1999-12-16,3.546344,3.590859,3.516668,3.561183,184700
1999-12-17,3.561182,3.620535,3.546344,3.620535,223200
1999-12-20,3.620534,3.739240,3.620534,3.739240,152000
1999-12-21,3.709564,3.857947,3.709564,3.709564,137400
1999-12-22,3.709564,3.739241,3.679888,3.709564,138700
1999-12-23,3.679888,3.709565,3.576021,3.590859,166500
1999-12-27,3.576021,3.590859,3.531506,3.561183,231400
1999-12-28,3.561183,3.576021,3.516668,3.561183,229000
1999-12-29,3.516668,3.561183,3.501830,3.501830,223200
1999-12-30,3.501829,3.605697,3.501829,3.590859,196600
1999-12-31,3.620535,3.620535,3.546344,3.590859,117700
2000-01-03,3.590859,3.739242,3.590859,3.650212,112600
2000-01-04,3.605697,3.709565,3.605697,3.635374,134800
2000-01-05,3.679887,3.739240,3.650211,3.739240,93200
2000-01-06,3.768916,3.946976,3.768916,3.932137,164200
2000-01-07,3.946977,4.021168,3.932138,3.991491,132500
2000-01-10,4.021168,4.080521,3.961815,4.065682,179200
2000-01-11,4.065683,4.080521,3.946977,3.991491,98400
2000-01-12,4.006329,4.021167,3.917299,3.932137,88400
2000-01-13,3.932139,3.946978,3.902463,3.946978,80500
2000-01-14,3.961814,3.961814,3.932137,3.932137,86400
2000-01-18,3.961813,3.961813,3.828269,3.828269,249200
2000-01-19,3.828271,3.976654,3.813433,3.961815,214300
2000-01-20,3.991491,4.080521,3.991491,4.050844,118900
2000-01-21,4.021170,4.139876,4.021170,4.125038,78200
2000-01-24,4.154712,4.154712,4.050844,4.050844,99900
2000-01-25,4.065683,4.095359,4.021168,4.036006,131800
2000-01-26,4.065681,4.139873,4.050843,4.080520,74800
2000-01-27,4.095359,4.125036,4.021168,4.036006,118800
2000-01-28,4.040306,4.040306,3.978856,4.024943,69700
2000-01-31,4.040306,4.055669,3.963495,3.963495,68700
2000-02-01,3.963495,4.024945,3.902046,3.948133,78900
2000-02-02,3.932771,3.963496,3.871322,3.886684,98100
2000-02-03,3.902046,3.902046,3.825234,3.825234,85500
2000-02-04,3.840597,3.840597,3.794510,3.809872,129100
2000-02-07,3.794510,3.840598,3.779148,3.794510,94600
2000-02-08,3.825235,3.840598,3.779148,3.794510,68000
2000-02-09,3.717698,3.763786,3.671611,3.686974,155800
