date,open,high,low,close,volume
1999-01-04,10.301398,10.382004,10.172429,10.285277,11181200
1999-01-05,10.285282,10.365888,10.172434,10.365888,7928800
1999-01-06,10.333648,10.430374,10.236921,10.269163,11730800
1999-01-07,10.107947,10.301400,10.075704,10.301400,9755400
1999-01-08,10.317527,10.333648,10.236921,10.269163,8163400
1999-01-11,10.269156,10.285277,9.769401,9.882249,10866200
1999-01-12,9.753284,9.801647,9.543709,9.592072,6643200
1999-01-13,9.156801,9.543708,9.124559,9.446981,10818800
1999-01-14,9.156797,9.334129,9.124554,9.221281,9038200
1999-01-15,9.172925,9.672680,9.172925,9.672680,11092000
1999-01-19,9.430863,9.640438,9.318016,9.495348,8472200
1999-01-20,9.479224,9.640435,9.253528,9.640435,11843600
1999-01-21,9.543707,9.624313,9.350254,9.575950,10401400
1999-01-22,9.527587,9.624313,9.366375,9.479223,8229600
1999-01-25,9.414739,9.463103,9.253528,9.366376,6459200
1999-01-26,9.334134,9.334134,9.092318,9.237408,8690200
1999-01-27,9.189044,9.285771,9.011712,9.027833,7858400
1999-01-28,9.092317,9.205165,9.027833,9.172923,10133000
1999-01-29,9.124560,9.124560,8.882743,9.027833,10618200
1999-02-01,8.995595,8.995595,8.689294,8.769899,10385400
1999-02-02,8.995591,9.011712,8.657047,8.818258,14191400
1999-02-03,8.850028,8.979699,8.687940,8.687940,11180600
1999-02-04,8.720358,8.850028,8.704149,8.817611,16733200
1999-02-05,8.785194,8.914865,8.704150,8.914865,9501200
1999-02-08,8.947280,8.995906,8.866236,8.963489,8448400
1999-02-09,8.931072,8.931072,8.428598,8.574477,14991200
1999-02-10,8.542058,8.590684,8.347552,8.493431,11472600
1999-02-11,8.525852,8.947281,8.331345,8.817611,13356600
1999-02-12,8.801400,8.914861,8.590685,8.850026,10268000
1999-02-16,9.076953,9.141788,8.963491,9.093162,8878000
1999-02-17,9.093157,9.514587,9.044531,9.465961,12792400
1999-02-18,9.514589,9.628051,9.465963,9.595634,9672000
1999-02-19,9.595637,9.595637,9.482175,9.498384,5730200
1999-02-22,9.547006,9.757721,9.530797,9.741512,5643000
1999-02-23,9.725301,9.822554,9.595630,9.628048,5599000
1999-02-24,9.692884,9.773928,9.287663,9.336289,5960000
1999-02-25,9.271457,9.595634,9.206622,9.579425,6735800
1999-02-26,9.611838,9.660465,9.417332,9.530794,7216200
1999-03-01,9.530796,9.611840,9.368708,9.611840,6550600
1999-03-02,9.692886,9.952227,9.660468,9.725304,12225600
1999-03-03,9.709095,9.822557,9.482172,9.595634,6249600
1999-03-04,9.790140,9.887393,9.725304,9.838766,9633800
1999-03-05,10.114316,10.162942,9.854974,10.065689,8567600
1999-03-08,9.919810,10.114316,9.854974,10.065689,3815400
1999-03-09,10.081899,10.114316,9.790140,9.838766,7321200
1999-03-10,9.871184,10.098107,9.692886,10.098107,5638600
1999-03-11,10.098108,10.243987,10.017063,10.243987,8827200
1999-03-12,10.308824,10.308824,10.017065,10.081901,5252400
1999-03-15,9.887389,10.243983,9.854971,10.017059,7726800
1999-03-16,10.049484,10.081901,9.579427,9.709098,8311800
1999-03-17,9.644268,9.660477,9.271465,9.401135,6698800
1999-03-18,9.384916,10.081896,9.368707,10.049479,7744400
1999-03-19,10.114317,10.146735,9.952229,10.000855,10638000
1999-03-22,9.984645,10.130525,9.968437,10.098107,5718600
1999-03-23,10.065689,10.325031,9.628051,9.725304,6386000
1999-03-24,9.628050,9.692885,9.563214,9.644258,5185000
1999-03-25,9.757721,9.871183,9.611842,9.660468,6612400
1999-03-26,9.498381,9.563217,9.401128,9.449755,5681200
1999-03-29,9.449753,9.741512,9.449753,9.741512,5366000
1999-03-30,9.465960,9.709092,9.336289,9.368707,6666200
1999-03-31,9.482174,9.530800,9.093162,9.093162,10187000
1999-04-01,9.157991,9.514585,8.914859,9.514585,8848200
1999-04-05,9.563214,9.757720,9.514587,9.692884,7035000
1999-04-06,9.757721,9.952227,9.660468,9.822556,6516800
1999-04-07,9.903601,10.114316,9.887392,10.098107,7226400
1999-04-08,10.243987,10.276405,10.179152,10.243987,11306000
1999-04-09,10.260198,10.308825,10.179154,10.308825,5253000
1999-04-12,10.243983,10.373654,10.195357,10.341236,6198600
1999-04-13,10.292613,10.341240,10.179151,10.211569,6293200
1999-04-14,10.341240,10.584372,10.211569,10.211569,17781400
1999-04-15,10.243990,10.487122,10.179154,10.422287,7337200
1999-04-16,10.438493,10.487120,10.260196,10.487120,6437200
1999-04-19,10.503330,10.811298,10.503330,10.665419,14633400
1999-04-20,10.859926,11.022014,10.730255,10.989596,13837600
1999-04-21,10.989594,11.086847,10.778879,11.005803,11038000
1999-04-22,10.973384,11.086846,10.762669,11.070637,9098800
1999-04-23,11.038217,11.135470,10.973382,11.086843,4410200
1999-04-26,11.103054,11.248934,11.022010,11.070637,7516400
