date,open,high,low,close,volume
1999-01-04,28.199559,28.344172,27.259573,27.295727,3749800
1999-01-05,27.295724,29.501074,27.078804,29.211847,4703900
1999-01-06,29.392609,30.657973,29.139536,30.441053,5100200
1999-01-07,30.079525,30.585671,29.573379,30.368752,3042300
1999-01-08,30.368762,30.477222,29.609543,30.043383,1857200
1999-01-11,29.790305,30.947210,29.717999,30.947210,3060100
1999-01-12,30.585663,30.621816,29.934904,30.332590,1808400
1999-01-13,29.067227,30.477204,28.778001,30.151825,1908600
1999-01-14,29.862614,30.007227,29.320315,29.464928,1536900
1999-01-15,29.790295,30.766433,29.790295,30.441053,1950200
1999-01-19,30.513357,30.621817,29.971058,30.260284,2030100
1999-01-20,30.115674,30.477207,30.079521,30.441053,1942400
1999-01-21,30.296454,30.621833,29.645695,29.645695,1759600
1999-01-22,29.501069,29.537222,28.633390,28.741850,1602100
1999-01-25,28.561084,29.284150,28.235705,29.175690,1866600
1999-01-26,28.922621,29.284154,28.705701,29.211847,2260700
1999-01-27,29.139540,29.320306,28.561088,28.633394,1661700
1999-01-28,28.633389,28.705695,28.018783,28.380316,1948500
1999-01-29,28.344166,29.139538,28.344166,28.886465,2808800
1999-02-01,29.067236,29.139543,28.741857,28.814163,2075500
1999-02-02,28.778007,28.778007,28.271861,28.633394,2342000
1999-02-03,28.561096,30.224147,28.488790,29.645695,2576900
1999-02-04,29.717981,30.368739,29.645674,29.934900,1878500
1999-02-05,29.862617,30.151843,29.537237,29.971077,1717100
1999-02-08,29.971058,30.079518,29.537219,29.862598,1941900
1999-02-09,29.356455,29.790294,29.211842,29.247995,1348500
1999-02-10,29.247988,30.115667,29.247988,29.934900,3314800
1999-02-11,29.934912,30.187985,29.826452,30.079525,2069800
1999-02-12,30.007228,30.296454,29.320315,29.645695,1693200
1999-02-16,29.718001,29.898767,28.922628,29.464928,2664600
1999-02-17,29.464926,29.790306,28.778014,28.958780,1776500
1999-02-18,28.958784,28.958784,28.163411,28.235718,1676000
1999-02-19,28.163402,28.163402,27.440337,27.476490,2494800
1999-02-22,27.765721,27.765721,26.970349,27.151115,2496300
1999-02-23,27.404196,27.982648,27.404196,27.946495,3923300
1999-02-24,28.922617,29.573376,28.741850,29.175690,4588400
1999-02-25,29.067241,29.284161,27.187270,28.488789,4979800
1999-02-26,28.488780,28.524933,28.054940,28.271860,1999400
1999-03-01,27.910316,28.054929,26.825718,26.861872,2112100
1999-03-02,27.006506,27.042659,26.138827,26.319593,2499000
1999-03-03,26.319590,26.934196,26.247284,26.355743,4216900
1999-03-04,26.391891,27.693408,26.355737,27.259569,2328100
1999-03-05,28.922630,28.994937,27.946491,28.235718,2863700
1999-03-08,28.922625,29.211851,28.344173,28.416479,3506800
1999-03-09,28.344169,28.994928,28.127249,28.669548,1955400
1999-03-10,28.705701,28.850314,28.271861,28.633394,1811100
1999-03-11,28.633392,28.958772,28.633392,28.886465,2293000
1999-03-12,28.886473,28.922626,28.199560,28.344173,1518300
1999-03-15,28.344173,28.597246,27.584954,27.765720,1566500
1999-03-16,27.801876,27.910335,26.934197,27.223423,1971100
1999-03-17,27.223415,27.223415,26.536503,26.536503,1681100
1999-03-18,26.608822,26.861895,25.958063,26.608822,2949500
1999-03-19,26.681118,27.621103,26.174972,27.621103,4370900
1999-03-22,27.621099,27.621099,26.861880,27.042646,2597400
1999-03-23,27.151118,27.151118,26.391899,26.500359,2556600
1999-03-24,26.536513,26.681126,25.813447,26.319593,3070600
1999-03-25,26.391894,26.391894,25.451908,25.741135,2456300
1999-03-26,25.885749,26.030362,24.439618,24.909611,2147100
1999-03-29,25.054222,25.813441,24.801149,25.054222,2806300
1999-03-30,25.271144,25.379603,24.222698,24.367311,3162400
1999-03-31,24.801147,25.741132,24.295001,25.668825,5387100
1999-04-01,26.608821,27.331886,26.283441,27.331886,3362500
1999-04-05,27.331875,28.344167,27.295722,28.271860,3524100
1999-04-06,27.982642,28.018795,27.151116,27.223423,2162900
1999-04-07,27.331873,27.838019,26.681114,26.789574,2171000
1999-04-08,26.789572,26.789572,25.885741,26.428040,1790300
1999-04-09,26.536515,26.898048,25.921909,26.608822,2138400
1999-04-12,26.608817,27.729569,26.464204,27.223423,1833700
1999-04-13,27.187272,27.187272,26.102674,26.319593,1663800
1999-04-14,26.319585,27.910329,26.247278,27.838022,4870000
1999-04-15,28.416482,29.067241,27.765722,28.994934,5555600
1999-04-16,28.778013,29.139546,28.163408,28.922626,3060100
1999-04-19,29.211848,30.549520,29.211848,30.224140,4018300
1999-04-20,30.296444,30.296444,28.669547,28.705700,2871700
1999-04-21,28.778004,29.428762,28.597237,29.428762,1841500
1999-04-22,29.645686,30.187985,29.573379,30.079525,2022000
1999-04-23,30.368760,30.730293,30.007227,30.694139,2056100
1999-04-26,30.657985,31.019518,30.368758,30.585678,1508700
1999-04-27,30.730290,31.308743,30.585677,30.657984,3716500
1999-04-28,30.657990,31.019523,30.549530,30.549530,2724400
1999-04-29,30.513361,31.995645,30.477207,31.670265,4003200
1999-04-30,32.393338,32.791024,31.814885,32.682564,3639400
1999-05-03,32.646418,33.514097,32.646418,33.477943,7262600
1999-05-04,34.707133,34.707133,33.911762,34.128681,5281400
1999-05-05,34.273300,34.562526,32.971782,33.188702,4067400
1999-05-06,31.525655,32.971786,30.513364,31.634115,10998500
1999-05-07,31.814881,32.393333,31.525655,32.393333,3908800
1999-05-10,32.393336,32.393336,31.200278,31.236431,3305700
1999-05-11,31.381039,31.959491,31.236426,31.670265,3140000
1999-05-12,31.814884,32.176417,31.706424,31.923344,2446700
1999-05-13,31.959510,32.754882,31.308751,31.887203,2700300
1999-05-14,31.525658,31.995650,31.381045,31.923344,1587200
1999-05-17,32.682562,32.682562,31.742577,32.031803,1897900
1999-05-18,32.321017,32.321017,31.417185,31.706411,1532200
1999-05-19,32.537950,32.899482,32.140264,32.610256,2862800
1999-05-20,32.610257,32.610257,31.417199,31.489506,2676800
1999-05-21,31.381052,31.453358,30.404913,30.694139,2323200
1999-05-24,30.838746,31.236432,30.187987,30.224140,2139400
1999-05-25,30.260287,30.296440,29.356455,29.392609,2540200
1999-05-26,29.501073,30.115678,29.428766,30.079525,2633200
1999-05-27,29.790292,30.404897,29.573372,30.260284,2772700
1999-05-28,30.260299,30.802598,30.187992,30.585678,1500200
1999-06-01,30.441051,31.489496,30.368745,31.344883,1975800
1999-06-02,31.344891,31.381045,30.657979,31.127972,3904600
1999-06-03,31.127984,31.959510,31.055678,31.887203,2184900
1999-06-04,32.393353,32.465660,31.851054,32.176434,1335600
1999-06-07,32.140262,32.465641,31.453350,32.357182,1627200
1999-06-08,32.212567,32.682559,31.851034,32.501793,1315900
1999-06-09,32.248721,32.863327,32.248721,32.863327,1154300
1999-06-10,32.321029,32.465642,31.453350,31.851036,1655800
