date,open,high,low,close,volume
1999-01-04,9.734747,9.754373,9.361843,9.479602,2419311
1999-01-05,9.420725,9.538484,9.342219,9.381472,2414634
1999-01-06,9.577735,9.715120,9.518855,9.675867,2392051
1999-01-07,9.538482,9.715120,9.440349,9.675867,1840173
1999-01-08,9.656241,9.773999,9.538482,9.675867,1381299
1999-01-11,9.616989,9.636615,9.342217,9.342217,1247806
1999-01-12,9.361847,9.401100,9.204836,9.283341,1221882
1999-01-13,9.047822,9.420726,9.028196,9.420726,1805029
1999-01-14,9.342216,9.479601,9.185204,9.361842,2830480
1999-01-15,9.381473,9.420726,9.224461,9.420726,2306664
1999-01-19,9.342216,9.420722,9.224457,9.361842,1354440
1999-01-20,9.185205,9.420723,9.047819,9.263711,1970459
1999-01-21,9.381469,9.950639,9.381469,9.577735,4770739
1999-01-22,9.656240,10.362794,9.616987,10.205782,3450642
1999-01-25,10.245034,10.519805,10.048770,10.343167,3696648
1999-01-26,10.362793,10.441298,10.245033,10.323540,2615475
1999-01-27,10.343168,10.441300,10.323541,10.382421,2874176
1999-01-28,10.323542,10.402048,10.284288,10.362795,2476770
1999-01-29,10.362795,10.362795,10.205782,10.362795,1486730
1999-02-01,10.343167,10.343167,10.088022,10.264660,1414839
1999-02-02,10.225408,10.343167,10.205781,10.343167,1692649
1999-02-03,10.343166,10.755323,10.323540,10.676816,2751106
1999-02-04,10.696447,10.990844,10.617940,10.971217,3785510
1999-02-05,10.931966,10.971219,10.794580,10.794580,3064861
1999-02-08,10.873086,11.658146,10.873086,11.324495,5786168
1999-02-09,11.383373,11.442253,10.951590,11.030096,2820057
1999-02-10,10.990843,11.285241,10.951590,11.167482,1633586
1999-02-11,11.069347,11.285239,11.069347,11.206733,3429662
1999-02-12,11.206734,11.304867,11.088975,11.147855,1052176
1999-02-16,11.069346,11.245985,10.833828,10.853455,1706680
1999-02-17,10.853452,10.912332,10.774947,10.814199,1723650
1999-02-18,10.814203,10.814203,10.480553,10.617938,1920349
1999-02-19,10.598317,10.716077,10.362799,10.598317,1838569
1999-02-22,10.657193,11.226362,10.598313,11.187109,2277667
1999-02-23,11.226360,11.285239,10.774950,10.912335,1643742
1999-02-24,11.069344,11.324488,11.010464,11.304862,2001728
1999-02-25,11.226361,11.422626,11.167482,11.363747,2076558
1999-02-26,11.442249,11.638514,11.402996,11.618888,3225481
1999-03-01,11.618892,11.618892,11.128229,11.167482,2474499
1999-03-02,11.147859,11.147859,10.480557,10.559063,2693780
1999-03-03,10.559061,10.735700,10.519808,10.696447,1746501
1999-03-04,10.735696,10.794576,10.598310,10.676816,1571182
1999-03-05,10.833833,10.873086,10.676820,10.696447,1740487
1999-03-08,10.774949,10.814202,10.676816,10.676816,773030
1999-03-09,10.716072,10.971216,10.598313,10.637566,1496485
1999-03-10,10.625733,11.631137,10.625733,11.453712,2856270
1999-03-11,11.611424,11.709992,11.256575,11.433999,2202969
1999-03-12,11.591710,11.631138,11.079151,11.256576,1614611
1999-03-15,11.512857,11.571999,11.177723,11.236864,2007741
1999-03-16,11.512853,11.709992,11.453712,11.690278,2988293
1999-03-17,11.828283,12.537980,11.828283,12.459125,5671918
1999-03-18,12.301408,12.636543,12.163412,12.597116,2923484
1999-03-19,12.301406,12.459116,12.104268,12.439403,2636855
