date,open,high,low,close,volume
1999-01-04,2.020739,2.186621,1.990578,2.001889,1568489
1999-01-05,2.050900,2.103680,2.013200,2.058440,1017183
1999-01-06,2.050901,2.096141,2.020740,2.062211,811013
1999-01-07,2.065979,2.065979,1.945338,1.952878,634458
1999-01-08,1.930258,2.005658,1.930258,1.952878,472711
1999-01-11,1.975499,1.975499,1.930259,1.934029,646988
1999-01-12,1.937798,1.990578,1.922718,1.922718,621928
1999-01-13,1.915178,1.945338,1.881247,1.922718,831516
1999-01-14,1.892557,1.975498,1.839777,1.839777,1544569
1999-01-15,1.915178,1.915178,1.824697,1.869937,632180
1999-01-19,1.839779,1.900100,1.839779,1.900100,564975
1999-01-20,1.862398,1.915179,1.756837,1.786998,2097014
1999-01-21,1.779457,1.809617,1.696516,1.711596,988706
1999-01-22,1.749296,1.749296,1.696516,1.730446,719888
1999-01-25,1.719137,1.824697,1.719137,1.794537,1103752
1999-01-26,1.779457,1.809617,1.734216,1.734216,505744
1999-01-27,1.734216,1.734216,1.688976,1.688976,572948
1999-01-28,1.688976,1.696516,1.598495,1.628655,1962605
1999-01-29,1.643736,1.651276,1.568335,1.568335,2819180
1999-02-01,1.568335,1.590956,1.508015,1.515555,3192792
1999-02-02,1.508013,1.560794,1.500473,1.553254,3352261
1999-02-03,1.538175,1.575876,1.538175,1.575876,1779216
1999-02-04,1.538174,1.590955,1.523094,1.534404,1238161
1999-02-05,1.545715,1.553255,1.508015,1.515555,1029713
1999-02-08,1.523094,1.530635,1.485394,1.500474,4512966
1999-02-09,1.504245,1.553255,1.485395,1.515555,1360041
1999-02-10,1.500475,1.545715,1.500475,1.530635,2160802
1999-02-11,1.534405,1.583415,1.534405,1.583415,12938611
1999-02-12,1.590956,1.590956,1.545715,1.568335,912389
1999-02-16,1.560795,1.598495,1.560795,1.594725,2136881
1999-02-17,1.568335,1.613575,1.568335,1.594725,1762130
1999-02-18,1.609806,1.688977,1.590956,1.643736,695967
1999-02-19,1.643735,1.673896,1.643735,1.655045,896442
1999-02-22,1.658816,1.711596,1.655045,1.681436,1215380
1999-02-23,1.688976,1.688976,1.643735,1.658816,1352067
1999-02-24,1.664471,1.673896,1.636195,1.658816,3372764
1999-02-25,1.655046,1.662586,1.643735,1.647506,3002569
1999-02-26,1.643736,1.756837,1.613575,1.726677,1516092
1999-03-01,1.719137,1.741756,1.700286,1.704056,885052
1999-03-02,1.722907,1.722907,1.696516,1.704056,773423
1999-03-03,1.711597,1.715367,1.658816,1.673896,1661892
1999-03-04,1.677666,1.681436,1.606035,1.636195,3197348
1999-03-05,1.628655,1.658816,1.553255,1.639965,1356623
1999-03-08,1.651275,1.658815,1.598495,1.606035,1635694
1999-03-09,1.628656,1.628656,1.523095,1.568335,1422689
1999-03-10,1.575876,1.579646,1.470315,1.530635,1729097
1999-03-11,1.538175,1.568335,1.508014,1.545715,650405
1999-03-12,1.538174,1.575875,1.534404,1.560795,482963
1999-03-15,1.545715,1.655046,1.545715,1.651276,539916
