date,open,high,low,close,volume
1999-01-04,8.521437,8.531679,8.121995,8.173205,683600
1999-01-05,8.142476,8.408771,8.142476,8.244897,595100
1999-01-06,8.244897,8.347319,8.214171,8.316592,457900
1999-01-07,8.275624,8.449740,8.275624,8.347319,406900
1999-01-08,8.388286,9.094991,8.357559,9.074507,862500
1999-01-11,9.023296,9.217896,8.931117,9.074507,1372500
1999-01-12,9.033540,9.207656,8.920877,8.920877,1148700
1999-01-13,8.716032,8.828695,8.480464,8.828695,1024600
1999-01-14,8.818458,8.910637,8.685310,8.685310,1262800
1999-01-15,8.849181,9.453466,8.828697,9.238381,1105700
1999-01-19,9.248628,9.248628,8.859428,9.094996,706200
1999-01-20,9.094992,9.443223,9.054023,9.176929,1209600
1999-01-21,9.176933,9.453470,9.176933,9.351048,1228800
1999-01-22,9.258869,9.258869,8.685310,8.685310,832300
1999-01-25,8.828700,9.054027,8.808216,8.951606,636400
1999-01-26,8.890150,9.105235,8.797971,8.900393,532300
1999-01-27,8.997384,9.079929,8.574342,8.574342,570100
1999-01-28,8.615606,8.811650,8.522743,8.656878,445400
1999-01-29,8.625932,9.059293,8.625932,8.935475,537300
1999-02-01,8.956111,9.100564,8.821975,8.863248,488000
1999-02-02,8.677521,9.193426,8.677521,9.193426,682400
1999-02-03,9.162474,9.234701,8.770387,8.873568,597900
1999-02-04,8.904521,9.234700,8.749749,9.038656,809500
1999-02-05,9.121206,9.410113,9.110888,9.265659,879300
1999-02-08,9.265657,9.616472,9.090249,9.100567,692900
1999-02-09,9.028336,9.162471,8.987063,9.018018,399700
1999-02-10,8.976745,9.059290,8.687838,8.729111,373900
1999-02-11,8.698160,8.698160,8.564024,8.646569,532100
1999-02-12,8.708478,8.821977,8.687842,8.749750,512200
1999-02-16,8.914837,9.007700,8.698157,8.739429,291200
1999-02-17,8.780704,8.904521,8.625932,8.667205,231800
1999-02-18,8.687840,8.914838,8.667204,8.863248,622100
1999-02-19,8.863249,9.069611,8.770386,9.038656,643500
1999-02-22,9.038658,9.399792,8.997386,9.399792,842400
1999-02-23,9.337881,9.337881,8.904520,8.925157,789000
1999-02-24,8.966427,9.141835,8.894200,8.894200,818100
1999-02-25,8.925158,9.007702,8.873567,8.956112,253300
1999-02-26,9.048977,9.245021,9.018023,9.203749,331300
1999-03-01,9.131520,9.379154,9.028339,9.214065,570300
1999-03-02,9.203744,9.203744,9.007700,9.018018,306000
1999-03-03,9.018019,9.079927,8.842611,8.945792,226600
1999-03-04,8.997383,9.110882,8.739430,8.780703,547200
1999-03-05,8.832295,8.987066,8.801340,8.956112,443000
1999-03-08,8.904517,8.904517,8.615611,8.698155,514300
1999-03-09,8.749751,8.956113,8.749751,8.914841,547000
1999-03-10,8.904522,9.234701,8.894203,9.214065,410500
1999-03-11,9.203746,9.203746,8.945794,8.956112,646400
1999-03-12,9.048975,9.482335,9.028339,9.451381,1177500
1999-03-15,9.451382,9.781562,9.451382,9.626790,987900
1999-03-16,9.616472,9.781562,9.492655,9.575200,1144400
1999-03-17,9.575196,9.926012,9.575196,9.843467,1318000
1999-03-18,9.833151,10.235557,9.760925,9.946651,1527100
1999-03-19,9.905379,9.946651,9.585518,9.853788,1013200
1999-03-22,9.895060,10.029195,9.843469,9.884742,532400
1999-03-23,9.895063,9.926017,9.575202,9.616474,360000
1999-03-24,9.616471,9.616471,9.441064,9.513290,237400
1999-03-25,9.544239,9.575193,9.265650,9.554557,705300
1999-03-26,9.554559,9.554559,9.245017,9.296607,314400
1999-03-29,9.389472,9.637107,9.379154,9.482335,554300
1999-03-30,9.079927,9.379151,9.069608,9.245016,510300
1999-03-31,9.183111,9.430745,9.018021,9.162475,612900
1999-04-01,9.172788,9.533921,9.172788,9.533921,332100
1999-04-05,9.533926,9.647425,9.420426,9.482335,432300
1999-04-06,9.451378,9.451378,9.203744,9.234698,433300
1999-04-07,9.255336,9.430743,9.183109,9.430743,387500
1999-04-08,9.430740,9.616466,9.358514,9.533921,448000
1999-04-09,9.575195,9.895056,9.544240,9.864101,490300
1999-04-12,10.039508,10.256188,9.956964,10.256188,1075100
1999-04-13,10.359374,10.637962,10.307783,10.637962,1742900
1999-04-14,10.937186,11.205456,10.627643,10.627643,2373100
1999-04-15,10.627640,11.349906,10.586367,10.968137,3111500
1999-04-16,10.916550,11.184821,10.864960,10.895914,1569600
1999-04-19,10.957826,11.504686,10.854645,10.906236,1809800
1999-04-20,10.895910,11.184817,10.741138,11.112590,1317600
1999-04-21,11.122913,11.226094,10.741143,10.741143,1158300
1999-04-22,10.803048,11.153864,10.617323,11.091955,745900
1999-04-23,10.988778,11.184822,10.968142,10.999096,690300
1999-04-26,10.999092,11.174500,10.916547,11.164182,447100
1999-04-27,11.195137,11.277682,11.009411,11.257046,705600
1999-04-28,11.246728,11.556271,11.226092,11.473726,894400
1999-04-29,11.391186,11.422140,11.143551,11.391186,991500
1999-04-30,11.401506,11.453096,11.081644,11.102281,944300
1999-05-03,11.071320,11.762632,11.071320,11.762632,882100
1999-05-04,11.762635,11.948361,11.184821,11.277684,1001700
1999-05-05,11.396001,11.582821,11.146908,11.344107,942900
1999-05-06,11.240317,11.696988,11.219559,11.582820,859500
1999-05-07,11.582828,11.997983,11.541312,11.977225,1166500
1999-05-10,12.143281,12.278206,11.873430,11.914946,1211300
1999-05-11,11.904566,12.070628,11.499790,11.499790,672600
1999-05-12,11.416760,11.728126,11.261077,11.375244,532500
1999-05-13,11.385625,11.427141,11.074259,11.074259,657400
1999-05-14,11.063880,11.572445,10.960091,11.416761,668700
1999-05-17,11.676225,11.728119,11.250691,11.250691,978800
1999-05-18,11.167668,11.209184,10.877060,10.939333,469300
1999-05-19,10.773273,11.178049,10.731758,11.136534,745100
1999-05-20,11.209184,11.634718,11.209184,11.416761,913000
1999-05-21,11.281836,11.396003,11.095016,11.261078,402900
1999-05-24,11.261070,11.530921,11.250691,11.250691,575100
1999-05-25,11.385626,11.790402,10.897819,10.897819,877900
1999-05-26,10.897820,11.115777,10.835547,10.970472,783000
1999-05-27,10.845921,10.866679,10.306220,10.378872,955700
1999-05-28,10.461904,10.482662,10.140159,10.306221,463500
1999-06-01,10.264707,11.178048,10.264707,11.115775,1117000
1999-06-02,11.126154,11.157291,10.949713,11.115775,688800
1999-06-03,11.074263,11.126157,10.856306,11.043126,887300
1999-06-04,11.001605,11.188425,10.887438,11.188425,392200
1999-06-07,11.115773,11.240319,11.084636,11.188425,272100
1999-06-08,11.188427,11.572445,11.146912,11.437520,542600
1999-06-09,11.396008,11.613964,11.396008,11.551691,742200
1999-06-10,11.541308,11.769643,11.396004,11.696991,513900
1999-06-11,11.686607,11.696986,11.307778,11.489408,735700
1999-06-14,11.562065,11.748884,11.510170,11.686611,394200
1999-06-15,11.717744,12.060247,11.665850,11.863049,524100
1999-06-16,11.863053,11.863053,11.510171,11.780022,636400
1999-06-17,11.603580,11.624338,11.354487,11.447897,587000
1999-06-18,11.489410,11.863049,11.489410,11.582820,915500
1999-06-21,11.499789,11.499789,10.794026,11.146908,2826500
1999-06-22,11.157291,11.157291,10.845925,10.960093,2265100
1999-06-23,11.022366,11.084639,10.856304,10.960093,1913300
1999-06-24,10.949709,10.949709,10.534554,10.690237,1178400
1999-06-25,10.731750,10.877055,10.679856,10.742129,816300
1999-06-28,10.783647,10.991225,10.742132,10.835542,1084100
1999-06-29,10.835542,11.229939,10.752511,11.229939,2890900
1999-06-30,11.209184,11.416761,11.032743,11.416761,2304200
1999-07-01,11.354493,11.354493,11.043127,11.084642,554800
1999-07-02,11.126156,11.385628,11.095019,11.364870,882000
1999-07-06,11.364870,11.364870,10.939336,10.970472,739400
1999-07-07,10.960090,11.032742,10.845922,10.980847,550300
1999-07-08,10.877058,10.949711,10.752512,10.762891,567500
