date,open,high,low,close,volume
1999-01-04,6.251281,6.322861,6.028589,6.124029,3449124
1999-01-05,6.171748,6.267188,6.171748,6.243328,2549981
1999-01-06,6.235377,6.362630,6.227424,6.338770,2723022
1999-01-07,6.291048,6.322861,6.243329,6.306955,1275825
1999-01-08,6.243329,6.322861,6.179702,6.322861,1097777
1999-01-11,6.306952,6.489878,6.306952,6.489878,3936530
1999-01-12,6.426252,6.450112,6.291046,6.346719,2175524
1999-01-13,6.187654,6.410346,6.163794,6.410346,3274414
1999-01-14,6.314906,6.342742,6.108121,6.108121,2928890
1999-01-15,6.139931,6.203557,6.076305,6.203557,2346339
1999-01-19,6.203561,6.235375,6.147889,6.171749,3631623
1999-01-20,6.187656,6.227422,6.044497,6.076310,3321708
1999-01-21,6.060401,6.060401,5.893382,5.933148,6986715
1999-01-22,5.853616,5.893382,5.797943,5.853616,3637187
1999-01-25,5.821803,5.885428,5.726363,5.885428,1972438
1999-01-26,5.853616,6.108121,5.853616,6.108121,4823988
1999-01-27,6.147889,6.203561,6.116075,6.163795,2529394
1999-01-28,6.131982,6.251281,6.092215,6.227421,1814977
1999-01-29,6.195608,6.203561,6.052449,6.052449,1521754
1999-02-01,5.980868,5.988821,5.885428,5.885428,1533438
1999-02-02,5.885429,6.092214,5.885429,5.972915,2009717
1999-02-03,5.957009,6.283094,5.949056,6.283094,4376086
1999-02-04,6.283098,6.306957,6.163798,6.187658,4647609
1999-02-05,6.163796,6.235375,6.116076,6.235375,3045734
1999-02-08,6.219470,6.458068,6.203562,6.458068,1372639
1999-02-09,6.505789,6.553509,6.473977,6.513742,4208610
1999-02-10,6.537599,6.935263,6.529646,6.839824,6993392
1999-02-11,7.476087,7.507900,7.301114,7.476087,12040496
1999-02-12,7.253395,7.309068,7.142049,7.253395,4038351
1999-02-16,7.380647,7.484040,7.364740,7.476087,3742346
1999-02-17,7.460180,7.619246,7.428367,7.507900,4822875
1999-02-18,7.476090,7.491996,7.277257,7.340884,3205977
1999-02-19,7.348831,7.523803,7.348831,7.404504,7136386
1999-02-22,7.507901,7.635154,7.491994,7.635154,9132750
1999-02-23,7.635155,7.698781,7.603341,7.643108,2405317
1999-02-24,7.651059,8.072582,7.643105,8.032816,4989239
1999-02-25,8.016914,8.016914,7.818082,7.873755,4804514
1999-02-26,7.841937,7.953283,7.826030,7.905563,3216548
1999-03-01,7.826030,7.921469,7.698778,7.905563,3356761
1999-03-02,7.873751,8.088490,7.865797,8.016910,4204715
1999-03-03,8.271417,8.271417,7.889659,7.921472,3894244
1999-03-04,7.929426,8.064632,7.929426,8.048725,4442854
1999-03-05,8.287319,8.335038,8.223692,8.327085,6852622
1999-03-08,8.342996,8.462296,8.279370,8.454343,3101930
1999-03-09,8.319134,8.406620,8.287320,8.366853,3289993
1999-03-10,8.335040,8.342993,8.128255,8.175975,2457619
1999-03-11,8.207789,8.382762,8.207789,8.287322,4889643
1999-03-12,8.239604,8.239604,8.001006,8.120304,3130306
1999-03-15,8.048726,8.056679,7.897613,7.937380,2688525
1999-03-16,8.128256,8.295276,8.056677,8.096443,2960048
1999-03-17,8.096443,8.430481,8.096443,8.398667,2279571
1999-03-18,8.589543,8.788375,8.462290,8.780421,3952666
1999-03-19,8.907676,9.003115,8.812237,8.844049,4668752
1999-03-22,8.780422,8.915628,8.732702,8.883815,1433843
1999-03-23,8.828142,8.828142,8.525918,8.605451,3251602
1999-03-24,8.414578,8.462297,8.366858,8.430485,2829294
1999-03-25,8.454342,8.605455,8.430483,8.557734,4601984
1999-03-26,8.557736,8.669082,8.494110,8.645223,2287360
1999-03-29,8.772470,8.907676,8.708844,8.844049,3059087
1999-03-30,8.963354,9.241719,8.812241,8.836102,4231978
1999-03-31,8.907682,8.971308,8.812243,8.939495,3075223
1999-04-01,9.257621,9.400780,9.106509,9.353061,6536031
1999-04-05,9.384875,9.400781,9.098556,9.193995,2475424
1999-04-06,9.193997,9.289437,9.162184,9.201950,2223374
1999-04-07,9.193998,9.241718,9.034933,9.090606,1337586
1999-04-08,9.090604,9.162184,8.764519,9.066745,2267886
1999-04-09,9.034930,9.098556,8.995164,9.026977,1120590
1999-04-12,9.026972,9.225805,8.979253,9.162179,1899550
1999-04-13,9.082650,9.217856,9.074697,9.146276,2099854
1999-04-14,9.130371,9.186043,9.042885,9.050838,1757111
1999-04-15,9.066746,9.114466,8.653175,8.891773,2409768
1999-04-16,8.907675,8.955395,8.573637,8.605451,1779924
1999-04-19,8.430480,8.589545,8.199835,8.382760,3639969
1999-04-20,8.430483,8.597501,8.390715,8.573641,1989686
1999-04-21,8.573639,8.875864,8.549779,8.875864,2201118
1999-04-22,9.003121,9.003121,8.828149,8.939495,1946844
1999-04-23,8.844051,8.907677,8.748612,8.796331,1441076
1999-04-26,8.772473,8.772473,8.486154,8.541827,3520343
1999-04-27,8.398667,8.844051,8.303228,8.796331,5904517
1999-04-28,8.605453,8.764518,8.374807,8.398667,16973538
1999-04-29,8.430480,8.430480,7.507898,8.271414,24611241
1999-04-30,8.335049,8.366862,8.088497,8.191890,7079077
1999-05-03,8.191883,8.382762,8.191883,8.287322,4555803
1999-05-04,8.279368,8.335041,8.032816,8.080536,3351754
1999-05-05,8.064632,8.080539,8.016912,8.048725,2440370
1999-05-06,8.016907,8.104394,7.889655,7.969188,4224189
1999-05-07,7.953285,7.961238,7.770359,7.826032,5377606
1999-05-10,7.833985,7.889658,7.714686,7.889658,2633998
1999-05-11,7.643106,7.841938,7.619246,7.778312,4389440
1999-05-12,7.841940,8.048724,7.770360,7.913518,7815194
1999-05-13,7.985097,8.001004,7.762405,7.857845,3716196
1999-05-14,7.690824,7.770358,7.651059,7.666965,2638449
1999-05-17,7.666966,7.666966,7.444274,7.476087,2835971
1999-05-18,7.444275,7.555621,7.380649,7.444275,1920136
1999-05-19,7.491995,7.539715,7.428369,7.539715,1905670
1999-05-20,7.460184,7.531763,7.173865,7.269305,5351455
1999-05-21,7.317023,7.571527,7.301116,7.499948,3294444
1999-05-24,7.523807,7.563574,7.205675,7.253395,2410325
1999-05-25,7.189769,7.229535,6.815965,6.855731,4704362
1999-05-26,6.935264,6.967077,6.768245,6.967077,5760409
1999-05-27,6.887546,7.046611,6.871639,7.046611,3501982
1999-05-28,7.030702,7.428366,7.022749,7.412459,2509920
1999-06-01,7.380649,7.380649,7.253396,7.348836,1999145
1999-06-02,7.317022,7.364741,7.150002,7.253395,1960754
1999-06-03,6.680759,6.887543,6.672805,6.712572,22402333
1999-06-04,6.696662,6.839821,6.696662,6.776194,6143212
1999-06-07,6.839824,6.935263,6.792105,6.839824,4702693
1999-06-08,6.871634,6.951167,6.656896,6.672802,2731368
1999-06-09,6.617131,6.648945,6.314907,6.418300,5552872
1999-06-10,6.394440,6.680759,6.378534,6.569413,9447116
1999-06-11,6.505785,6.625085,6.322860,6.394439,5706438
1999-06-14,6.394438,6.473972,6.259233,6.330812,3659443
1999-06-15,6.346720,6.394439,6.275140,6.362627,4462884
1999-06-16,6.362628,6.466021,6.354675,6.450114,5537293
1999-06-17,6.426252,6.545551,6.402392,6.521691,4235317
1999-06-18,6.521694,6.521694,6.434208,6.458068,2930559
1999-06-21,6.450109,6.458062,6.076305,6.203557,6488180
1999-06-22,6.203562,6.283095,6.092216,6.275142,7727840
1999-06-23,6.299000,6.330814,6.163795,6.163795,4131270
1999-06-24,6.211515,6.330814,6.187655,6.314908,3485846
1999-06-25,6.314906,6.410345,6.298999,6.330812,3069659
1999-06-28,6.330815,6.585321,6.330815,6.585321,3467485
1999-06-29,6.569412,6.998890,6.545552,6.911404,4371078
1999-06-30,6.903452,7.022751,6.704619,6.887545,3813009
1999-07-01,6.712573,6.871639,6.609180,6.871639,5040428
1999-07-02,6.744385,6.990937,6.744385,6.967077,3007898
1999-07-06,6.935265,6.990939,6.879593,6.951172,3737339
1999-07-07,6.792107,6.982985,6.792107,6.951172,3144773
1999-07-08,6.887542,6.959121,6.871635,6.903449,2097072
1999-07-09,6.903451,6.990937,6.903451,6.967077,2621757
1999-07-12,6.967077,6.982983,6.847777,6.855731,1817759
1999-07-13,6.871635,6.903449,6.744383,6.903449,2491003
1999-07-14,6.839823,6.871636,6.784150,6.792104,1797172
1999-07-15,6.808013,7.173863,6.808013,7.173863,4164654
1999-07-16,7.173864,7.348836,7.070471,7.142051,3693383
1999-07-19,7.126144,7.126144,6.887545,6.887545,5055450
1999-07-20,6.839825,6.855732,6.712573,6.736432,3242143
1999-07-21,5.964963,6.187655,5.949057,6.044496,26401736
1999-07-22,6.012682,6.036542,5.654783,5.853616,11575346
1999-07-23,5.813853,5.821806,5.495721,5.535487,4783371
1999-07-26,5.583205,5.742272,5.551392,5.694551,4447862
1999-07-27,5.686598,5.774084,5.527533,5.527533,4968096
1999-07-28,5.503674,5.511627,5.280982,5.312795,6265620
1999-07-29,5.217356,5.288936,5.121917,5.225309,5999661
1999-07-30,5.225307,5.368466,5.121914,5.177588,6551610
1999-08-02,5.217354,5.304841,5.217354,5.217354,3246594
1999-08-03,5.280981,5.344607,5.233261,5.280981,3011237
1999-08-04,5.257119,5.296886,4.946941,4.962848,6664559
1999-08-05,5.026474,5.034427,4.692436,4.724249,6356314
1999-08-06,4.676531,4.835597,4.660625,4.835597,4617007
1999-08-09,4.843549,4.843549,4.644717,4.684483,4846800
1999-08-10,4.596997,4.628810,4.453838,4.549277,15476266
1999-08-11,4.589045,4.875363,4.589045,4.835597,8054446
1999-08-12,4.994661,5.082148,4.946942,5.026474,8675945
1999-08-13,5.042382,5.201448,5.042382,5.121914,5241844
1999-08-16,5.090101,5.153727,4.915128,5.113960,6105377
1999-08-17,5.090103,5.344608,4.923084,5.312795,31112219
1999-08-18,5.233262,5.662740,5.145776,5.535487,9302452
1999-08-19,5.424139,5.519580,5.408234,5.479813,5670829
1999-08-20,5.471858,5.599111,5.459928,5.599111,6055301
1999-08-23,5.535485,5.654784,5.519579,5.654784,4724392
1999-08-24,5.567300,5.583206,5.392328,5.392328,6465368
1999-08-25,5.360513,5.368466,5.129867,5.177588,10811408
1999-08-26,5.209401,5.511626,5.193495,5.511626,6946654
1999-08-27,5.471859,5.702504,5.440046,5.646831,4875177
1999-08-30,5.646834,5.662740,5.241216,5.241216,4314326
1999-08-31,5.265074,5.392327,5.161681,5.169635,7808518
1999-09-01,5.169635,5.288934,5.161682,5.257121,2587816
1999-09-02,5.257121,5.257121,5.098056,5.137822,3574870
1999-09-03,5.249168,5.400281,5.233261,5.288935,1588522
1999-09-07,5.280982,5.288935,5.169636,5.209402,3726211
1999-09-08,5.153728,5.201448,5.074195,5.129868,5036533
1999-09-09,5.137822,5.233261,5.129868,5.129868,4357168
1999-09-10,5.233261,5.344606,5.169635,5.265074,3326716
1999-09-13,5.265075,5.336655,5.265075,5.312795,4070066
1999-09-14,5.312793,5.368466,5.265073,5.304840,3271076
1999-09-15,5.344607,5.400281,5.328701,5.376421,3675022
1999-09-16,5.344607,5.344607,5.129868,5.169635,2998440
1999-09-17,5.169636,5.265075,5.169636,5.249168,2539410
1999-09-20,5.265073,5.280980,5.137821,5.177588,3165916
1999-09-21,5.145775,5.249167,5.098055,5.169635,4586405
1999-09-22,5.090102,5.090102,4.668578,4.803783,21355188
1999-09-23,4.923083,5.630926,4.756064,4.851504,18209303
1999-09-24,5.567300,5.567300,5.265075,5.312795,4247558
1999-09-27,5.352560,5.583205,5.352560,5.511626,6828141
1999-09-28,5.527534,5.543440,5.265075,5.312795,4272596
1999-09-29,5.328699,5.432092,5.296887,5.304840,3018470
1999-09-30,5.304842,5.312795,5.177589,5.209402,3424642
1999-10-01,5.217354,5.392326,5.217354,5.304840,4009975
1999-10-04,5.336652,5.463905,5.320745,5.432092,2114876
1999-10-05,5.432094,5.455954,5.312795,5.392328,4188579
1999-10-06,5.392328,5.392328,5.265076,5.344608,2253420
1999-10-07,5.312794,5.320746,5.205424,5.265074,1377646
1999-10-08,5.233262,5.344608,5.177590,5.344608,3165916
1999-10-11,5.336654,5.360514,5.265075,5.352561,1033235
1999-10-12,5.344607,5.424140,5.304842,5.320747,1638042
1999-10-13,5.344607,5.408234,4.907176,4.954896,10638368
1999-10-14,4.954897,5.106009,4.931037,5.002616,5582361
1999-10-15,4.946941,4.978755,4.915128,4.962848,4802288
1999-10-18,4.938990,5.018522,4.907176,4.970803,3735113
1999-10-19,4.970802,5.002615,4.954896,4.994661,2964499
1999-10-20,4.986711,5.026476,4.958873,5.018523,1412700
1999-10-21,4.986709,5.137822,4.978756,5.098055,1537333
1999-10-22,5.090103,5.185542,5.002616,5.002616,2225600
1999-10-25,4.962848,4.986708,4.938988,4.962848,3578208
1999-10-26,4.946941,4.962847,4.907174,4.907174,9102704
1999-10-27,4.907177,5.074197,4.907177,5.010570,3056862
1999-10-28,5.010570,5.145776,5.010570,5.090104,4002185
1999-10-29,5.042381,5.185540,5.042381,5.113960,3458026
1999-11-01,5.113962,5.249168,5.113962,5.161682,2393076
1999-11-02,5.161684,5.185544,5.074198,5.082151,2942800
1999-11-03,5.090101,5.090101,4.962849,4.994661,2334098
1999-11-04,4.970802,5.090101,4.954896,4.994661,8857332
1999-11-05,5.018523,5.153729,5.018523,5.145775,2512702
1999-11-08,5.082149,5.185542,5.074196,5.161682,2894949
1999-11-09,5.169633,5.296885,5.058287,5.296885,3384581
1999-11-10,5.400281,5.607066,5.352561,5.543439,5797688
1999-11-11,5.535485,5.726364,5.535485,5.622972,5671385
1999-11-12,5.622971,5.630924,5.368466,5.487765,4002742
1999-11-15,5.615019,5.885430,5.607065,5.742271,8713780
1999-11-16,5.646830,5.646830,5.416186,5.440045,10006854
1999-11-17,5.360513,5.455953,5.249167,5.384373,3337287
1999-11-18,5.392326,5.503672,5.352559,5.487765,2567786
1999-11-19,5.471860,5.471860,5.400281,5.408234,3705624
1999-11-22,5.400281,5.408234,5.312795,5.320747,3202082
1999-11-23,5.296890,5.304843,5.217357,5.233263,4031118
1999-11-24,5.209403,5.209403,5.058291,5.106010,2425348
1999-11-26,5.121913,5.137820,5.098054,5.113960,540821
1999-11-29,5.098054,5.177587,5.098054,5.153727,3538148
1999-11-30,5.098056,5.312794,5.098056,5.280981,3404612
1999-12-01,5.257120,5.265073,5.161681,5.177588,2067582
1999-12-02,5.185541,5.201448,5.113961,5.121914,1536220
1999-12-03,5.137823,5.265075,5.090104,5.090104,2520492
1999-12-06,5.090102,5.137822,5.042382,5.098055,2333542
1999-12-07,5.098055,5.169634,5.090102,5.121914,2554989
1999-12-08,5.106007,5.185540,5.106007,5.153727,2083718
1999-12-09,5.121915,5.209401,5.113962,5.169635,2759188
1999-12-10,5.106010,5.185544,5.050338,5.106010,3066320
1999-12-13,4.994662,4.994662,4.938990,4.970803,16201255
1999-12-14,4.946946,5.074199,4.931040,5.066246,8155155
1999-12-15,5.042381,5.074195,5.002614,5.026474,2755293
1999-12-16,5.026477,5.034430,4.946944,4.946944,7933708
1999-12-17,4.946944,5.034430,4.883318,5.018523,12805546
1999-12-20,4.994664,5.002617,4.915131,4.946944,1944618
1999-12-21,4.923083,4.931036,4.779923,4.795830,2771428
1999-12-22,4.795830,4.954896,4.787876,4.915129,2578358
1999-12-23,4.915128,4.923081,4.819689,4.827642,1729848
1999-12-27,4.827643,4.915129,4.787876,4.915129,2412550
1999-12-28,4.907175,5.034428,4.835596,4.867409,1253013
1999-12-29,4.867410,4.867410,4.803784,4.851504,2414220
1999-12-30,4.819691,4.915130,4.803784,4.891270,2282353
1999-12-31,4.859457,4.954896,4.851503,4.915129,1395451
2000-01-03,4.907177,4.907177,4.716298,4.748111,3033493
2000-01-04,4.708344,4.771971,4.581092,4.652672,3315031
2000-01-05,4.676530,4.700390,4.652671,4.676530,4642602
2000-01-06,4.644718,4.684484,4.628811,4.636765,3947658
2000-01-07,4.636765,4.644718,4.501559,4.533372,6063647
2000-01-10,4.525418,4.771970,4.517465,4.716297,5531172
2000-01-11,4.676530,4.771970,4.620857,4.684483,4224745
2000-01-12,4.708344,4.771971,4.636765,4.636765,9828250
2000-01-13,4.692436,4.827642,4.676529,4.708342,5522826
2000-01-14,4.708341,4.716295,4.557230,4.581089,3188172
2000-01-18,4.517467,4.549280,4.406121,4.445887,7497490
2000-01-19,4.414073,4.422026,4.247054,4.278867,9733662
2000-01-20,4.255006,4.255006,4.032315,4.048221,9039274
2000-01-21,4.048222,4.095942,4.040268,4.056175,7177004
2000-01-24,4.087989,4.119803,3.952783,3.968690,5581248
2000-01-25,3.968689,3.968689,3.769857,3.865296,7281050
2000-01-26,3.865297,3.889157,3.817577,3.825531,4549126
2000-01-27,3.833483,3.889156,3.817576,3.833483,5427682
2000-01-28,3.865297,3.865297,3.658512,3.674418,3942650
2000-01-31,3.722136,3.738043,3.626697,3.642604,2827068
2000-02-01,3.738043,4.103894,3.738043,3.913016,12357088
2000-02-02,3.817577,3.873250,3.586932,3.682371,10261129
2000-02-03,3.730091,3.801671,3.706231,3.777811,4141842
2000-02-04,3.777811,3.793718,3.730091,3.769858,4361063
2000-02-07,3.745997,3.817576,3.690324,3.745997,4228084
2000-02-08,3.745998,3.809625,3.738045,3.801672,4354943
2000-02-09,3.761903,3.944829,3.698278,3.817576,5385952
2000-02-10,3.817573,3.905059,3.427862,3.499441,18960443
2000-02-11,3.451726,3.610791,3.419913,3.555119,7656620
2000-02-14,3.610792,3.610792,3.499445,3.571025,5138910
2000-02-15,3.547166,3.634652,3.443773,3.610792,4789491
2000-02-16,3.594885,3.642604,3.523305,3.555119,1999702
2000-02-17,3.594884,3.809623,3.531258,3.738043,5256311
2000-02-18,3.690324,3.690324,3.555118,3.563072,4312656
2000-02-22,3.586932,3.586932,3.340380,3.435819,4787822
2000-02-23,3.451726,3.499445,3.411959,3.411959,1764344
2000-02-24,3.380146,3.380146,3.284706,3.308566,4273152
2000-02-25,3.308566,3.332427,3.276753,3.292660,3476944
2000-02-28,3.300611,3.388097,3.213126,3.268799,3263842
2000-02-29,3.316518,3.435817,3.308564,3.388097,4105119
2000-03-01,3.380147,3.618745,3.380147,3.586932,5094398
2000-03-02,3.571026,3.578979,3.475587,3.523306,2849881
2000-03-03,3.586932,3.586932,3.308566,3.324473,4783371
2000-03-06,3.388100,3.555119,3.324474,3.523306,3183721
2000-03-07,3.435818,3.459678,3.340379,3.364239,3701173
2000-03-08,3.372193,3.419912,3.308566,3.364239,2719127
2000-03-09,3.396053,3.578979,3.372193,3.555119,3483064
2000-03-10,3.547165,3.594885,3.499445,3.531259,2496010
2000-03-13,3.475582,3.578975,3.467629,3.499441,2596162
2000-03-14,3.507398,3.507398,3.348333,3.372193,4512404
2000-03-15,3.404005,3.690324,3.356286,3.626697,9596231
2000-03-16,3.531257,4.199333,3.507397,4.183426,11756176
2000-03-17,4.183429,4.183429,3.976644,3.976644,7712260
2000-03-20,3.913016,3.976642,3.793717,3.833483,3777956
2000-03-21,3.833482,3.952781,3.833482,3.905062,2805925
