date,open,high,low,close,volume,price_change,label
2018-06-04,7.920000,8.100000,7.830000,7.920000,52900,-0.045455,0
2018-06-05,7.920000,7.920000,7.560000,7.560000,201900,0.000000,0
2018-06-06,7.650000,7.650000,7.560000,7.560000,187800,0.047619,1
2018-06-07,7.560000,7.920000,7.560000,7.920000,144800,-0.045455,0
2018-06-08,7.650000,7.650000,7.470000,7.560000,136900,0.000000,0
2018-06-11,7.560000,7.650000,7.560000,7.560000,60400,-0.011905,0
2018-06-12,7.560000,7.560000,7.380000,7.470000,112600,0.012048,1
2018-06-13,7.470000,7.560000,7.470000,7.560000,33700,-0.047619,0
2018-06-14,7.470000,7.470000,6.840000,7.200000,182100,0.000000,0
2018-06-15,7.290000,7.290000,7.200000,7.200000,95300,0.000000,0
2018-06-18,7.200000,7.200000,6.480000,7.200000,106100,-0.137500,0
2018-06-19,7.020000,7.020000,6.030000,6.210000,166500,0.159420,1
2018-06-20,6.570000,7.290000,6.570000,7.200000,161400,0.000000,0
2018-06-21,7.200000,7.200000,6.840000,7.200000,141300,-0.025000,0
2018-06-22,6.930000,7.290000,6.840000,7.020000,247200,0.038462,1
2018-06-25,7.200000,7.290000,7.020000,7.290000,231700,0.123457,1
2018-06-27,7.470000,8.280000,7.470000,8.190000,295200,-0.010989,0
2018-06-28,8.190000,8.280000,7.830000,8.100000,59600,-0.011111,0
2018-06-29,8.190000,8.190000,7.920000,8.010000,64400,-0.011236,0
2018-07-02,8.010000,8.010000,7.920000,7.920000,30200,-0.011364,0
2018-07-03,7.110000,7.830000,7.110000,7.830000,32300,0.045977,1
2018-07-04,7.560000,8.550000,7.560000,8.190000,139400,-0.065934,0
2018-07-05,8.010000,8.190000,7.110000,7.650000,200300,0.000000,0
2018-07-06,7.470000,7.650000,7.470000,7.650000,90000,0.011765,1
2018-07-09,7.650000,7.740000,7.650000,7.740000,20500,-0.011628,0
2018-07-10,7.380000,7.650000,7.290000,7.650000,69100,-0.023529,0
2018-07-11,7.470000,7.470000,7.290000,7.470000,472100,-0.036145,0
2018-07-12,7.470000,7.470000,7.200000,7.200000,64000,0.025000,1
2018-07-13,7.470000,7.470000,7.380000,7.380000,372000,0.000000,0
2018-07-16,7.380000,7.380000,7.200000,7.380000,187000,-0.036585,0
2018-07-17,7.200000,7.200000,7.020000,7.110000,33900,0.000000,0
2018-07-18,7.380000,7.380000,7.110000,7.110000,27200,0.000000,0
2018-07-19,7.020000,7.110000,6.750000,7.110000,101800,0.101266,1
2018-07-20,7.110000,7.830000,7.110000,7.830000,114400,0.000000,0
2018-07-23,7.830000,8.010000,7.650000,7.830000,500,-0.057471,0
2018-07-25,7.740000,7.740000,7.290000,7.380000,60200,0.036585,1
2018-07-26,7.380000,7.650000,7.380000,7.650000,882600,-0.035294,0
