date,open,high,low,close,volume,price_change,label
2018-06-04,14.260000,15.010000,14.330000,15.010000,5646190,-0.016656,0
2018-06-05,15.010000,15.060000,14.630000,14.760000,6122250,0.030488,1
2018-06-06,14.760000,15.260000,14.630000,15.210000,6063330,0.017751,1
2018-06-07,15.210000,15.610000,15.210000,15.480000,5446810,-0.009690,0
2018-06-08,15.480000,15.510000,15.310000,15.330000,3600330,-0.011089,0
2018-06-11,15.330000,15.430000,15.130000,15.160000,8041000,-0.018470,0
2018-06-12,15.160000,15.510000,14.600000,14.880000,10591380,0.021505,1
2018-06-13,14.880000,15.270000,14.810000,15.200000,3666430,-0.018421,0
2018-06-14,15.200000,15.560000,14.900000,14.920000,6574380,0.009383,1
2018-06-15,14.920000,15.060000,14.640000,15.060000,4820810,-0.065073,0
2018-06-18,15.060000,15.060000,14.080000,14.080000,7388100,-0.046165,0
2018-06-19,14.080000,14.080000,13.130000,13.430000,13163240,0.043187,1
2018-06-20,13.430000,14.010000,13.240000,14.010000,5767930,-0.019272,0
2018-06-21,14.010000,14.010000,13.660000,13.740000,3879280,0.043668,1
2018-06-22,13.740000,14.340000,13.590000,14.340000,7178290,0.013250,1
2018-06-25,14.340000,14.760000,14.370000,14.530000,3464240,-0.048176,0
2018-06-27,14.390000,14.410000,13.830000,13.830000,3374170,-0.016631,0
2018-06-28,13.830000,13.940000,13.520000,13.600000,4260340,-0.011029,0
2018-06-29,13.600000,13.730000,13.290000,13.450000,5171070,0.000000,0
2018-07-02,13.450000,13.480000,12.960000,13.450000,6223040,-0.055019,0
2018-07-03,13.450000,13.590000,12.710000,12.710000,5823250,0.022030,1
2018-07-04,12.710000,13.110000,12.680000,12.990000,3769000,-0.026944,0
2018-07-05,12.990000,13.130000,12.540000,12.640000,4246120,0.019778,1
2018-07-06,12.640000,13.240000,12.330000,12.890000,5279160,-0.030256,0
2018-07-09,12.890000,13.130000,12.400000,12.500000,3847250,-0.005600,0
2018-07-10,12.500000,12.640000,12.430000,12.430000,3023470,-0.030571,0
2018-07-11,12.430000,12.430000,11.840000,12.050000,7028880,-0.019087,0
2018-07-12,12.050000,12.050000,11.630000,11.820000,3327390,0.054992,1
2018-07-13,11.820000,12.480000,11.920000,12.470000,4729750,-0.003208,0
2018-07-16,12.470000,12.690000,12.380000,12.430000,3329260,0.016895,1
2018-07-17,12.430000,12.660000,12.260000,12.640000,3378710,0.030854,1
2018-07-18,12.640000,13.080000,12.640000,13.030000,6330670,0.000000,0
2018-07-19,13.030000,13.220000,12.990000,13.030000,3514150,-0.013814,0
2018-07-20,13.030000,13.030000,12.690000,12.850000,4976130,0.007004,1
2018-07-23,12.850000,13.170000,12.820000,12.940000,5595420,-0.039413,0
2018-07-25,12.400000,12.540000,12.330000,12.430000,5722050,0.028158,1
2018-07-26,12.430000,12.780000,12.400000,12.780000,8216850,0.021909,1
2018-07-27,12.780000,13.080000,12.730000,13.060000,4810640,-0.006891,0
2018-07-30,13.060000,13.240000,12.920000,12.970000,6039970,0.008481,1
2018-07-31,12.970000,13.180000,12.800000,13.080000,5772660,0.006881,1
2018-08-01,13.080000,13.360000,13.060000,13.170000,6858830,-0.009871,0
2018-08-02,13.170000,13.170000,12.780000,13.040000,6073010,-0.025307,0
2018-08-03,13.040000,13.150000,12.710000,12.710000,5949600,-0.003934,0
2018-08-06,12.710000,12.730000,12.470000,12.660000,4646830,0.000000,0
2018-08-07,12.660000,12.660000,12.540000,12.660000,4866190,0.015008,1
2018-08-08,12.660000,12.900000,12.640000,12.850000,3433350,-0.003891,0
2018-08-09,12.850000,13.030000,12.780000,12.800000,4586550,0.012500,1
2018-08-10,12.800000,12.990000,12.760000,12.960000,4206330,0.034722,1
2018-08-13,12.960000,13.430000,12.850000,13.410000,11400140,0.005220,1
2018-08-14,13.410000,13.620000,13.390000,13.480000,5313160,-0.025964,0
2018-08-15,13.480000,13.570000,13.060000,13.130000,4685310,0.000000,0
2018-08-16,13.130000,13.200000,12.940000,13.130000,6993170,0.005331,1
2018-08-17,13.130000,13.380000,13.110000,13.200000,3745240,-0.012121,0
2018-08-20,13.200000,13.200000,13.010000,13.040000,3542590,0.006902,1
2018-08-21,13.040000,13.130000,12.970000,13.130000,3423060,0.013709,1
2018-08-22,13.130000,13.450000,13.110000,13.310000,6056930,0.002254,1
2018-08-23,13.310000,13.430000,13.270000,13.340000,3848180,0.006747,1
