date,open,high,low,close,volume,price_change,label
2018-06-04,18.440000,18.730000,18.440000,18.620000,3477780,0.000000,0
2018-06-05,18.620000,18.940000,18.480000,18.620000,3305270,0.002148,1
2018-06-06,18.620000,18.770000,18.520000,18.660000,3225830,0.043944,1
2018-06-07,18.660000,19.660000,18.660000,19.480000,3267720,-0.009240,0
2018-06-08,19.480000,19.520000,19.050000,19.300000,3451260,-0.009326,0
2018-06-11,19.300000,19.410000,18.840000,19.120000,3608160,0.002092,1
2018-06-12,18.910000,19.160000,18.410000,19.160000,4317610,-0.005741,0
2018-06-13,19.160000,19.160000,18.590000,19.050000,2353360,-0.013123,0
2018-06-14,18.980000,19.020000,18.230000,18.800000,2401870,0.007447,1
2018-06-15,18.770000,18.940000,18.550000,18.940000,4741370,-0.024287,0
2018-06-18,18.940000,18.940000,18.300000,18.480000,2749410,-0.027056,0
2018-06-19,18.410000,18.480000,17.840000,17.980000,2971030,0.002225,1
2018-06-20,17.980000,18.190000,17.730000,18.020000,2565780,-0.004440,0
2018-06-21,17.870000,18.020000,17.770000,17.940000,1932810,0.006132,1
2018-06-22,17.870000,18.050000,17.800000,18.050000,1817010,0.003878,1
2018-06-25,18.050000,18.230000,17.870000,18.120000,1946880,-0.001656,0
2018-06-27,18.050000,18.090000,17.980000,18.090000,1468270,0.001658,1
2018-06-28,18.050000,18.270000,17.980000,18.120000,1620920,0.006071,1
2018-06-29,18.120000,18.230000,18.050000,18.230000,1835890,0.002194,1
2018-07-02,18.230000,18.590000,17.870000,18.270000,1288050,-0.021894,0
2018-07-03,18.190000,18.270000,17.870000,17.870000,1380590,0.002238,1
2018-07-04,17.870000,17.980000,17.820000,17.910000,966360,-0.002233,0
2018-07-05,17.910000,17.940000,17.770000,17.870000,982520,0.040291,1
2018-07-06,17.820000,18.590000,17.780000,18.590000,1490510,-0.017214,0
2018-07-09,18.480000,18.590000,17.910000,18.270000,1226910,-0.012042,0
2018-07-10,18.270000,18.270000,17.940000,18.050000,1027380,0.002216,1
2018-07-11,17.910000,18.590000,17.780000,18.090000,1295810,0.003870,1
2018-07-12,18.090000,18.590000,17.940000,18.160000,920440,0.011564,1
2018-07-13,18.160000,18.440000,18.020000,18.370000,645840,0.008165,1
2018-07-16,18.340000,18.590000,18.300000,18.520000,832810,0.005400,1
2018-07-17,18.770000,18.870000,18.410000,18.620000,995730,0.052095,1
2018-07-18,18.620000,19.660000,18.620000,19.590000,1794360,0.018377,1
2018-07-19,19.700000,19.980000,19.120000,19.950000,482990,-0.007519,0
2018-07-20,19.950000,20.020000,19.800000,19.800000,561090,0.037879,1
2018-07-23,19.730000,20.550000,19.590000,20.550000,645460,0.003406,1
2018-07-25,20.370000,20.700000,20.300000,20.620000,470880,0.041707,1
2018-07-26,20.590000,21.480000,20.410000,21.480000,590450,0.014898,1
2018-07-27,21.480000,21.800000,21.230000,21.800000,576480,-0.006422,0
2018-07-30,21.880000,21.880000,21.270000,21.660000,360170,0.023084,1
2018-07-31,21.590000,22.700000,21.340000,22.160000,932330,0.000000,0
2018-08-01,22.160000,22.160000,21.450000,22.160000,957020,-0.008123,0
2018-08-02,22.520000,22.700000,21.770000,21.980000,701730,0.008189,1
2018-08-03,21.950000,22.160000,21.840000,22.160000,564420,-0.003159,0
2018-08-06,21.980000,22.270000,21.800000,22.090000,532410,0.008148,1
2018-08-07,22.090000,22.410000,21.840000,22.270000,602710,0.009430,1
2018-08-08,22.270000,22.630000,22.270000,22.480000,599650,0.001779,1
2018-08-09,22.480000,22.630000,21.800000,22.520000,655490,0.031528,1
2018-08-10,22.520000,23.230000,22.520000,23.230000,833000,-0.007318,0
2018-08-13,23.340000,23.340000,22.340000,23.060000,704350,0.013877,1
2018-08-14,23.060000,23.380000,22.980000,23.380000,525870,-0.002994,0
2018-08-15,23.450000,23.450000,22.700000,23.310000,703640,0.000000,0
2018-08-16,23.270000,23.310000,23.060000,23.310000,807290,0.004290,1
2018-08-17,23.310000,23.410000,23.200000,23.410000,420270,-0.002990,0
2018-08-20,23.410000,23.410000,22.880000,23.340000,668430,0.000000,0
2018-08-21,23.410000,23.410000,23.270000,23.340000,266610,-0.005998,0
2018-08-22,23.340000,23.410000,22.160000,23.200000,395040,-0.013793,0
2018-08-23,23.130000,23.200000,22.520000,22.880000,687130,0.015297,1
2018-08-24,22.840000,23.230000,22.810000,23.230000,296650,0.001722,1
2018-08-27,23.230000,23.270000,22.910000,23.270000,235500,-0.001719,0
2018-08-28,23.270000,23.410000,22.550000,23.230000,386220,-0.001291,0
2018-08-29,23.200000,23.230000,22.700000,23.200000,235120,0.001293,1
2018-08-30,23.130000,23.230000,22.910000,23.230000,346410,0.000000,0
2018-08-31,23.230000,23.270000,23.060000,23.230000,332000,-0.003013,0
2018-09-04,23.130000,23.230000,22.770000,23.160000,427640,-0.018566,0
2018-09-05,23.090000,23.160000,22.630000,22.730000,705390,0.021997,1
2018-09-06,22.730000,23.230000,22.700000,23.230000,391310,0.001722,1
2018-09-07,23.130000,23.270000,22.590000,23.270000,453810,0.013752,1
2018-09-10,23.130000,23.590000,22.730000,23.590000,462290,0.007630,1
2018-09-11,23.590000,23.770000,22.910000,23.770000,441850,0.018090,1
2018-09-12,23.770000,24.310000,23.770000,24.200000,251290,0.002893,1
2018-09-13,24.200000,24.660000,24.130000,24.270000,274550,-0.001648,0
2018-09-14,24.490000,24.770000,23.950000,24.230000,246590,-0.008667,0
2018-09-17,24.310000,24.310000,23.770000,24.020000,409970,0.001665,1
2018-09-18,23.840000,24.060000,23.730000,24.060000,308790,-0.019534,0
2018-09-19,24.060000,24.090000,23.590000,23.590000,154640,-0.022467,0
2018-09-20,23.590000,23.630000,22.880000,23.060000,248400,-0.069818,0
2018-09-21,23.130000,23.230000,21.450000,21.450000,5031320,0.068065,1
2018-09-24,22.700000,22.910000,22.520000,22.910000,403450,0.015714,1
2018-09-25,22.910000,23.950000,22.910000,23.270000,377310,-0.004727,0
2018-09-26,22.880000,23.310000,22.520000,23.160000,698710,0.026339,1
2018-09-27,23.230000,23.950000,23.060000,23.770000,670940,0.000000,0
2018-09-28,23.770000,23.880000,23.410000,23.770000,924590,-0.025663,0
2018-10-01,23.770000,23.810000,23.060000,23.160000,541970,-0.007772,0
2018-10-02,22.880000,23.160000,22.840000,22.980000,228580,-0.004352,0
2018-10-03,22.880000,23.020000,22.590000,22.880000,247900,0.000000,0
2018-10-04,22.810000,22.880000,22.590000,22.880000,187640,-0.003059,0
2018-10-05,22.880000,22.880000,22.550000,22.810000,220250,-0.004822,0
2018-10-08,22.810000,22.880000,22.520000,22.700000,1031380,0.022026,1
2018-10-09,22.630000,23.230000,22.630000,23.200000,414530,-0.013793,0
2018-10-10,23.270000,23.270000,22.660000,22.880000,1124690,-0.003059,0
2018-10-11,22.880000,23.590000,22.450000,22.810000,467850,0.065761,1
2018-10-12,22.810000,24.380000,22.700000,24.310000,847500,0.026327,1
2018-10-15,24.310000,25.380000,23.810000,24.950000,645190,0.042886,1
2018-10-16,24.950000,26.090000,24.840000,26.020000,1088120,0.008455,1
2018-10-17,26.020000,26.270000,25.380000,26.240000,877860,-0.017912,0
2018-10-18,26.200000,26.200000,25.560000,25.770000,179250,-0.029104,0
2018-10-19,25.910000,25.910000,24.700000,25.020000,935230,0.014388,1
2018-10-22,25.020000,25.410000,25.020000,25.380000,304330,-0.001576,0
2018-10-23,25.380000,25.380000,24.810000,25.340000,454190,0.028414,1
2018-10-24,25.340000,26.270000,25.060000,26.060000,987660,0.021873,1
2018-10-25,26.020000,26.630000,25.380000,26.630000,936470,-0.018776,0
2018-10-26,26.450000,26.700000,25.740000,26.130000,997510,-0.026024,0
2018-10-29,26.130000,26.130000,25.060000,25.450000,185440,-0.014145,0
