date,open,high,low,close,volume,price_change,label
2018-06-04,11.640000,11.790000,11.480000,11.790000,865960,0.001696,1
2018-06-05,11.790000,11.890000,11.750000,11.810000,568110,0.049958,1
2018-06-06,11.810000,12.480000,11.680000,12.400000,2172790,-0.005645,0
2018-06-07,12.370000,12.370000,12.100000,12.330000,517980,-0.009732,0
2018-06-08,12.290000,12.390000,12.080000,12.210000,512690,-0.012285,0
2018-06-11,12.190000,12.230000,12.060000,12.060000,598440,0.000000,0
2018-06-12,12.060000,12.080000,11.750000,12.060000,710460,-0.003317,0
2018-06-13,12.020000,12.160000,11.920000,12.020000,576580,-0.003328,0
2018-06-14,12.020000,12.100000,11.960000,11.980000,777310,0.022538,1
2018-06-15,11.960000,12.250000,11.890000,12.250000,1037730,-0.004898,0
2018-06-18,12.250000,12.290000,12.060000,12.190000,952620,-0.022970,0
2018-06-19,12.140000,12.140000,11.480000,11.910000,646810,0.031906,1
2018-06-20,11.910000,12.290000,11.850000,12.290000,1965720,-0.030919,0
2018-06-21,12.230000,12.230000,11.910000,11.910000,2486600,0.009236,1
2018-06-22,11.890000,12.020000,11.870000,12.020000,639460,0.000000,0
2018-06-25,12.020000,12.100000,11.980000,12.020000,3412800,-0.015807,0
2018-06-27,11.980000,12.040000,11.830000,11.830000,856270,-0.006762,0
2018-06-28,11.790000,11.890000,11.640000,11.750000,613870,0.003404,1
2018-06-29,11.750000,11.850000,11.680000,11.790000,632370,-0.006785,0
2018-07-02,11.790000,11.830000,11.540000,11.710000,534030,-0.068318,0
2018-07-03,11.730000,11.750000,10.910000,10.910000,637890,-0.014665,0
2018-07-04,10.750000,11.000000,10.520000,10.750000,582630,-0.069767,0
2018-07-05,10.750000,10.750000,10.000000,10.000000,287550,-0.055000,0
2018-07-06,9.310000,9.990000,9.310000,9.450000,1172270,0.035979,1
2018-07-09,9.560000,9.910000,9.560000,9.790000,1255870,0.000000,0
2018-07-10,9.790000,9.830000,9.680000,9.790000,718130,-0.021450,0
2018-07-11,9.680000,9.740000,9.290000,9.580000,852870,0.010438,1
2018-07-12,9.580000,9.770000,9.580000,9.680000,824060,0.007231,1
2018-07-13,9.680000,9.770000,9.640000,9.750000,814960,0.000000,0
2018-07-16,9.750000,9.770000,9.600000,9.750000,672340,-0.005128,0
2018-07-17,9.740000,9.740000,9.580000,9.700000,1695900,0.029897,1
2018-07-18,9.700000,9.990000,9.700000,9.990000,1101550,-0.002002,0
2018-07-19,10.020000,10.040000,9.850000,9.970000,696330,0.000000,0
2018-07-20,9.970000,9.970000,9.790000,9.970000,851630,-0.002006,0
2018-07-23,9.950000,9.970000,9.770000,9.950000,855440,-0.029146,0
2018-07-25,9.660000,9.720000,9.560000,9.660000,735530,0.000000,0
2018-07-26,9.660000,9.660000,9.600000,9.660000,578910,0.041408,1
2018-07-27,9.640000,10.060000,9.580000,10.060000,1920590,0.003976,1
2018-07-30,10.100000,10.160000,10.020000,10.100000,823720,0.003960,1
2018-07-31,10.040000,10.220000,9.990000,10.140000,951820,-0.011834,0
2018-08-01,10.140000,10.140000,9.930000,10.020000,610750,-0.037924,0
2018-08-02,10.020000,10.020000,9.640000,9.640000,732370,-0.004149,0
2018-08-03,9.720000,9.750000,9.330000,9.600000,1046930,0.008333,1
2018-08-06,9.600000,9.720000,9.520000,9.680000,1080320,0.007231,1
2018-08-07,9.680000,9.750000,9.600000,9.750000,1002980,0.000000,0
2018-08-08,9.750000,9.810000,9.740000,9.750000,800620,-0.005128,0
2018-08-09,9.750000,9.770000,9.470000,9.700000,457580,-0.010309,0
2018-08-10,9.720000,9.790000,9.600000,9.600000,657530,0.000000,0
2018-08-13,9.600000,9.620000,9.520000,9.600000,850110,0.023958,1
2018-08-14,9.600000,9.910000,9.510000,9.830000,812680,0.008138,1
2018-08-15,9.830000,10.060000,9.830000,9.910000,1373860,-0.025227,0
2018-08-16,9.910000,9.910000,9.660000,9.660000,1362480,0.013458,1
2018-08-17,9.700000,9.910000,9.680000,9.790000,920860,-0.009193,0
2018-08-20,9.830000,9.830000,9.660000,9.700000,914860,0.009278,1
2018-08-21,9.700000,9.850000,9.680000,9.790000,1087010,0.020429,1
2018-08-22,9.750000,10.140000,9.700000,9.990000,2223550,0.023023,1
2018-08-23,10.020000,10.330000,9.910000,10.220000,1537740,-0.007828,0
2018-08-24,10.250000,10.250000,10.040000,10.140000,852100,-0.007890,0
2018-08-27,10.120000,10.180000,10.000000,10.060000,868680,0.007952,1
2018-08-28,10.060000,10.140000,9.950000,10.140000,968640,-0.013807,0
2018-08-29,10.140000,10.180000,9.990000,10.000000,805090,-0.017000,0
2018-08-30,10.000000,10.020000,9.680000,9.830000,1567970,-0.004069,0
2018-08-31,9.830000,9.970000,9.740000,9.790000,1175990,-0.002043,0
2018-09-04,9.790000,9.810000,9.720000,9.770000,1167430,-0.009212,0
2018-09-05,9.770000,9.790000,9.680000,9.680000,749290,-0.012397,0
2018-09-06,9.700000,9.720000,9.560000,9.560000,948470,0.012552,1
2018-09-07,9.560000,9.790000,9.560000,9.680000,1050500,0.004132,1
2018-09-10,9.700000,9.720000,9.640000,9.720000,925350,0.027778,1
2018-09-11,9.720000,9.990000,9.720000,9.990000,1665950,-0.016016,0
2018-09-12,10.000000,10.040000,9.750000,9.830000,856540,0.004069,1
2018-09-13,9.830000,9.930000,9.740000,9.870000,956060,0.000000,0
2018-09-14,9.890000,9.910000,9.790000,9.870000,857690,-0.004053,0
2018-09-17,9.870000,9.890000,9.770000,9.830000,937330,-0.015259,0
2018-09-18,9.830000,9.830000,9.560000,9.680000,1859240,0.007231,1
2018-09-19,9.720000,9.850000,9.700000,9.750000,825510,0.006154,1
2018-09-20,9.790000,9.810000,9.740000,9.810000,592880,0.025484,1
2018-09-21,9.790000,10.250000,9.790000,10.060000,1573450,0.011928,1
2018-09-24,10.220000,10.290000,10.100000,10.180000,1701190,-0.007859,0
2018-09-25,10.180000,10.220000,10.080000,10.100000,1802250,0.007921,1
2018-09-26,9.990000,10.370000,9.990000,10.180000,2004350,-0.003929,0
2018-09-27,10.180000,10.220000,10.060000,10.140000,1717010,0.041420,1
2018-09-28,10.160000,10.580000,10.100000,10.560000,2121470,-0.008523,0
2018-10-01,10.560000,10.710000,10.470000,10.470000,1690610,-0.001910,0
2018-10-02,10.430000,10.560000,10.330000,10.450000,1442480,0.004785,1
2018-10-03,10.450000,10.520000,10.370000,10.500000,1546640,-0.012381,0
2018-10-04,10.500000,10.500000,10.250000,10.370000,1343660,-0.018322,0
2018-10-05,10.370000,10.410000,10.180000,10.180000,996560,-0.007859,0
2018-10-08,10.160000,10.230000,10.060000,10.100000,1410750,0.016832,1
2018-10-09,10.100000,10.350000,10.080000,10.270000,1508700,-0.001947,0
2018-10-10,10.270000,10.410000,10.220000,10.250000,1106340,-0.044878,0
2018-10-11,9.930000,9.990000,9.770000,9.790000,1268670,0.021450,1
2018-10-12,9.750000,10.100000,9.740000,10.000000,1423680,0.000000,0
2018-10-15,10.000000,10.040000,9.830000,10.000000,900940,0.016000,1
2018-10-16,10.000000,10.200000,10.000000,10.160000,1664220,0.003937,1
2018-10-17,10.180000,10.290000,10.160000,10.200000,1442480,-0.005882,0
2018-10-18,10.180000,10.250000,10.100000,10.140000,1151940,0.003945,1
2018-10-19,10.100000,10.180000,10.020000,10.180000,1249600,-0.001965,0
2018-10-22,10.180000,10.180000,9.970000,10.160000,1030780,0.000000,0
2018-10-23,10.160000,10.160000,9.910000,10.160000,912350,-0.005906,0
2018-10-24,10.140000,10.180000,10.060000,10.100000,1392330,0.020792,1
2018-10-25,9.950000,10.310000,9.870000,10.310000,1636820,0.000000,0
2018-10-26,10.330000,10.390000,10.220000,10.310000,1112150,-0.031038,0
2018-10-29,10.290000,10.290000,9.990000,9.990000,1435440,0.000000,0
2018-10-30,9.990000,10.020000,9.890000,9.990000,1327200,0.015015,1
2018-10-31,10.000000,10.140000,9.990000,10.140000,1282310,0.000000,0
2018-11-01,10.140000,10.200000,10.080000,10.140000,1121660,0.014793,1
2018-11-05,10.310000,10.310000,10.160000,10.290000,1335870,0.000000,0
2018-11-06,10.290000,10.350000,10.200000,10.290000,1114630,-0.003887,0
2018-11-07,10.290000,10.290000,10.160000,10.250000,940630,-0.001951,0
2018-11-08,10.270000,10.330000,10.200000,10.230000,1530620,-0.004888,0
2018-11-09,10.200000,10.220000,10.140000,10.180000,1209440,0.000000,0
2018-11-12,10.180000,10.180000,10.060000,10.180000,1396160,-0.015717,0
2018-11-13,10.060000,10.140000,10.000000,10.020000,1076640,0.001996,1
2018-11-14,10.020000,10.060000,9.990000,10.040000,1186930,0.009960,1
2018-11-15,10.040000,10.140000,10.000000,10.140000,1290160,-0.001972,0
2018-11-16,10.080000,10.140000,10.060000,10.120000,1028920,0.009881,1
2018-11-20,10.140000,10.220000,10.080000,10.220000,1234780,0.000000,0
2018-11-21,10.140000,10.220000,10.120000,10.220000,992420,-0.003914,0
2018-11-22,10.230000,10.270000,10.100000,10.180000,890190,0.003929,1
2018-11-28,10.140000,10.220000,9.950000,10.220000,580320,-0.003914,0
2018-11-29,10.220000,10.270000,9.990000,10.180000,544480,0.000000,0
2018-11-30,10.140000,10.220000,9.990000,10.180000,746960,0.000000,0
