date,open,high,low,close,volume,price_change,label
2018-06-04,14.100000,14.200000,13.900000,14.200000,745251,0.000000,0
2018-06-05,14.200000,14.400000,14.000000,14.200000,2905010,-0.007042,0
2018-06-06,14.200000,14.300000,14.100000,14.100000,1186745,-0.007092,0
2018-06-07,14.200000,14.300000,14.000000,14.000000,973810,-0.007143,0
2018-06-08,14.000000,14.100000,13.600000,13.900000,2020050,0.000000,0
2018-06-11,13.800000,13.900000,13.600000,13.900000,512900,-0.021583,0
2018-06-12,13.700000,13.700000,13.500000,13.600000,517513,0.007353,1
2018-06-13,13.600000,13.800000,13.500000,13.700000,790800,-0.007299,0
2018-06-14,13.600000,13.800000,13.600000,13.600000,729128,0.014706,1
2018-06-15,13.600000,13.800000,13.500000,13.800000,830840,-0.021739,0
2018-06-18,13.800000,13.900000,13.400000,13.500000,1032660,-0.044444,0
2018-06-19,13.500000,13.500000,12.600000,12.900000,1394131,0.007752,1
2018-06-20,13.000000,13.500000,12.500000,13.000000,2175293,0.000000,0
2018-06-21,13.100000,13.200000,12.800000,13.000000,1690195,0.000000,0
2018-06-22,13.000000,13.300000,13.000000,13.000000,942700,0.007692,1
2018-06-25,13.300000,13.400000,13.100000,13.100000,986135,0.007634,1
2018-06-27,13.800000,13.800000,13.200000,13.200000,712980,-0.007576,0
2018-06-28,13.300000,13.400000,13.000000,13.100000,635970,0.000000,0
2018-06-29,13.100000,13.300000,12.900000,13.100000,831540,-0.022901,0
2018-07-02,13.100000,13.100000,12.700000,12.800000,730416,-0.031250,0
2018-07-03,12.800000,12.900000,12.400000,12.400000,1193780,0.000000,0
2018-07-04,12.400000,12.500000,12.000000,12.400000,1150780,-0.032258,0
2018-07-05,12.300000,12.400000,11.700000,12.000000,816591,-0.016667,0
2018-07-06,12.000000,12.100000,11.400000,11.800000,1868830,-0.008475,0
2018-07-09,11.800000,12.100000,11.400000,11.700000,1407200,-0.008547,0
2018-07-10,11.900000,11.900000,11.300000,11.600000,851630,-0.043103,0
2018-07-11,11.600000,11.600000,10.800000,11.100000,1295200,-0.009009,0
2018-07-12,11.000000,11.000000,10.700000,11.000000,1317750,0.000000,0
2018-07-13,10.800000,11.000000,10.700000,11.000000,489946,0.000000,0
2018-07-16,10.900000,11.100000,10.900000,11.000000,315451,0.000000,0
2018-07-17,11.100000,11.100000,10.900000,11.000000,697600,0.072727,1
2018-07-18,11.000000,11.800000,10.900000,11.800000,2205187,0.101695,1
2018-07-19,11.700000,13.200000,11.700000,13.000000,3757005,-0.007692,0
2018-07-20,13.000000,13.000000,12.600000,12.900000,1244770,-0.023256,0
2018-07-23,12.900000,12.900000,12.500000,12.600000,802090,0.000000,0
2018-07-25,12.600000,12.800000,12.600000,12.600000,1128100,0.007937,1
2018-07-26,12.600000,12.800000,12.500000,12.700000,607800,0.031496,1
2018-07-27,12.700000,13.200000,12.500000,13.100000,2084160,0.007634,1
2018-07-30,13.100000,13.300000,13.000000,13.200000,1077075,-0.007576,0
2018-07-31,13.100000,13.300000,12.900000,13.100000,1040300,-0.007634,0
2018-08-01,13.000000,13.100000,12.800000,13.000000,869520,-0.007692,0
2018-08-02,12.900000,13.000000,12.700000,12.900000,503478,0.031008,1
2018-08-03,13.000000,13.600000,12.900000,13.300000,2312204,0.000000,0
2018-08-06,13.500000,13.500000,13.200000,13.300000,553870,0.000000,0
2018-08-07,13.200000,13.400000,13.100000,13.300000,721763,0.030075,1
2018-08-08,13.400000,13.800000,13.200000,13.700000,2619510,0.014599,1
2018-08-09,13.800000,14.100000,13.600000,13.900000,2164320,0.000000,0
2018-08-10,13.900000,13.900000,13.500000,13.900000,1147385,-0.014388,0
2018-08-13,13.700000,13.900000,13.600000,13.700000,1984650,-0.021898,0
2018-08-14,13.700000,13.700000,13.400000,13.400000,988038,-0.029851,0
2018-08-15,13.500000,13.600000,12.800000,13.000000,1131472,0.000000,0
2018-08-16,12.900000,13.000000,12.700000,13.000000,942255,0.015385,1
2018-08-17,13.200000,13.400000,13.000000,13.200000,808090,-0.015152,0
2018-08-20,13.200000,13.300000,13.000000,13.000000,270855,0.000000,0
2018-08-21,13.100000,13.300000,13.000000,13.000000,471320,0.007692,1
2018-08-22,13.200000,13.300000,13.000000,13.100000,502713,0.007634,1
2018-08-23,13.200000,13.300000,13.100000,13.200000,448010,-0.007576,0
2018-08-24,13.300000,13.300000,13.100000,13.100000,273220,0.015267,1
2018-08-27,13.100000,13.300000,13.000000,13.300000,1136652,0.000000,0
2018-08-28,13.300000,13.400000,13.200000,13.300000,1527425,0.045113,1
2018-08-29,13.300000,14.000000,13.300000,13.900000,3400083,0.014388,1
2018-08-30,13.900000,14.200000,13.700000,14.100000,2004651,0.000000,0
2018-08-31,14.300000,14.300000,13.900000,14.100000,3188217,-0.021277,0
2018-09-04,14.100000,14.100000,13.800000,13.800000,1650290,-0.007246,0
2018-09-05,13.700000,13.800000,13.400000,13.700000,1462960,0.007299,1
2018-09-06,13.500000,13.900000,13.500000,13.800000,591107,0.021739,1
2018-09-07,13.700000,14.200000,13.700000,14.100000,1986280,0.035461,1
2018-09-10,14.200000,14.600000,14.100000,14.600000,4048811,0.027397,1
2018-09-11,14.600000,15.000000,14.500000,15.000000,4406265,-0.020000,0
2018-09-12,15.000000,15.100000,14.700000,14.700000,1712540,0.000000,0
2018-09-13,14.700000,14.900000,14.600000,14.700000,1475238,0.006803,1
2018-09-14,14.600000,15.000000,14.600000,14.800000,1299603,0.020270,1
2018-09-17,14.800000,15.300000,14.800000,15.100000,2722172,0.000000,0
2018-09-18,15.100000,15.100000,14.900000,15.100000,2865790,0.013245,1
2018-09-19,15.100000,15.400000,14.900000,15.300000,2621699,0.065359,1
2018-09-20,15.400000,16.400000,15.400000,16.300000,4010545,-0.024540,0
2018-09-21,16.500000,16.500000,15.500000,15.900000,3322352,0.000000,0
2018-09-24,15.900000,16.100000,15.700000,15.900000,1859443,0.012579,1
2018-09-25,15.800000,16.300000,15.800000,16.100000,2615932,-0.006211,0
2018-09-26,16.100000,16.200000,15.900000,16.000000,2119376,0.012500,1
2018-09-27,16.000000,16.200000,15.900000,16.200000,2097285,0.030864,1
2018-09-28,16.200000,16.700000,16.200000,16.700000,5984645,-0.011976,0
2018-10-01,16.700000,16.900000,16.400000,16.500000,3473515,0.006061,1
2018-10-02,16.700000,16.800000,16.400000,16.600000,4365303,0.000000,0
2018-10-03,16.500000,16.700000,16.400000,16.600000,1705816,-0.006024,0
2018-10-04,16.800000,16.800000,16.400000,16.500000,3301577,-0.036364,0
2018-10-05,16.500000,16.500000,15.800000,15.900000,3367523,-0.025157,0
2018-10-08,16.100000,16.100000,15.400000,15.500000,2445695,-0.019355,0
2018-10-09,15.500000,15.600000,15.000000,15.200000,2149499,0.019737,1
2018-10-10,15.300000,15.600000,15.100000,15.500000,1646091,-0.070968,0
2018-10-11,15.200000,15.300000,13.800000,14.400000,4019253,0.048611,1
2018-10-12,14.100000,15.200000,13.800000,15.100000,2866537,-0.019868,0
2018-10-15,15.100000,15.200000,14.700000,14.800000,1275500,-0.013514,0
2018-10-16,14.900000,15.000000,14.500000,14.600000,1852950,0.013699,1
2018-10-17,14.800000,15.200000,14.700000,14.800000,989425,-0.027027,0
2018-10-18,14.800000,14.900000,14.400000,14.400000,1474055,-0.013889,0
2018-10-19,14.400000,14.400000,14.100000,14.200000,2106500,0.000000,0
2018-10-22,14.300000,14.500000,14.100000,14.200000,803910,-0.007042,0
2018-10-23,14.100000,14.200000,13.800000,14.100000,1658420,-0.028369,0
2018-10-24,14.000000,14.200000,13.400000,13.700000,1657100,0.007299,1
2018-10-25,13.300000,13.800000,13.000000,13.800000,1658171,0.000000,0
2018-10-26,13.700000,14.000000,13.600000,13.800000,592140,-0.021739,0
2018-10-29,13.700000,13.800000,13.500000,13.500000,625800,0.007407,1
2018-10-30,13.600000,13.600000,13.400000,13.600000,809993,0.022059,1
2018-10-31,13.800000,14.000000,13.600000,13.900000,822940,-0.021583,0
2018-11-01,13.800000,13.800000,13.600000,13.600000,455510,0.014706,1
