date,open,high,low,close,volume,price_change,label
2018-06-04,42.460000,44.790000,42.080000,44.560000,3837380,-0.011670,0
2018-06-05,44.040000,44.790000,43.360000,44.040000,3532580,0.008401,1
2018-06-06,43.660000,44.860000,43.280000,44.410000,2183260,-0.006755,0
2018-06-07,44.340000,44.560000,43.890000,44.110000,2538580,0.017003,1
2018-06-08,43.810000,45.390000,43.810000,44.860000,2693680,-0.011592,0
2018-06-11,44.640000,45.310000,43.960000,44.340000,2453150,-0.016915,0
2018-06-12,43.960000,44.340000,42.460000,43.590000,3024500,0.032576,1
2018-06-13,43.280000,45.010000,43.280000,45.010000,2054850,-0.029993,0
2018-06-14,45.010000,45.010000,43.590000,43.660000,2814340,0.015575,1
2018-06-15,43.210000,44.340000,43.130000,44.340000,2557670,-0.042400,0
2018-06-18,44.260000,44.340000,42.080000,42.460000,2461860,0.000000,0
2018-06-19,40.960000,42.460000,40.580000,42.460000,5149160,0.028262,1
2018-06-20,42.830000,44.110000,42.230000,43.660000,2767440,-0.019011,0
2018-06-21,43.590000,43.740000,42.380000,42.830000,1637920,0.029886,1
2018-06-22,42.160000,44.110000,41.710000,44.110000,2529630,0.012015,1
2018-06-25,45.090000,45.240000,44.260000,44.640000,2415610,-0.023522,0
2018-06-27,44.340000,45.460000,43.590000,43.590000,2602270,-0.001835,0
2018-06-28,42.830000,44.110000,42.830000,43.510000,2114670,0.001839,1
2018-06-29,43.510000,44.110000,42.680000,43.590000,1439520,0.001606,1
2018-07-02,43.210000,43.890000,41.630000,43.660000,2846420,-0.036189,0
2018-07-03,43.810000,43.810000,42.080000,42.080000,3355250,-0.007129,0
2018-07-04,42.230000,42.460000,41.110000,41.780000,2452480,-0.064624,0
2018-07-05,41.630000,41.780000,39.080000,39.080000,2865870,0.057574,1
2018-07-06,38.400000,41.630000,37.950000,41.330000,3443450,-0.018147,0
2018-07-09,41.330000,42.380000,40.580000,40.580000,1434270,-0.016757,0
2018-07-10,41.710000,41.710000,39.900000,39.900000,1360490,-0.035589,0
