date,open,high,low,close,volume,price_change,label
2018-06-04,134.430000,138.740000,132.800000,138.740000,374270,0.015857,1
2018-06-05,140.940000,144.610000,138.910000,140.940000,493730,0.009295,1
2018-06-06,138.500000,142.250000,136.870000,142.250000,359580,0.025167,1
2018-06-07,142.250000,147.870000,142.250000,145.830000,718930,0.000000,0
2018-06-08,145.910000,146.240000,144.610000,145.830000,592360,0.027909,1
2018-06-11,145.830000,152.350000,143.390000,149.900000,635790,-0.027151,0
2018-06-12,149.090000,149.740000,139.970000,145.830000,622950,0.003909,1
2018-06-13,145.830000,148.680000,145.420000,146.400000,378700,-0.026161,0
2018-06-14,142.650000,146.240000,142.570000,142.570000,419150,-0.011433,0
2018-06-15,142.490000,143.310000,140.130000,140.940000,451400,-0.046190,0
2018-06-18,141.760000,142.490000,131.980000,134.430000,477110,-0.030350,0
2018-06-19,134.430000,134.430000,126.200000,130.350000,594620,0.062524,1
2018-06-20,130.350000,138.500000,127.910000,138.500000,808530,0.018195,1
2018-06-21,138.500000,145.020000,134.510000,141.020000,391470,0.010424,1
2018-06-22,141.760000,144.200000,138.910000,142.490000,563210,-0.010878,0
2018-06-25,142.820000,143.790000,140.210000,140.940000,349460,-0.013836,0
2018-06-27,140.860000,140.860000,138.990000,138.990000,347200,-0.026405,0
2018-06-28,139.310000,139.310000,135.240000,135.320000,475360,0.024461,1
2018-06-29,136.870000,140.000000,136.380000,138.630000,465340,-0.019765,0
2018-07-02,138.630000,138.820000,135.300000,135.890000,254710,-0.043123,0
2018-07-03,135.890000,136.580000,129.050000,130.030000,339540,-0.015073,0
2018-07-04,129.050000,130.030000,125.140000,128.070000,394580,-0.011478,0
2018-07-05,128.560000,133.150000,123.180000,126.600000,531600,0.026303,1
2018-07-06,127.090000,130.510000,124.160000,129.930000,502440,-0.018087,0
2018-07-09,130.030000,131.300000,125.920000,127.580000,413180,0.022966,1
2018-07-10,127.780000,131.490000,126.600000,130.510000,717010,-0.020918,0
2018-07-11,128.950000,128.950000,125.140000,127.780000,402490,-0.002348,0
2018-07-12,127.870000,128.950000,125.140000,127.480000,352960,0.004628,1
2018-07-13,128.070000,128.560000,125.720000,128.070000,356980,0.007652,1
2018-07-16,129.540000,130.810000,127.780000,129.050000,421900,0.000775,1
2018-07-17,129.050000,129.240000,127.390000,129.150000,393240,0.018118,1
2018-07-18,130.510000,131.490000,130.030000,131.490000,999370,0.040916,1
2018-07-19,132.860000,140.190000,132.470000,136.870000,1193840,-0.064295,0
2018-07-20,137.360000,139.700000,128.070000,128.070000,714380,0.068712,1
2018-07-23,133.940000,136.870000,132.960000,136.870000,824950,-0.028567,0
2018-07-25,134.910000,135.890000,130.710000,132.960000,613650,0.006619,1
2018-07-26,133.940000,134.420000,130.420000,133.840000,743270,0.004334,1
2018-07-27,134.910000,134.910000,132.660000,134.420000,634770,0.050960,1
2018-07-30,134.910000,141.270000,134.520000,141.270000,1590960,-0.000708,0
2018-07-31,139.310000,142.250000,138.820000,141.170000,878870,-0.009705,0
2018-08-01,141.170000,141.760000,138.240000,139.800000,594010,0.020959,1
2018-08-02,139.800000,142.730000,137.550000,142.730000,914610,0.013732,1
2018-08-03,143.710000,145.670000,141.950000,144.690000,1113820,-0.000691,0
2018-08-06,144.690000,145.180000,143.220000,144.590000,419070,-0.006778,0
2018-08-07,144.400000,144.490000,142.930000,143.610000,496310,0.004108,1
2018-08-08,143.710000,145.470000,143.320000,144.200000,514700,0.018308,1
2018-08-09,144.690000,147.520000,144.690000,146.840000,819990,0.014642,1
2018-08-10,146.840000,149.090000,145.670000,148.990000,640740,0.010538,1
2018-08-13,148.990000,151.830000,148.110000,150.560000,774760,0.002590,1
2018-08-14,150.560000,151.530000,148.010000,150.950000,804390,-0.034978,0
2018-08-15,151.040000,151.040000,144.690000,145.670000,682950,-0.000686,0
2018-08-16,145.670000,145.670000,140.780000,145.570000,774200,0.014083,1
2018-08-17,146.450000,148.500000,146.250000,147.620000,518380,0.000000,0
2018-08-20,147.620000,148.500000,145.670000,147.620000,521820,0.006639,1
2018-08-21,147.620000,149.090000,147.130000,148.600000,547170,-0.000673,0
2018-08-22,149.580000,150.560000,147.520000,148.500000,597400,-0.005926,0
2018-08-23,148.500000,149.090000,147.130000,147.620000,643710,0.005284,1
2018-08-24,147.820000,148.990000,147.130000,148.400000,591390,0.007951,1
2018-08-27,149.280000,149.770000,148.600000,149.580000,1087390,0.014374,1
2018-08-28,149.580000,152.320000,149.480000,151.730000,1151770,0.001252,1
2018-08-29,152.020000,152.510000,150.750000,151.920000,607750,0.009676,1
2018-08-30,151.530000,153.390000,150.750000,153.390000,1074030,-0.005737,0
2018-08-31,153.590000,154.470000,152.020000,152.510000,1061020,-0.069897,0
2018-09-04,152.510000,153.000000,141.850000,141.850000,524240,0.044766,1
2018-09-05,146.220000,148.690000,145.720000,148.200000,949760,-0.016734,0
2018-09-06,148.200000,149.090000,143.740000,145.720000,562370,0.003431,1
2018-09-07,145.720000,146.910000,145.520000,146.220000,360100,-0.000684,0
2018-09-10,146.510000,146.910000,145.720000,146.120000,320600,0.021010,1
2018-09-11,146.320000,149.190000,146.320000,149.190000,525660,-0.003351,0
2018-09-12,149.290000,150.180000,147.900000,148.690000,480160,-0.013316,0
2018-09-13,148.890000,148.890000,146.710000,146.710000,403560,0.006748,1
2018-09-14,147.110000,148.300000,146.910000,147.700000,346600,-0.013406,0
2018-09-17,147.800000,148.200000,144.730000,145.720000,467680,0.014960,1
2018-09-18,144.730000,147.900000,144.530000,147.900000,808380,0.001352,1
2018-09-19,148.200000,148.500000,147.210000,148.100000,386640,0.001350,1
2018-09-20,148.400000,148.500000,147.210000,148.300000,526160,-0.001349,0
2018-09-21,148.690000,149.190000,146.710000,148.100000,466240,0.018096,1
2018-09-24,148.200000,151.070000,148.100000,150.780000,1029500,0.000000,0
2018-09-25,150.880000,151.170000,149.390000,150.780000,1011010,0.000663,1
2018-09-26,150.680000,150.880000,149.690000,150.880000,1188410,0.002585,1
2018-09-27,151.170000,152.360000,149.590000,151.270000,1222140,-0.007206,0
2018-09-28,151.270000,152.160000,149.490000,150.180000,1157560,-0.019776,0
2018-10-01,150.280000,150.480000,146.220000,147.210000,1238340,-0.023572,0
2018-10-02,146.710000,146.710000,142.750000,143.740000,1375300,-0.001391,0
2018-10-03,144.530000,144.730000,143.140000,143.540000,697070,-0.008290,0
2018-10-04,143.740000,143.740000,141.260000,142.350000,837900,-0.003512,0
2018-10-05,142.250000,142.250000,141.160000,141.850000,604170,-0.017413,0
2018-10-08,141.850000,142.150000,139.380000,139.380000,658020,0.017076,1
2018-10-09,139.770000,142.050000,139.770000,141.760000,586610,0.013967,1
2018-10-10,141.950000,143.740000,141.950000,143.740000,748570,-0.029011,0
2018-10-11,140.760000,142.650000,133.830000,139.570000,591640,0.001433,1
2018-10-12,139.570000,139.770000,137.290000,139.770000,733920,-0.012735,0
2018-10-15,139.770000,140.760000,136.800000,137.990000,367010,-0.015798,0
2018-10-16,138.190000,138.780000,135.610000,135.810000,817220,0.016052,1
2018-10-17,136.700000,138.090000,136.300000,137.990000,850710,-0.019422,0
2018-10-18,137.990000,138.480000,134.820000,135.310000,653560,-0.032961,0
2018-10-19,134.320000,134.320000,130.850000,130.850000,924610,-0.022698,0
2018-10-22,131.840000,131.840000,126.590000,127.880000,1371200,-0.015561,0
2018-10-23,127.380000,127.980000,125.600000,125.890000,668320,-0.001509,0
2018-10-24,126.190000,126.890000,125.000000,125.700000,454880,-0.006364,0
2018-10-25,121.930000,125.890000,120.050000,124.900000,615660,-0.009528,0
2018-10-26,126.390000,126.890000,123.520000,123.710000,422490,0.000000,0
2018-10-29,123.710000,124.110000,122.430000,123.710000,474250,0.009619,1
2018-10-30,123.810000,125.400000,123.420000,124.900000,530390,0.061169,1
2018-10-31,125.890000,132.540000,125.600000,132.540000,1064990,0.000754,1
2018-11-01,133.330000,134.420000,132.440000,132.640000,946500,0.013420,1
2018-11-05,134.320000,134.620000,133.230000,134.420000,604090,-0.011829,0
2018-11-06,134.820000,136.300000,132.830000,132.830000,531390,-0.014906,0
2018-11-07,132.930000,134.720000,129.170000,130.850000,639140,0.009859,1
2018-11-08,131.550000,132.830000,131.350000,132.140000,622400,-0.018011,0
2018-11-09,132.440000,132.830000,129.170000,129.760000,491980,-0.012947,0
2018-11-12,129.760000,129.760000,127.780000,128.080000,457730,-0.009291,0
2018-11-13,127.880000,128.370000,126.390000,126.890000,341190,-0.003940,0
2018-11-14,127.080000,128.770000,126.390000,126.390000,442760,0.001582,1
2018-11-15,126.490000,128.370000,125.700000,126.590000,532230,0.001580,1
2018-11-16,127.280000,128.370000,125.600000,126.790000,488140,0.008597,1
2018-11-20,127.380000,129.270000,127.280000,127.880000,528220,-0.007742,0
2018-11-21,127.880000,127.880000,126.390000,126.890000,391290,0.000788,1
2018-11-22,126.890000,127.480000,126.690000,126.990000,589220,0.010867,1
2018-11-28,125.890000,128.670000,125.700000,128.370000,888250,0.023214,1
2018-11-29,129.860000,132.640000,129.760000,131.350000,1147260,-0.011344,0
2018-11-30,130.360000,130.850000,128.770000,129.860000,602920,0.007624,1
2018-12-03,130.650000,131.350000,129.960000,130.850000,618450,0.006802,1
2018-12-04,130.850000,132.340000,130.550000,131.740000,517240,-0.011234,0
2018-12-05,131.250000,131.250000,130.260000,130.260000,554870,0.003762,1
2018-12-06,129.860000,131.840000,129.860000,130.750000,530060,0.003824,1
2018-12-07,131.050000,132.730000,130.750000,131.250000,588100,-0.018895,0
2018-12-10,131.250000,131.250000,128.770000,128.770000,595660,-0.008465,0
2018-12-11,128.770000,129.860000,127.380000,127.680000,558320,0.010887,1
2018-12-12,127.980000,129.560000,127.780000,129.070000,560950,-0.005423,0
2018-12-13,129.360000,130.160000,128.080000,128.370000,479680,-0.011529,0
2018-12-14,128.170000,128.770000,126.890000,126.890000,402510,-0.011742,0
2018-12-17,126.990000,127.380000,124.410000,125.400000,462490,-0.012679,0
2018-12-18,123.910000,124.800000,122.130000,123.810000,612150,0.000808,1
2018-12-19,123.810000,124.510000,123.710000,123.910000,440150,-0.006376,0
2018-12-20,123.910000,124.110000,122.920000,123.120000,403570,0.000000,0
2018-12-21,123.120000,123.910000,121.830000,123.120000,388100,0.000812,1
2018-12-24,123.120000,123.520000,122.920000,123.220000,237590,-0.019315,0
2018-12-25,121.930000,121.930000,119.950000,120.840000,372990,0.000828,1
2018-12-26,120.940000,121.930000,118.960000,120.940000,304700,-0.016372,0
2018-12-27,121.930000,122.330000,118.760000,118.960000,627250,-0.020847,0
2019-01-14,116.380000,117.870000,115.780000,116.480000,487330,-0.002576,0
2019-01-15,116.580000,116.870000,115.290000,116.180000,514390,-0.010243,0
2019-01-16,115.980000,116.280000,114.000000,114.990000,638280,-0.004348,0
2019-01-17,114.990000,114.990000,113.500000,114.490000,614570,-0.002533,0
2019-01-18,114.690000,114.790000,113.310000,114.200000,489080,0.000000,0
2019-01-21,113.500000,114.590000,113.500000,114.200000,294150,-0.001751,0
2019-01-22,114.490000,114.790000,113.800000,114.000000,351870,0.004298,1
2019-01-23,114.000000,114.790000,113.900000,114.490000,398030,0.021661,1
2019-01-24,114.990000,117.370000,114.990000,116.970000,721190,0.038129,1
2019-01-25,117.370000,121.430000,117.370000,121.430000,778640,0.000000,0
2019-01-28,121.730000,122.520000,120.440000,121.430000,305350,-0.006506,0
2019-01-29,121.430000,121.830000,119.650000,120.640000,280160,0.014838,1
2019-01-31,122.130000,122.620000,121.140000,122.430000,455960,0.012089,1
2019-02-01,122.430000,123.910000,122.330000,123.910000,797560,0.007183,1
2019-02-11,124.310000,125.000000,123.910000,124.800000,359160,0.000000,0
2019-02-12,124.900000,125.500000,123.810000,124.800000,721400,-0.011058,0
2019-02-13,124.110000,124.510000,123.120000,123.420000,643080,-0.008832,0
2019-02-14,123.520000,123.520000,121.930000,122.330000,473820,-0.017085,0
2019-02-15,122.330000,122.330000,119.550000,120.240000,553820,-0.006570,0
2019-02-18,120.240000,120.440000,118.860000,119.450000,713710,0.002512,1
2019-02-19,119.550000,121.830000,119.450000,119.750000,902500,-0.008267,0
2019-02-20,119.750000,119.750000,117.960000,118.760000,537530,-0.006736,0
2019-02-21,118.560000,118.660000,116.480000,117.960000,1065070,0.021024,1
2019-02-22,117.960000,122.030000,117.960000,120.440000,1145220,0.024743,1
2019-02-25,121.430000,123.420000,121.430000,123.420000,1125900,-0.007292,0
2019-02-26,123.910000,123.910000,122.030000,122.520000,932940,-0.007264,0
2019-02-27,122.520000,122.520000,120.940000,121.630000,1333370,-0.030173,0
2019-02-28,121.930000,122.030000,117.960000,117.960000,1629860,0.008477,1
2019-03-01,118.060000,118.960000,115.980000,118.960000,1125320,0.007482,1
2019-03-04,119.450000,120.150000,118.660000,119.850000,990660,-0.007426,0
2019-03-05,119.550000,119.650000,118.460000,118.960000,1074790,0.008322,1
2019-03-06,118.960000,119.950000,118.960000,119.950000,939310,0.003251,1
2019-03-07,119.950000,120.540000,119.850000,120.340000,1014890,-0.005734,0
