date,open,high,low,close,volume,price_change,label
2018-06-04,10.620000,11.260000,10.620000,11.260000,3890390,0.004440,1
2018-06-05,11.580000,11.830000,11.220000,11.310000,4577940,0.000884,1
2018-06-06,11.310000,11.420000,11.100000,11.320000,2043840,0.000883,1
2018-06-07,11.350000,11.350000,11.090000,11.330000,2097860,0.046778,1
2018-06-08,11.220000,11.860000,11.220000,11.860000,4085220,0.026981,1
2018-06-11,11.880000,12.470000,11.790000,12.180000,2938320,-0.013136,0
2018-06-12,12.130000,12.130000,11.400000,12.020000,4461970,-0.002496,0
2018-06-13,11.810000,12.180000,11.810000,11.990000,2470970,-0.045872,0
2018-06-14,11.950000,11.970000,11.440000,11.440000,2544990,-0.009615,0
2018-06-15,11.440000,11.580000,11.280000,11.330000,3677520,-0.009709,0
2018-06-18,11.960000,12.000000,11.070000,11.220000,3203730,-0.039216,0
2018-06-19,10.740000,10.780000,10.440000,10.780000,3364270,0.068646,1
2018-06-20,11.110000,11.520000,10.850000,11.520000,5608390,-0.003472,0
2018-06-21,11.630000,11.870000,11.440000,11.480000,2747630,0.061847,1
2018-06-22,11.370000,12.190000,11.330000,12.190000,4253630,-0.010664,0
2018-06-25,12.220000,12.480000,11.980000,12.060000,5058520,-0.060531,0
2018-06-27,11.850000,12.000000,11.260000,11.330000,3830270,-0.035305,0
2018-06-28,11.000000,11.350000,10.810000,10.930000,5375390,-0.027447,0
2018-06-29,10.930000,11.110000,10.590000,10.630000,3866630,-0.034807,0
2018-07-02,10.370000,10.590000,10.000000,10.260000,3973170,-0.068226,0
2018-07-03,10.260000,10.480000,9.560000,9.560000,3386480,0.023013,1
2018-07-04,9.560000,9.780000,9.190000,9.780000,2083270,-0.046012,0
2018-07-05,9.780000,9.930000,9.200000,9.330000,1986990,0.069668,1
2018-07-06,9.330000,9.980000,9.070000,9.980000,3989800,0.006012,1
2018-07-09,10.190000,10.410000,10.000000,10.040000,2109480,0.025896,1
2018-07-10,10.190000,10.430000,10.070000,10.300000,2249930,-0.068932,0
2018-07-11,10.000000,10.040000,9.590000,9.590000,5335090,0.017727,1
2018-07-12,9.590000,10.040000,9.440000,9.760000,2045530,0.039959,1
2018-07-13,9.890000,10.190000,9.890000,10.150000,2559840,0.006897,1
2018-07-16,10.190000,10.350000,10.060000,10.220000,2442170,0.067515,1
2018-07-17,10.220000,10.930000,10.130000,10.910000,8723790,0.020165,1
2018-07-18,10.980000,11.300000,10.980000,11.130000,6095550,-0.011680,0
2018-07-19,11.130000,11.260000,11.000000,11.000000,5423550,-0.006364,0
2018-07-20,10.890000,11.000000,10.300000,10.930000,12854030,-0.067704,0
2018-07-23,10.590000,10.700000,10.190000,10.190000,8452860,-0.044161,0
2018-07-25,10.000000,10.170000,9.740000,9.740000,3223360,-0.004107,0
2018-07-26,9.890000,9.890000,9.560000,9.700000,2635240,0.008247,1
2018-07-27,9.700000,9.930000,9.330000,9.780000,6420200,0.033742,1
2018-07-30,10.000000,10.280000,9.960000,10.110000,3756300,-0.006924,0
2018-07-31,10.060000,10.200000,9.960000,10.040000,3761470,-0.010956,0
2018-08-01,10.000000,10.130000,9.810000,9.930000,3930160,-0.010070,0
2018-08-02,9.780000,9.890000,9.560000,9.830000,4468200,0.002035,1
2018-08-03,10.000000,10.000000,9.850000,9.850000,3026220,-0.016244,0
2018-08-06,9.850000,9.890000,9.650000,9.690000,2686230,0.000000,0
2018-08-07,9.650000,9.870000,9.610000,9.690000,2772610,0.016512,1
2018-08-08,9.760000,9.850000,9.700000,9.850000,3560410,0.011168,1
